name,addressLine,city,neighboorhoud,postcode,latitude,longitude
ABACAS KILBARRACK,DROGHEDA ABACAS SPECIAL SCHOOL CONGRESS AVENUE DROGHEDA CO. LOUTH,LOUTH,LOUTH,A92TK52,53.7099696,-6.3525622
ABACAS SCHOOL,TREEPARK ROAD KILNAMANAGH DUBLIN 24,DUBLIN,DUBLIN 24,D24A2XF,53.300614,-6.3576779
ABACAS SPECIAL SCHOOL FOR CHILDREN WITH AUTISM,PARKMORE EAST BUSINESS PARK PARKMORE GALWAY,GALWAY,GALWAY,H91V9K4,53.274001,-9.0512662
ÁBALTA SPECIAL SCHOOL,BISHOP STREET ELPHIN CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,F45V302,53.8465509,-8.1904778
ABBEYCARTON NS,BOYLE CO ROSCOMMON,ROSCOMMON,ROSCOMMON,F52HK46,53.8466434,-8.1905149
ABBEY COMMUNITY COLLEGE,ABBEY RD FERRYBANK WATERFORD,KILKENNY,KILKENNY,X91PC91,52.264614,-7.0990541
ABBEY COMMUNITY COLLEGE,CHURCH STREET ABBEYFEALE CO. LIMERICK,LIMERICK,LIMERICK,V94DH96,52.3860229,-9.3019445
ABBEYFEALE B N S 1,BALLACOLLA ROAD ABBEYLEIX CO. LAOIS,LAOIS,LAOIS,R32PP79,52.994295,-7.3323007
ABBEYLEIX STH N S,CASTLETOWNSEND ROAD SKIBBEREEN CO. CORK,CORK,CORK,P81X386,52.9152801,-7.3478923
ABBEY VOCATIONAL SCHOOL,AUGHNASHEELIN BALLINAMORE CO. LEITRIM,LEITRIM,LEITRIM,N41NX92,54.0681329,-7.8643297
ACHADH NA SILEANN,THE POINTS ACHILL SOUND,ACHILL WESTPORT,,MAYO,53.9619505,-10.015335
ACHILL SOUND CONVENT NS,STATION ROAD ADAMSTOWN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K78KT91,53.9302564,-9.9266332
ADAMSTOWN CASTLE EDUCATE TOGETHER NATIONAL SCHOOL,STATION RD ADAMSTOWN LUCAN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K78WP89,53.3360905,-6.4600183
ADAMSTOWN COMMUNITY COLLEGE,ADRIGOLE BANTRY CO. CORK,CORK,CORK,P75EC64,51.8985143,-8.4756035
ADRIGOLE N S,AUGHACASLA SOUTH CAMP TRALEE,KERRY,KERRY,V92Y312,52.2341616,-9.9746152
AGHACASLA N S,SCOIL MOCHUA AGHARDS ROAD CELBRIDGE CO. KILDARE,KILDARE,KILDARE,W23YY00,53.3487985,-6.5494086
AGHARDS N S,DIREEN CAHERCIVEEN CO. KERRY,KERRY,KERRY,V23KC04,53.3449719,-6.5500726
