id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
4019400,113066681,"Leith East, Tralee, Co. Kerry",650000.0,N/A,,6,4,Detached,2022-08-10,B3,,,52.318023,-9.647175,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-leith-east-tralee-co-kerry/4019400
3965090,19515179,"Tullacrimmin, Abbeydorney, Co. Kerry",365000.0,190,190 m²,4,3,Detached,2022-07-05,B3,111172607,137.88 kWh/m2/yr,52.361815,-9.653659,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-tullacrimmin-abbeydorney-co-kerry/3965090
3936362,19288106,"Leith East, Tralee, Co. Kerry",450000.0,N/A,,4,4,Detached,2022-06-20,B3,115042301,128.2 kWh/m2/yr,52.319069,-9.635564,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-leith-east-tralee-co-kerry/3936362
3929837,19228630,"1 Castle Cove, Castletown, Kilflynn, Co. Kerry",290000.0,204,204 m²,4,3,Detached,2022-06-10,B3,,,52.354604,-9.628287,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-1-castle-cove-castletown-kilflynn-co-kerry/3929837
3798349,18631362,"Ballybroman House, Ballybroman, Tralee, Co. Kerry",Price on Application,197,197 m²,5,2,Detached,2022-08-09,E1,114670623,338.37 kWh/m2/yr,52.33217,-9.734484,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-ballybroman-house-ballybroman-tralee-co-kerry/3798349
3753149,18267300,"Tubrid More, Ardfert, Co. Kerry",235000.0,N/A,,3,2,Detached,2022-03-16,E1,106201106,323.15 kWh/m2/yr,52.321348,-9.74999,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-tubrid-more-ardfert-co-kerry/3753149
3698021,17772354,"1 Castlecove Castletown Kilflynn, Kilflynn, Co. Kerry",290000.0,208,208 m²,4,3,Detached,2022-05-17,B3,114655764,136.08 kWh/m2/yr,52.35461226366661,-9.627991919271665,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-1-castlecove-castletown-kilflynn-kilflynn-co-kerry/3698021
1336288,12177959,"Ahabeg West, Lixnaw, Co. Kerry",69000.0,N/A,,1,1,Detached,2022-07-06,SI_666,,,52.40846524188724,-9.69480048947139,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-ahabeg-west-lixnaw-co-kerry/1336288
4019400,113066681,"Leith East, Tralee, Co. Kerry",650000.0,N/A,,6,4,Detached,2022-08-10,B3,,,52.318023,-9.647175,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-leith-east-tralee-co-kerry/4019400
3965090,19515179,"Tullacrimmin, Abbeydorney, Co. Kerry",365000.0,190,190 m²,4,3,Detached,2022-07-05,B3,111172607,137.88 kWh/m2/yr,52.361815,-9.653659,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-tullacrimmin-abbeydorney-co-kerry/3965090
3936362,19288106,"Leith East, Tralee, Co. Kerry",450000.0,N/A,,4,4,Detached,2022-06-20,B3,115042301,128.2 kWh/m2/yr,52.319069,-9.635564,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-leith-east-tralee-co-kerry/3936362
3929837,19228630,"1 Castle Cove, Castletown, Kilflynn, Co. Kerry",290000.0,204,204 m²,4,3,Detached,2022-06-10,B3,,,52.354604,-9.628287,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-1-castle-cove-castletown-kilflynn-co-kerry/3929837
3798349,18631362,"Ballybroman House, Ballybroman, Tralee, Co. Kerry",Price on Application,197,197 m²,5,2,Detached,2022-08-09,E1,114670623,338.37 kWh/m2/yr,52.33217,-9.734484,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-ballybroman-house-ballybroman-tralee-co-kerry/3798349
3753149,18267300,"Tubrid More, Ardfert, Co. Kerry",235000.0,N/A,,3,2,Detached,2022-03-16,E1,106201106,323.15 kWh/m2/yr,52.321348,-9.74999,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-tubrid-more-ardfert-co-kerry/3753149
3698021,17772354,"1 Castlecove Castletown Kilflynn, Kilflynn, Co. Kerry",290000.0,208,208 m²,4,3,Detached,2022-05-17,B3,114655764,136.08 kWh/m2/yr,52.35461226366661,-9.627991919271665,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-1-castlecove-castletown-kilflynn-kilflynn-co-kerry/3698021
1336288,12177959,"Ahabeg West, Lixnaw, Co. Kerry",69000.0,N/A,,1,1,Detached,2022-07-06,SI_666,,,52.40846524188724,-9.69480048947139,Buy,ABBEYDORNEY_KERRY,http://www.daft.ie/for-sale/detached-house-ahabeg-west-lixnaw-co-kerry/1336288
