id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3988669,19708606,"Berryleys, Kilcara, Listowel, Co. Kerry",360000.0,N/A,,4,2,Bungalow,2022-07-20,C1,,,52.40272,-9.365986,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-berryleys-kilcara-listowel-co-kerry/3988669
3986712,19688667,"Meenvaughan, Brosna, Co. Kerry",285000.0,109,109 m²,3,1,Bungalow,2022-08-10,C3,114850472,224.02 kWh/m2/yr,52.316388,-9.320231,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-meenvaughan-brosna-co-kerry/3986712
3964383,19511208,"Ballaghbehy South, Abbeyfeale, Co. Limerick",135000.0,N/A,,3,1,Bungalow,2022-07-08,G,,,52.395845,-9.251554,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-ballaghbehy-south-abbeyfeale-co-limerick/3964383
3956002,19432794,"Caher Hayes, Abbeyfeale, Co. Limerick",Price on Application,N/A,,2,1,Bungalow,2022-06-28,E2,,,52.348056,-9.251798,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-caher-hayes-abbeyfeale-co-limerick/3956002
3941994,19342643,"Dromtrasna South, Abbeyfeale, Co. Limerick",175000.0,150,150 m²,3,2,Bungalow,2022-06-21,B1,,,52.352955,-9.223907,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-dromtrasna-south-abbeyfeale-co-limerick/3941994
3936159,19285817,"Dromtrasna Hartnett, Abbeyfeale, Co. Limerick",60000.0,N/A,,2,1,Bungalow,2022-07-08,G,,,52.385874,-9.233705,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-dromtrasna-hartnett-abbeyfeale-co-limerick/3936159
3936039,19284248,"Dromtrasna Hartnett, Abbeyfeale, Co. Limerick",100000.0,N/A,,3,1,Bungalow,2022-07-08,F,,,52.385874,-9.233705,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-dromtrasna-hartnett-abbeyfeale-co-limerick/3936039
3901265,18967299,"34 Cryle View Close, Killarney Road, Abbeyfeale, Co. Limerick",200000.0,N/A,,3,2,Bungalow,2022-05-30,D1,,,52.377178,-9.303398,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-34-cryle-view-close-killarney-road-abbeyfeale-co-limerick/3901265
3802177,18664080,"Meenyvoghane, Brosna, Co. Kerry",120000.0,N/A,,4,2,Bungalow,2022-04-26,G,,,52.316816,-9.32047,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-meenyvoghane-brosna-co-kerry/3802177
3795884,18612652,"Gortnagross, Athea, Co. Limerick",95000.0,124,124 m²,3,2,Bungalow,2022-04-20,SI_666,,,52.454702,-9.281023,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/bungalow-gortnagross-athea-co-limerick/3795884
4011207,113026537,"Brosna West, Brosna, Co. Kerry",99000.0,78,78 m²,3,1,Detached,2022-08-08,G,112252531,557.63 kWh/m2/yr,52.321312,-9.26746,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-brosna-west-brosna-co-kerry/4011207
4004332,112967131,"Knockbrack Lower, Knocknagoshel, Co. Kerry",45000.0,250,250 m²,3,1,Detached,2022-08-02,SI_666,,,52.33294149858048,-9.361225422902834,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-knockbrack-lower-knocknagoshel-co-kerry/4004332
4003144,112954600,"Knockanure, Knockanure Road, Co. Kerry",145000.0,120,120 m²,3,1,Detached,2022-08-01,G,,,52.46258,-9.370903,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-knockanure-knockanure-road-co-kerry/4003144
4000894,112938585,"The Hill, Abbeyfeale, Co. Limerick",359000.0,230,230 m²,3,2,Detached,2022-07-29,B3,114622541,143.29 kWh/m2/yr,52.364985,-9.286518,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-the-hill-abbeyfeale-co-limerick/4000894
4000832,112938553,"Glendarragh, Templeglantine, Co. Limerick",110000.0,133,133 m²,3,1,Detached,2022-07-30,E2,115365264,374.98 kWh/m2/yr,52.420296,-9.154482,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-glendarragh-templeglantine-co-limerick/4000832
3981101,19628344,"Grogeen, Caherlane, Abbeyfeale, Co. Limerick",240000.0,118,118 m²,3,2,Detached,2022-07-28,D1,111843330,231.8 kWh/m2/yr,52.348521,-9.278553,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-grogeen-caherlane-abbeyfeale-co-limerick/3981101
3968988,19549136,"13 Willowbrook, Killarney Road, Abbeyfeale, Co. Limerick",220000.0,132,132 m²,4,4,Detached,2022-08-09,D1,114846975,246.83 kWh/m2/yr,52.373158,-9.311131,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-13-willowbrook-killarney-road-abbeyfeale-co-limerick/3968988
3968827,19548175,"Old Station House, Tullig South, Templeglantine, Co. Limerick",380000.0,150,150 m²,3,2,Detached,2022-07-07,SI_666,,,52.388761,-9.224495,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-old-station-house-tullig-south-templeglantine-co-limerick/3968827
3966108,19523478,"Ballyduff, Knocknagoshel, Co. Kerry",410000.0,N/A,,4,2,Detached,2022-07-06,G,114831167,562.28 kWh/m2/yr,52.30565,-9.403511,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-ballyduff-knocknagoshel-co-kerry/3966108
3965265,19517218,"Athea Lower, Athea, Co. Limerick",310000.0,214,214 m²,5,3,Detached,2022-07-05,D1,115029696,252.29 kWh/m2/yr,52.468744,-9.300912,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-athea-lower-athea-co-limerick/3965265
3964312,19509912,"Athea Lower, Athea, Co. Limerick",310000.0,214,214 m²,5,3,Detached,2022-08-10,D1,115029696,252.29 kWh/m2/yr,52.468744,-9.300912,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-athea-lower-athea-co-limerick/3964312
3962638,19498700,"Glendarragh, Templeglantine, Co. Limerick",175000.0,N/A,,3,1,Detached,2022-08-10,F,,,52.4206049,-9.1608184,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-glendarragh-templeglantine-co-limerick/3962638
3949644,19417840,"The Presbytery, Knocknagoshel, Co. Kerry",185000.0,N/A,,5,2,Detached,2022-08-10,G,,1.0E8 kWh/m2/yr,52.331575,-9.379533,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-the-presbytery-knocknagoshel-co-kerry/3949644
3949453,19416201,"The Presbytery House, Knocknagoshel, Tralee, Co. Kerry",185000.0,200,200 m²,5,2,Detached,2022-08-02,G,112480066,466.86 kWh/m2/yr,52.331808,-9.378798,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-the-presbytery-house-knocknagoshel-tralee-co-kerry/3949453
3947273,19397220,"Rooskagh East, Carrickerry, Co. Limerick",280000.0,215,215 m²,4,2,Detached,2022-07-01,D1,103517850,256.23 kWh/m2/yr,52.4586596,-9.1472678,Buy,ABBEYFEALE_LIMERICK,http://www.daft.ie/for-sale/detached-house-rooskagh-east-carrickerry-co-limerick/3947273
