id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3945402,19377008,"Carrowreagh East, Ballyglunin, Co. Galway",195000.0,149,149 m²,4,3,Bungalow,2022-08-10,B1,,,53.399896,-8.75768,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/bungalow-carrowreagh-east-ballyglunin-co-galway/3945402
3924088,19168263,"Carrowreagh East, Ballyglunin, Co. Galway",195000.0,149,149 m²,4,3,Bungalow,2022-08-10,B1,,,53.399896,-8.75768,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/bungalow-carrowreagh-east-ballyglunin-co-galway/3924088
3995246,112885191,"Gortbeg, Ballyglunin, Abbeyknockmoy, Co. Galway",325000.0,N/A,,4,4,Detached,2022-08-10,C2,,,53.44761355269992,-8.788403664313421,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-gortbeg-ballyglunin-abbeyknockmoy-co-galway/3995246
4008719,113006560,"Crumlin, Ballyglunin, Co. Galway",340000.0,145,145 m²,4,3,Detached,2022-08-10,C2,109217489,189.83 kWh/m2/yr,53.404247,-8.776278,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-crumlin-ballyglunin-co-galway/4008719
3993827,112868853,"Annagh, Tuam, Co. Galway",465000.0,307,307 m²,4,4,Detached,2022-08-10,A2,115368029,48.28 kWh/m2/yr,53.418058,-8.813816,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-annagh-tuam-co-galway/3993827
3992938,19757581,"Brierfield South, Moylough, Co. Galway",470000.0,271,271 m²,4,3,Detached,2022-08-10,C1,115220261,166.41 kWh/m2/yr,53.454704,-8.642517,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-brierfield-south-moylough-co-galway/3992938
3981821,19635249,"Ballynakilla, Tuam, Co. Galway",245000.0,175,175 m²,4,2,Detached,2022-07-31,C3,103593687,211.3 kWh/m2/yr,53.428871,-8.760989,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-ballynakilla-tuam-co-galway/3981821
3972084,19573901,"Killaclogher, Monivea, Co. Galway",485000.0,190,190 m²,5,3,Detached,2022-08-08,B2,115212854,112.04 kWh/m2/yr,53.397758,-8.6856,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-killaclogher-monivea-co-galway/3972084
3972336,19574641,"Ballynakilla, Ballyglunin, Co. Galway",245000.0,175,175 m²,4,2,Detached,2022-07-31,C3,103593687,211.3 kWh/m2/yr,53.428871,-8.760989,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-ballynakilla-ballyglunin-co-galway/3972336
3968982,19549133,"STONE'S CENTRA, Barnaderg, Tuam, Co. Galway",Price on Application,726,726 m²,4,2,Detached,2022-08-10,C3,800854069,363.0 kWh/m2/yr,53.478841,-8.720344,Buy,ABBEYKNOCKMOY_GALWAY,http://www.daft.ie/for-sale/detached-house-stones-centra-barnaderg-tuam-co-galway/3968982
