id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3783297,18507732,"5 Laburnum Close, Ballyroan Road, Abbeyleix, Co. Laois",365000.0,N/A,,4,2,Bungalow,2022-08-10,E2,114782873,357.36 kWh/m2/yr,52.917083,-7.344315,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/bungalow-5-laburnum-close-ballyroan-road-abbeyleix-co-laois/3783297
4019218,113064548,"Ballycarnan, Portlaoise, Co. Laois",495000.0,231,231 m²,4,3,Detached,2022-08-10,B3,,,52.992198,-7.272498,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-ballycarnan-portlaoise-co-laois/4019218
4019292,113065478,"Ballycarnan, Portlaoise, Co. Laois",495000.0,231,231 m²,4,4,Detached,2022-08-10,B3,115393167,126.57 kWh/m2/yr,52.992198,-7.272498,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-ballycarnan-portlaoise-co-laois/4019292
1171320,12130527,"De Vesci Hill, Abbeyleix, Co. Laois",435000.0,N/A,,4,4,Detached,2022-08-10,B3,,,52.90892164545005,-7.348756627845006,New Homes,ABBEYLEIX_LAOIS,http://www.daft.ie/new-home-for-sale/detached-house-the-abbeyleix-de-vesci-hill-de-vesci-hill-abbeyleix-co-laois/1171320
3994387,112875155,"Wood View Cottage, Cullenagh, Portlaoise, Co. Laois",400000.0,224,224 m²,4,1,Detached,2022-08-10,C1,114823644,171.1 kWh/m2/yr,52.979003,-7.275525,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-wood-view-cottage-cullenagh-portlaoise-co-laois/3994387
3984401,19670050,"1 Vesey Close, Abbeyleix, Co. Laois",450000.0,214,214 m²,4,4,Detached,2022-08-09,C1,,,52.910795,-7.353419,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-1-vesey-close-abbeyleix-co-laois/3984401
3971965,19573039,"Derryfore, Ballyroan, Co. Laois",130000.0,N/A,,3,1,Detached,2022-08-09,SI_666,,,52.918543,-7.286348,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-derryfore-ballyroan-co-laois/3971965
3968455,19544461,"Bride Street, Ballinakill, Co. Laois",185000.0,N/A,,3,1,Detached,2022-08-09,G,,,52.874471,-7.310259,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-bride-street-ballinakill-co-laois/3968455
3967091,19530905,"18 Abbey Crescent, Ballyroan Road, Abbeyleix, Co. Laois",260000.0,103,103 m²,3,1,Detached,2022-08-10,E1,114697220,311.61 kWh/m2/yr,52.921618,-7.340748,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-18-abbey-crescent-ballyroan-road-abbeyleix-co-laois/3967091
3966949,19529966,"Carlow Road, Abbeyleix, Co. Laois",375000.0,N/A,,4,2,Detached,2022-08-09,C3,,,52.910488,-7.330103,Buy,ABBEYLEIX_LAOIS,http://www.daft.ie/for-sale/detached-house-carlow-road-abbeyleix-co-laois/3966949
