id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3984227,19666819,"Drumroe, Ardagh, Co. Longford",295000.0,273,273 m²,6,4,Bungalow,2022-08-10,B3,114847999,131.08 kWh/m2/yr,53.689684,-7.684429,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/bungalow-drumroe-ardagh-co-longford/3984227
4003982,112963422,"Lissardowlan, Longford",595000.0,267,267 m²,4,4,Detached,2022-08-02,B3,103099164,140.49 kWh/m2/yr,53.717201,-7.726544,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-lissardowlan-longford/4003982
3999348,112922102,"Cartrongarrow, Ardagh, Co. Longford",130000.0,N/A,,2,1,Detached,2022-07-28,E2,107714511,108.1 kWh/m2/yr,53.672402,-7.728253,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-cartrongarrow-ardagh-co-longford/3999348
3990203,19727521,"Cloonfide, Moydow, Co. Longford",Price on Application,N/A,,1,1,Detached,2022-07-21,SI_666,,,53.6637237319754,-7.7872434212906,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-cloonfide-moydow-co-longford/3990203
3979561,19620850,"5 Rath Na Gcarraige, Ardagh, Co. Longford",285000.0,191,191 m²,4,3,Detached,2022-08-03,B2,112836572,114.83 kWh/m2/yr,53.648571,-7.702947,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-5-rath-na-gcarraige-ardagh-co-longford/3979561
3958658,19456601,"Forgney, Ballymahon, Co. Longford",320000.0,133,133 m²,3,2,Detached,2022-08-10,C2,115190191,195.76 kWh/m2/yr,53.5466,-7.68635,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-forgney-ballymahon-co-longford/3958658
3932972,19254995,"Whiterock, Longford Town, Co. Longford",169000.0,113,113 m²,4,2,Detached,2022-06-14,E1,115052953,337.62 kWh/m2/yr,53.729342,-7.754682,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-whiterock-longford-town-co-longford/3932972
3917550,19112441,"Druming, Ardagh, Co. Longford",429000.0,280,280 m²,4,3,Detached,2022-08-03,B1,,,53.657604,-7.703955,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-druming-ardagh-co-longford/3917550
3567742,16417208,"Kilcurry, Colehill, Co. Longford",85000.0,N/A,,4,1,Detached,2022-08-03,SI_666,,,53.585079,-7.714146,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-kilcurry-colehill-co-longford/3567742
3643616,17186906,"Toome, Ballymahon, Co. Longford",70000.0,N/A,,1,,Detached,2022-08-03,SI_666,,,53.574544,-7.744209,Buy,ABBEYSHRULE_LONGFORD,http://www.daft.ie/for-sale/detached-house-toome-ballymahon-co-longford/3643616
