id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3956276,19436520,"Sraheens, Achill Sound, Achill, Co. Mayo","AMV: €165,000",80,80 m²,3,1,Bungalow,2022-08-10,G,105437719,884.32 kWh/m2/yr,53.922777,-9.945913,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/bungalow-sraheens-achill-sound-achill-co-mayo/3956276
3716596,17926061,"Dooghbeg, Mulranny, Westport, Co. Mayo",355000.0,N/A,,5,4,Bungalow,2022-08-02,D1,,239.01 kWh/m2/yr,53.887137,-9.806754,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/bungalow-dooghbeg-mulranny-westport-co-mayo/3716596
3999506,112925512,"16 Trawmore Cottages, Keel, Achill, Co. Mayo",189000.0,112,112 m²,4,2,Detached,2022-07-28,E1,,,53.97899,-10.086685,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-16-trawmore-cottages-keel-achill-co-mayo/3999506
3983086,19651990,"Brigadoon, Slievemore Road, Achill, Co. Mayo",Price on Application,365,365 m²,6,6,Detached,2022-07-20,B2,115226060,124.69 kWh/m2/yr,53.996279,-10.059762,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-brigadoon-slievemore-road-achill-co-mayo/3983086
3971636,19570777,"Dugort, Achill, Co. Mayo",349000.0,187,187 m²,4,3,Detached,2022-07-20,D1,,,54.009759,-10.028574,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-dugort-achill-co-mayo/3971636
3928865,19217603,"Pollranny, Achill, Co. Mayo",Price on Application,74,74 m²,3,1,Detached,2022-07-13,G,,,53.934732,-9.910945,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-pollranny-achill-co-mayo/3928865
3924395,19171217,"The Brae, Dooagh, Achill, Co. Mayo",285000.0,200,200 m²,5,2,Detached,2022-07-20,D2,,,53.973956,-10.118587,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-the-brae-dooagh-achill-co-mayo/3924395
3919999,19136969,"'Wild Haven & 'Clip Joint', The Points, Achill Sound, Achill, Co. Mayo",575000.0,173,173 m²,4,4,Detached,2022-07-20,F,115036493,385.86 kWh/m2/yr,53.929005,-9.928241,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-wild-haven-clip-joint-the-points-achill-sound-achill-co-mayo/3919999
3916477,19103728,"Ié³seph, The Points, Achill, Co. Mayo",320000.0,N/A,,4,2,Detached,2022-08-04,C3,,,53.918185,-9.938594,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-i-seph-the-points-achill-co-mayo/3916477
3897138,18922195,"Cottage & 3.8 Acres, Keel, Achill, Co. Mayo",850000.0,N/A,,3,1,Detached,2022-07-21,G,,,53.974102,-10.092711,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-cottage-3-8-acres-keel-achill-co-mayo/3897138
3797885,18628262,"The Boreen, Cashel, Achill, Co. Mayo",139000.0,86,86 m²,3,1,Detached,2022-07-20,F,114844137,383.83 kWh/m2/yr,53.960468,-9.970031,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-the-boreen-cashel-achill-co-mayo/3797885
2909445,13761273,"Saula, Achill, Co. Mayo",95000.0,N/A,,2,1,Detached,2022-07-20,SI_666,,,53.9578254249293,-9.926034196757115,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-saula-achill-co-mayo/2909445
3752310,18259983,"Cashel, Achill, Co. Mayo",79000.0,90,90 m²,3,1,Detached,2022-07-20,SI_666,,,53.957593859129304,-9.969809202779658,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-cashel-achill-co-mayo/3752310
3714531,17903891,"Achill Cottages, Achill, Co. Mayo",895000.0,113,113 m²,12,8,Detached,2022-07-20,D2,100587096,287.73 kWh/m2/yr,53.9321355,-9.9428538,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-achill-cottages-achill-co-mayo/3714531
3510824,16060669,"The Old Post Office, Bunnacurry, Achill, Co. Mayo",145000.0,N/A,,4,2,Detached,2022-07-20,G,,,53.976255,-9.983555,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-the-old-post-office-bunnacurry-achill-co-mayo/3510824
2633035,13152757,"Sraheens, Achill, Co. Mayo",290000.0,142,142 m²,4,2,Detached,2022-07-13,F,,,53.914186,-9.956044,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-sraheens-achill-co-mayo/2633035
2562182,12692482,"Dugort East, Achill, Co. Mayo",375000.0,235,235 m²,4,3,Detached,2022-08-10,,,,54.007513,-9.995863,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-dugort-east-achill-co-mayo/2562182
3990584,19729902,"23 Bé¡rr Na Farraige, Achill, Co. Mayo",195000.0,N/A,,3,2,End of Terrace,2022-08-04,E1,,,53.926631,-9.930252,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/end-of-terrace-house-23-b-rr-na-farraige-achill-co-mayo/3990584
3999506,112925512,"16 Trawmore Cottages, Keel, Achill, Co. Mayo",189000.0,112,112 m²,4,2,Detached,2022-07-28,E1,,,53.97899,-10.086685,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-16-trawmore-cottages-keel-achill-co-mayo/3999506
3990584,19729902,"23 Bé¡rr Na Farraige, Achill, Co. Mayo",195000.0,N/A,,3,2,End of Terrace,2022-08-04,E1,,,53.926631,-9.930252,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/end-of-terrace-house-23-b-rr-na-farraige-achill-co-mayo/3990584
3983086,19651990,"Brigadoon, Slievemore Road, Achill, Co. Mayo",Price on Application,365,365 m²,6,6,Detached,2022-07-20,B2,115226060,124.69 kWh/m2/yr,53.996279,-10.059762,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-brigadoon-slievemore-road-achill-co-mayo/3983086
3971636,19570777,"Dugort, Achill, Co. Mayo",349000.0,187,187 m²,4,3,Detached,2022-07-20,D1,,,54.009759,-10.028574,Buy,ACHILL_MAYO,http://www.daft.ie/for-sale/detached-house-dugort-achill-co-mayo/3971636
