id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3956276,19436520,"Sraheens, Achill Sound, Achill, Co. Mayo","AMV: €165,000",80,80 m²,3,1,Bungalow,2022-08-10,G,105437719,884.32 kWh/m2/yr,53.922777,-9.945913,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/bungalow-sraheens-achill-sound-achill-co-mayo/3956276
3919999,19136969,"'Wild Haven & 'Clip Joint', The Points, Achill Sound, Achill, Co. Mayo",575000.0,173,173 m²,4,4,Detached,2022-07-20,F,115036493,385.86 kWh/m2/yr,53.929005,-9.928241,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-wild-haven-clip-joint-the-points-achill-sound-achill-co-mayo/3919999
3916477,19103728,"Ié³seph, The Points, Achill, Co. Mayo",320000.0,N/A,,4,2,Detached,2022-08-04,C3,,,53.918185,-9.938594,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-i-seph-the-points-achill-co-mayo/3916477
3714531,17903891,"Achill Cottages, Achill, Co. Mayo",895000.0,113,113 m²,12,8,Detached,2022-07-20,D2,100587096,287.73 kWh/m2/yr,53.9321355,-9.9428538,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-achill-cottages-achill-co-mayo/3714531
2633035,13152757,"Sraheens, Achill, Co. Mayo",290000.0,142,142 m²,4,2,Detached,2022-07-13,F,,,53.914186,-9.956044,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-sraheens-achill-co-mayo/2633035
3990584,19729902,"23 Bé¡rr Na Farraige, Achill, Co. Mayo",195000.0,N/A,,3,2,End of Terrace,2022-08-04,E1,,,53.926631,-9.930252,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/end-of-terrace-house-23-b-rr-na-farraige-achill-co-mayo/3990584
3990584,19729902,"23 Bé¡rr Na Farraige, Achill, Co. Mayo",195000.0,N/A,,3,2,End of Terrace,2022-08-04,E1,,,53.926631,-9.930252,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/end-of-terrace-house-23-b-rr-na-farraige-achill-co-mayo/3990584
3919999,19136969,"'Wild Haven & 'Clip Joint', The Points, Achill Sound, Achill, Co. Mayo",575000.0,173,173 m²,4,4,Detached,2022-07-20,F,115036493,385.86 kWh/m2/yr,53.929005,-9.928241,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-wild-haven-clip-joint-the-points-achill-sound-achill-co-mayo/3919999
3916477,19103728,"Ié³seph, The Points, Achill, Co. Mayo",320000.0,N/A,,4,2,Detached,2022-08-04,C3,,,53.918185,-9.938594,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-i-seph-the-points-achill-co-mayo/3916477
3714531,17903891,"Achill Cottages, Achill, Co. Mayo",895000.0,113,113 m²,12,8,Detached,2022-07-20,D2,100587096,287.73 kWh/m2/yr,53.9321355,-9.9428538,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-achill-cottages-achill-co-mayo/3714531
2633035,13152757,"Sraheens, Achill, Co. Mayo",290000.0,142,142 m²,4,2,Detached,2022-07-13,F,,,53.914186,-9.956044,Buy,ACHILL_SOUND_MAYO,http://www.daft.ie/for-sale/detached-house-sraheens-achill-co-mayo/2633035
