id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
4018834,113060586,"8 Adamstown Park, Adamstown, Lucan, Co. Dublin",285000.0,82,82 m²,2,2,Apartment,2022-08-10,B1,104576749,97.34 kWh/m2/yr,53.337446,-6.46595,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/apartment-8-adamstown-park-adamstown-lucan-co-dublin/4018834
4003164,112954614,"4 Castlegate Copse, Adamstown, Co. Dublin",315000.0,90,90 m²,2,2,Apartment,2022-08-03,B3,115197964,,53.3369186,-6.4614709,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/apartment-4-castlegate-copse-adamstown-co-dublin/4003164
3991471,19741498,"38 Stratton Walk, Adamstown, Lucan, Co. Dublin",270000.0,80,80 m²,2,2,Apartment,2022-07-22,B3,105332225,134.23 kWh/m2/yr,53.338065,-6.464756,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/apartment-38-stratton-walk-adamstown-lucan-co-dublin/3991471
3940974,19333273,"15 Castlegate Way, Adamstown, Adamstown, Co. Dublin",235000.0,58,58 m²,1,1,Apartment,2022-08-09,C2,,,53.338047,-6.454409,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/apartment-15-castlegate-way-adamstown-adamstown-co-dublin/3940974
4005375,112977857,"24 Stratton Square, Adamstown Square, Lucan, Co. Dublin",380000.0,88,88 m²,2,3,Detached,2022-08-03,A3,109614917,66.69 kWh/m2/yr,53.338924,-6.468829,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-24-stratton-square-adamstown-square-lucan-co-dublin/4005375
4011601,113030798,"40 Castlegate Park, Adamstown, Lucan, Co. Dublin",320000.0,116,116 m²,3,3,Duplex,2022-08-08,B3,115398844,128.36 kWh/m2/yr,53.337893,-6.456914,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/duplex-40-castlegate-park-adamstown-lucan-co-dublin/4011601
3910892,19058543,"13 Castlegate Dene, Adamstown, Co. Dublin",315000.0,93,93 m²,3,3,Duplex,2022-08-09,C1,,,53.33728,-6.454825,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/duplex-13-castlegate-dene-adamstown-co-dublin/3910892
3998150,112917064,"63 The Paddocks View, Lucan, Co. Dublin",399000.0,115,115 m²,3,3,End of Terrace,2022-07-28,A3,101702579,60.8 kWh/m2/yr,53.34883,-6.464048,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-63-the-paddocks-view-lucan-co-dublin/3998150
3979774,19624124,"2 The Paddocks Walk, Adamstown, Co. Dublin",375000.0,91,91 m²,3,3,End of Terrace,2022-07-17,C2,114856495,189.01 kWh/m2/yr,53.3481883,-6.4602562,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-2-the-paddocks-walk-adamstown-co-dublin/3979774
3978861,19616980,"22 The Paddocks Place, The Paddocks Road, Adamstown, Co. Dublin",345000.0,89,89 m²,3,3,End of Terrace,2022-08-09,C1,,,53.347369,-6.458364,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-22-the-paddocks-place-the-paddocks-road-adamstown-co-dublin/3978861
3941830,19341953,"1 Stratton Lawn, Adamstown, Co. Dublin",389000.0,106,106 m²,3,3,End of Terrace,2022-08-09,A3,,,53.338374,-6.466834,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-stratton-lawn-adamstown-co-dublin/3941830
3913026,19072061,"20 Castlegate Green, Lucan, Co. Dublin",350000.0,89,89 m²,3,3,End of Terrace,2022-08-10,C2,,,53.338153,-6.459673,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-20-castlegate-green-lucan-co-dublin/3913026
4013392,113047451,"21 The Paddocks Grove, Adamstown, Lucan, Co. Dublin",385000.0,115,115 m²,4,3,Semi-D,2022-08-10,C1,,,53.348372,-6.459294,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-21-the-paddocks-grove-adamstown-lucan-co-dublin/4013392
4007350,112994199,"13 Castlegate Row, Lucan, Co. Dublin",394500.0,89,89 m²,3,3,Semi-D,2022-08-04,C1,,,53.337163,-6.459872,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-13-castlegate-row-lucan-co-dublin/4007350
4005375,112977857,"24 Stratton Square, Adamstown Square, Lucan, Co. Dublin",380000.0,88,88 m²,2,3,Detached,2022-08-03,A3,109614917,66.69 kWh/m2/yr,53.338924,-6.468829,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-24-stratton-square-adamstown-square-lucan-co-dublin/4005375
3998150,112917064,"63 The Paddocks View, Lucan, Co. Dublin",399000.0,115,115 m²,3,3,End of Terrace,2022-07-28,A3,101702579,60.8 kWh/m2/yr,53.34883,-6.464048,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-63-the-paddocks-view-lucan-co-dublin/3998150
3997189,112906467,"25 The Paddocks Place, The Paddocks Road, Lucan, Co. Dublin",315000.0,120,120 m²,3,3,Townhouse,2022-08-09,B3,,,53.347201,-6.458256,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/townhouse-25-the-paddocks-place-the-paddocks-road-lucan-co-dublin/3997189
3979774,19624124,"2 The Paddocks Walk, Adamstown, Co. Dublin",375000.0,91,91 m²,3,3,End of Terrace,2022-07-17,C2,114856495,189.01 kWh/m2/yr,53.3481883,-6.4602562,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-2-the-paddocks-walk-adamstown-co-dublin/3979774
3978861,19616980,"22 The Paddocks Place, The Paddocks Road, Adamstown, Co. Dublin",345000.0,89,89 m²,3,3,End of Terrace,2022-08-09,C1,,,53.347369,-6.458364,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-22-the-paddocks-place-the-paddocks-road-adamstown-co-dublin/3978861
3969877,19556192,"56 Stratton Walk, Adamstown, Co. Dublin",369000.0,125,125 m²,3,3,Terrace,2022-08-09,B1,,,53.338059,-6.465372,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-56-stratton-walk-adamstown-co-dublin/3969877
3962056,19494300,"11 Castlegate Park, Adamstown Castle, Lucan, Co. Dublin",475000.0,159,159 m²,4,3,Terrace,2022-08-10,B2,,,53.337541,-6.455122,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-castlegate-park-adamstown-castle-lucan-co-dublin/3962056
3941830,19341953,"1 Stratton Lawn, Adamstown, Co. Dublin",389000.0,106,106 m²,3,3,End of Terrace,2022-08-09,A3,,,53.338374,-6.466834,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-stratton-lawn-adamstown-co-dublin/3941830
3913026,19072061,"20 Castlegate Green, Lucan, Co. Dublin",350000.0,89,89 m²,3,3,End of Terrace,2022-08-10,C2,,,53.338153,-6.459673,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-20-castlegate-green-lucan-co-dublin/3913026
3791964,18581766,"13 Castlegate Row, Adamstown, Co. Dublin",395000.0,100,100 m²,3,3,Semi-D,2022-08-03,C1,114729577,28.37 kWh/m2/yr,53.337163,-6.459872,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-13-castlegate-row-adamstown-co-dublin/3791964
4013392,113047451,"21 The Paddocks Grove, Adamstown, Lucan, Co. Dublin",385000.0,115,115 m²,4,3,Semi-D,2022-08-10,C1,,,53.348372,-6.459294,Buy,ADAMSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-21-the-paddocks-grove-adamstown-lucan-co-dublin/4013392
