id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3910479,19053683,"Adrigole Park, Adrigole, Co. Cork",2250000.0,270,270 m²,8,7,Detached,2022-08-09,E2,114881493,372.77 kWh/m2/yr,51.692173,-9.72273,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-adrigole-park-adrigole-co-cork/3910479
3909606,19043540,"The Enchanted Cottage, Derryconnery, Glengarriff, Co. Cork",545000.0,112,112 m²,2,2,Detached,2022-08-10,F,114320468,434.24 kWh/m2/yr,51.733175,-9.557106,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-the-enchanted-cottage-derryconnery-glengarriff-co-cork/3909606
77580,11703805,"Kildromalive Adrigole, Beara, Co. Cork",450000.0,N/A,,4,2,Detached,2022-07-01,B3,114287709,132.31 kWh/m2/yr,51.69539764210288,-9.6644926071167,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-kildromalive-adrigole-beara-co-cork/77580
3744444,18179965,"THE WILD ATLANTIC BAR, Trafrask East, Beara, Co. Cork",475000.0,N/A,,6,4,Detached,2022-06-14,D1,800245672,732.36 kWh/m2/yr,51.687418,-9.666694,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-the-wild-atlantic-bar-trafrask-east-beara-co-cork/3744444
3192161,14539548,"Tooreenagrena, Adrigole, Co. Cork",150000.0,N/A,,3,,Detached,2022-08-08,SI_666,,,51.682591,-9.7161741,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-tooreenagrena-adrigole-co-cork/3192161
3910479,19053683,"Adrigole Park, Adrigole, Co. Cork",2250000.0,270,270 m²,8,7,Detached,2022-08-09,E2,114881493,372.77 kWh/m2/yr,51.692173,-9.72273,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-adrigole-park-adrigole-co-cork/3910479
3909606,19043540,"The Enchanted Cottage, Derryconnery, Glengarriff, Co. Cork",545000.0,112,112 m²,2,2,Detached,2022-08-10,F,114320468,434.24 kWh/m2/yr,51.733175,-9.557106,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-the-enchanted-cottage-derryconnery-glengarriff-co-cork/3909606
77580,11703805,"Kildromalive Adrigole, Beara, Co. Cork",450000.0,N/A,,4,2,Detached,2022-07-01,B3,114287709,132.31 kWh/m2/yr,51.69539764210288,-9.6644926071167,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-kildromalive-adrigole-beara-co-cork/77580
3744444,18179965,"THE WILD ATLANTIC BAR, Trafrask East, Beara, Co. Cork",475000.0,N/A,,6,4,Detached,2022-06-14,D1,800245672,732.36 kWh/m2/yr,51.687418,-9.666694,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-the-wild-atlantic-bar-trafrask-east-beara-co-cork/3744444
3192161,14539548,"Tooreenagrena, Adrigole, Co. Cork",150000.0,N/A,,3,,Detached,2022-08-08,SI_666,,,51.682591,-9.7161741,Buy,ADRIGOLE_CORK,http://www.daft.ie/for-sale/detached-house-tooreenagrena-adrigole-co-cork/3192161
