id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
4005852,112980445,"Teach Beag, Rylane, Macroom, Co. Cork",195000.0,72,72 m²,3,1,Detached,2022-08-03,E2,102778354,369.31 kWh/m2/yr,51.981306,-8.833139,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-teach-beag-rylane-macroom-co-cork/4005852
3968847,19548186,"Mountrivers, Rylane, Macroom, Co. Cork",165000.0,51,51 m²,2,2,Detached,2022-07-14,G,115341604,581.49 kWh/m2/yr,51.977762,-8.835646,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-mountrivers-rylane-macroom-co-cork/3968847
3957881,19450091,"Rylane East, Rylane, Co. Cork",380000.0,160,160 m²,3,3,Detached,2022-07-29,C1,115189706,152.26 kWh/m2/yr,51.971219,-8.802342,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-rylane-east-rylane-co-cork/3957881
3947569,19399536,"Monataggart, Donoughmore, Co. Cork",240000.0,78,78 m²,3,1,Detached,2022-06-24,G,115155525,,51.979643,-8.779496,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-monataggart-donoughmore-co-cork/3947569
3817039,18791523,"FRED'S BAR, Macroom, Co. Cork",300000.0,153,153 m²,3,4,Detached,2022-05-24,D2,800848111,1.8 kWh/m2/yr,51.97854,-8.834571,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-freds-bar-macroom-co-cork/3817039
2891403,13651102,"Gort Álainn, Aghabullogue Coachfiord, Aghabullogue, Co. Cork",395000.0,N/A,,4,3,Detached,2022-08-10,NA,,,51.94585437135345,-8.809578183235118,New Homes,AGHABULLOGUE_CORK,http://www.daft.ie/new-home-for-sale/detached-house-house-type-a-gort-lainn-gort-lainn-aghabullogue-coachfiord-aghabullogue-co-cork/2891403
2891404,13651103,"Gort Álainn, Aghabullogue Coachfiord, Aghabullogue, Co. Cork",395000.0,N/A,,4,3,Detached,2022-08-10,NA,,,51.94585437135345,-8.809578183235118,New Homes,AGHABULLOGUE_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-a1-gort-lainn-gort-lainn-aghabullogue-coachfiord-aghabullogue-co-cork/2891404
4005852,112980445,"Teach Beag, Rylane, Macroom, Co. Cork",195000.0,72,72 m²,3,1,Detached,2022-08-03,E2,102778354,369.31 kWh/m2/yr,51.981306,-8.833139,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-teach-beag-rylane-macroom-co-cork/4005852
3968847,19548186,"Mountrivers, Rylane, Macroom, Co. Cork",165000.0,51,51 m²,2,2,Detached,2022-07-14,G,115341604,581.49 kWh/m2/yr,51.977762,-8.835646,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-mountrivers-rylane-macroom-co-cork/3968847
3957881,19450091,"Rylane East, Rylane, Co. Cork",380000.0,160,160 m²,3,3,Detached,2022-07-29,C1,115189706,152.26 kWh/m2/yr,51.971219,-8.802342,Buy,AGHABULLOGUE_CORK,http://www.daft.ie/for-sale/detached-house-rylane-east-rylane-co-cork/3957881
