id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
4008743,113006571,"Drumracken, Aghacashal, Carrick on Shannon, Aghacashel, Co. Leitrim",119000.0,75,75 m²,2,1,Detached,2022-08-10,F,,,54.070499864755476,-7.888297637650254,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-drumracken-aghacashal-carrick-on-shannon-aghacashel-co-leitrim/4008743
3994405,112876309,"Drumeanan Beg, Ballinamore, Co. Leitrim",299000.0,155,155 m²,3,3,Detached,2022-08-09,C1,115365199,172.87 kWh/m2/yr,54.054773,-7.908842,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-drumeanan-beg-ballinamore-co-leitrim/3994405
3986516,19687880,"Blue Gates, Hilly Road, Drumshanbo, Co. Leitrim",135000.0,116,116 m²,2,1,Detached,2022-08-05,F,115230369,402.73 kWh/m2/yr,54.031001,-8.009106,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-blue-gates-hilly-road-drumshanbo-co-leitrim/3986516
3978453,19612181,"Mullinasella, Aghacashel, Carrick-on-Shannon, Co. Leitrim",95000.0,N/A,,3,1,Detached,2022-08-10,D2,,,54.084556,-7.887794,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-mullinasella-aghacashel-carrick-on-shannon-co-leitrim/3978453
3934945,19275457,"Cottage & C. 51 acres, Pottore, Aughnasheelan, Co. Leitrim","AMV: €175,000",N/A,,1,1,Detached,2022-08-10,SI_666,,,54.10260432191524,-7.870035714576147,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-cottage-c-51-acres-pottore-aughnasheelan-co-leitrim/3934945
3802754,18668694,"Miskaun Glebe, Aughnasheelan, Co. Leitrim",160000.0,190,190 m²,4,3,Detached,2022-08-09,SI_666,,,54.084686,-7.865872,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-miskaun-glebe-aughnasheelan-co-leitrim/3802754
3484048,15844275,"Pottore, Aughnasheelan, Co. Leitrim",175000.0,60,60 m²,2,,Detached,2022-08-10,SI_666,,,54.10062782639781,-7.895918753450502,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-pottore-aughnasheelan-co-leitrim/3484048
4008743,113006571,"Drumracken, Aghacashal, Carrick on Shannon, Aghacashel, Co. Leitrim",119000.0,75,75 m²,2,1,Detached,2022-08-10,F,,,54.070499864755476,-7.888297637650254,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-drumracken-aghacashal-carrick-on-shannon-aghacashel-co-leitrim/4008743
3994405,112876309,"Drumeanan Beg, Ballinamore, Co. Leitrim",299000.0,155,155 m²,3,3,Detached,2022-08-09,C1,115365199,172.87 kWh/m2/yr,54.054773,-7.908842,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-drumeanan-beg-ballinamore-co-leitrim/3994405
3986516,19687880,"Blue Gates, Hilly Road, Drumshanbo, Co. Leitrim",135000.0,116,116 m²,2,1,Detached,2022-08-05,F,115230369,402.73 kWh/m2/yr,54.031001,-8.009106,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-blue-gates-hilly-road-drumshanbo-co-leitrim/3986516
3978453,19612181,"Mullinasella, Aghacashel, Carrick-on-Shannon, Co. Leitrim",95000.0,N/A,,3,1,Detached,2022-08-10,D2,,,54.084556,-7.887794,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-mullinasella-aghacashel-carrick-on-shannon-co-leitrim/3978453
3934945,19275457,"Cottage & C. 51 acres, Pottore, Aughnasheelan, Co. Leitrim","AMV: €175,000",N/A,,1,1,Detached,2022-08-10,SI_666,,,54.10260432191524,-7.870035714576147,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-cottage-c-51-acres-pottore-aughnasheelan-co-leitrim/3934945
3802754,18668694,"Miskaun Glebe, Aughnasheelan, Co. Leitrim",160000.0,190,190 m²,4,3,Detached,2022-08-09,SI_666,,,54.084686,-7.865872,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-miskaun-glebe-aughnasheelan-co-leitrim/3802754
3484048,15844275,"Pottore, Aughnasheelan, Co. Leitrim",175000.0,60,60 m²,2,,Detached,2022-08-10,SI_666,,,54.10062782639781,-7.895918753450502,Buy,AGHACASHEL_LEITRIM,http://www.daft.ie/for-sale/detached-house-pottore-aughnasheelan-co-leitrim/3484048
