id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3967119,19530939,"Cluain Ard, Aghada Hall, Midleton, Co. Cork",325000.0,84,84 m²,3,1,Detached,2022-08-05,E1,115217580,322.91 kWh/m2/yr,51.840026,-8.221373,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/detached-house-cluain-ard-aghada-hall-midleton-co-cork/3967119
3946746,19391719,"Greenpark, Aghada, Co. Cork",550000.0,158,158 m²,4,3,Detached,2022-08-09,B1,,,51.837524,-8.19825,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/detached-house-greenpark-aghada-co-cork/3946746
3967119,19530939,"Cluain Ard, Aghada Hall, Midleton, Co. Cork",325000.0,84,84 m²,3,1,Detached,2022-08-05,E1,115217580,322.91 kWh/m2/yr,51.840026,-8.221373,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/detached-house-cluain-ard-aghada-hall-midleton-co-cork/3967119
3890151,18862453,"7 Siddons Court, Aghada, Co. Cork",245000.0,84,84 m²,3,3,Townhouse,2022-08-05,C1,114773757,174.71 kWh/m2/yr,51.842633,-8.208753,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/townhouse-7-siddons-court-aghada-co-cork/3890151
3946746,19391719,"Greenpark, Aghada, Co. Cork",550000.0,158,158 m²,4,3,Detached,2022-08-09,B1,,,51.837524,-8.19825,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/detached-house-greenpark-aghada-co-cork/3946746
3943913,19363391,"19 Curragh Glen, Upper Aghada, Midleton, Co. Cork",240000.0,105,105 m²,3,3,Terrace,2022-08-10,B3,115187106,130.47 kWh/m2/yr,51.8364205,-8.2089998,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/terraced-house-19-curragh-glen-upper-aghada-midleton-co-cork/3943913
3923161,19160004,"16 Main Street, Rostellan, Co. Cork",195000.0,70,70 m²,2,2,Townhouse,2022-06-06,C2,115030116,192.09 kWh/m2/yr,51.844276,-8.192638,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/townhouse-16-main-street-rostellan-co-cork/3923161
3915896,19098337,"10 Seaview, Rostellan, Co. Cork",179000.0,N/A,,2,1,Terrace,2022-08-10,C3,101045201,224.62 kWh/m2/yr,51.844332,-8.19211,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/terraced-house-10-seaview-rostellan-co-cork/3915896
3943913,19363391,"19 Curragh Glen, Upper Aghada, Midleton, Co. Cork",240000.0,105,105 m²,3,3,Terrace,2022-08-10,B3,115187106,130.47 kWh/m2/yr,51.8364205,-8.2089998,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/terraced-house-19-curragh-glen-upper-aghada-midleton-co-cork/3943913
3915896,19098337,"10 Seaview, Rostellan, Co. Cork",179000.0,N/A,,2,1,Terrace,2022-08-10,C3,101045201,224.62 kWh/m2/yr,51.844332,-8.19211,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/terraced-house-10-seaview-rostellan-co-cork/3915896
3890151,18862453,"7 Siddons Court, Aghada, Co. Cork",245000.0,84,84 m²,3,3,Townhouse,2022-08-05,C1,114773757,174.71 kWh/m2/yr,51.842633,-8.208753,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/townhouse-7-siddons-court-aghada-co-cork/3890151
3923161,19160004,"16 Main Street, Rostellan, Co. Cork",195000.0,70,70 m²,2,2,Townhouse,2022-06-06,C2,115030116,192.09 kWh/m2/yr,51.844276,-8.192638,Buy,AGHADA_CORK,http://www.daft.ie/for-sale/townhouse-16-main-street-rostellan-co-cork/3923161
