id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
4007963,113001155,"Tullyganny, Urlaur, Kilkelly, Co Mayo, Aghadiffin, Co. Mayo",75000.0,N/A,,3,1,Bungalow,2022-08-04,,,,53.85529585222177,-8.712739907205105,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/bungalow-tullyganny-urlaur-kilkelly-co-mayo-aghadiffin-co-mayo/4007963
2564235,12696111,"Culmore, Kilkelly, Co. Mayo",380000.0,N/A,,3,2,Bungalow,2022-08-10,D1,,,53.873474,-8.836495,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/bungalow-culmore-kilkelly-co-mayo/2564235
3983795,19659798,"Falleighter, Kilkelly, Co. Mayo",395000.0,352,352 m²,4,4,Detached,2022-08-10,B2,115217366,100.68 kWh/m2/yr,53.86189,-8.825652,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-falleighter-kilkelly-co-mayo/3983795
3979525,19620834,"1 Lisacul Manor, Lisacul, Castlerea, Co. Roscommon",180000.0,N/A,,4,3,Detached,2022-08-10,C3,,,53.853315,-8.629791,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-1-lisacul-manor-lisacul-castlerea-co-roscommon/3979525
3942111,19343430,"Tavraun, Kilkelly, Co. Mayo",30000.0,N/A,,3,1,Detached,2022-08-10,SI_666,,,53.8833047922528,-8.795391311742861,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-tavraun-kilkelly-co-mayo/3942111
3919421,19131556,"Aghadiffin, Kilkelly, Co. Mayo",165000.0,N/A,,2,1,Detached,2022-08-10,D1,,,53.866983,-8.717118,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-aghadiffin-kilkelly-co-mayo/3919421
3916103,19100610,"Carnagruckane, Lisacul, Castlerea, Co. Roscommon",149000.0,68,68 m²,2,1,Detached,2022-08-08,G,114891732,1176.48 kWh/m2/yr,53.85244,-8.645936,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-carnagruckane-lisacul-castlerea-co-roscommon/3916103
3898220,18931082,"Feigh, Lisacul, Castlerea, Co. Roscommon",310000.0,240,240 m²,5,5,Detached,2022-08-10,C1,,,53.846759,-8.591782,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-feigh-lisacul-castlerea-co-roscommon/3898220
3892057,18880445,"Curraghsallagh, Lisacul, Lisacul, Co. Roscommon",89000.0,95,95 m²,2,1,Detached,2022-08-08,F,114823305,,53.864023,-8.672615,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-curraghsallagh-lisacul-lisacul-co-roscommon/3892057
3808179,18725892,"Cloonrow, Urlaur, Co. Mayo",195000.0,N/A,,3,1,Detached,2022-08-10,D1,,,53.846197,-8.728346,Buy,AGHADIFFIN_MAYO,http://www.daft.ie/for-sale/detached-house-cloonrow-urlaur-co-mayo/3808179
