id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3895844,18910774,"The Reeks Gateway, 13 Tralee Road, Killarney, Co. Kerry",350000.0,113,113 m²,2,2,Apartment,2022-08-10,C2,112734496,,52.06841723856,-9.5171021339272,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/apartment-the-reeks-gateway-13-tralee-road-killarney-co-kerry/3895844
3968900,19548216,"Clohill, 22 Millwood, Killarney, Co. Kerry",330000.0,N/A,,3,1,Bungalow,2022-08-03,E1,,,52.066116,-9.519175,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/bungalow-clohill-22-millwood-killarney-co-kerry/3968900
3984766,19672106,"Ross Road, Killarney, Co. Kerry",Price on Application,279,279 m²,4,5,Detached,2022-07-29,SI_666,,,52.043959619626264,-9.529033015468116,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-ross-road-killarney-co-kerry/3984766
4008950,113008265,"Ballydowney, Killarney, Co. Kerry",470000.0,124,124 m²,5,,Detached,2022-08-10,E2,114755564,367.65 kWh/m2/yr,52.068584,-9.529056,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-ballydowney-killarney-co-kerry/4008950
3986225,19685902,"3 Parkland Holiday Homes, Port Road, Killarney, Co. Kerry",320000.0,111,111 m²,3,3,Detached,2022-08-10,D1,,,52.067285,-9.521718,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-3-parkland-holiday-homes-port-road-killarney-co-kerry/3986225
3957982,19451152,"Ballydowney, Killarney, Co. Kerry",450000.0,125,125 m²,3,3,Detached,2022-08-10,C3,,,52.0684171,-9.5280429,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-ballydowney-killarney-co-kerry/3957982
3939598,19321004,"Gullane East, Gneeveguilla, Rathmore, Killarney, Co. Kerry",95000.0,N/A,,1,1,Detached,2022-08-10,SI_666,,,52.0623763,-9.5075091,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-gullane-east-gneeveguilla-rathmore-killarney-co-kerry/3939598
3779403,18469660,"9 Ross Avenue, Ross Road, Killarney, Co. Kerry",Price on Application,279,279 m²,4,4,Detached,2022-08-03,A1,,,52.049307,-9.518963,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-9-ross-avenue-ross-road-killarney-co-kerry/3779403
3981758,19634542,"19 Chapel Court, Chapel Lane, Killarney, Co. Kerry",170000.0,60,60 m²,2,2,Duplex,2022-08-10,C2,115346694,189.29 kWh/m2/yr,52.059942,-9.512091,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/duplex-19-chapel-court-chapel-lane-killarney-co-kerry/3981758
3984766,19672106,"Ross Road, Killarney, Co. Kerry",Price on Application,279,279 m²,4,5,Detached,2022-07-29,SI_666,,,52.043959619626264,-9.529033015468116,Buy,AGHADOE_KERRY,http://www.daft.ie/for-sale/detached-house-ross-road-killarney-co-kerry/3984766
