id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3987420,19695808,"Fairhavens, Sheeaune , Westport, Co. Mayo",399000.0,125,125 m²,6,3,Bungalow,2022-08-07,B3,115375347,29.7 kWh/m2/yr,53.80835816636312,-9.46608692407608,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/bungalow-fairhavens-sheeaune-westport-co-mayo/3987420
3959705,19469535,"Cushinkeel, Westport, Co. Mayo",335000.0,129,129 m²,4,1,Bungalow,2022-08-10,C3,101579928,224.18 kWh/m2/yr,53.796854,-9.44033,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/bungalow-cushinkeel-westport-co-mayo/3959705
3983746,19659769,"The Triangle, Ayle, Westport, Co. Mayo",265000.0,85,85 m²,3,2,Detached,2022-08-02,C3,115348401,,53.776717,-9.403153,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-the-triangle-ayle-westport-co-mayo/3983746
3942815,19350540,"Cloondacon, Aghagower, Westport, Co. Mayo",390000.0,N/A,,4,2,Detached,2022-07-07,C1,108651167,193.02 kWh/m2/yr,53.767508,-9.447144,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-cloondacon-aghagower-westport-co-mayo/3942815
3749789,18233331,"Tavanagh House, Westport, Co. Mayo",Price on Application,219,219 m²,5,2,Detached,2022-07-19,B3,,,53.762805,-9.479348,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-tavanagh-house-westport-co-mayo/3749789
3619259,16968392,"House And Apartment, Mayneen, Westport, Co. Mayo",625000.0,238,238 m²,5,3,Detached,2022-08-10,B3,114391477,133.0 kWh/m2/yr,53.794004,-9.470316,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-house-and-apartment-mayneen-westport-co-mayo/3619259
3516044,16083907,"Rockfield, Westport, Co. Mayo",Price on Application,N/A,,3,,Detached,2022-07-30,G,,,53.79530745197795,-9.433996457985302,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-rockfield-westport-co-mayo/3516044
3983746,19659769,"The Triangle, Ayle, Westport, Co. Mayo",265000.0,85,85 m²,3,2,Detached,2022-08-02,C3,115348401,,53.776717,-9.403153,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-the-triangle-ayle-westport-co-mayo/3983746
3942815,19350540,"Cloondacon, Aghagower, Westport, Co. Mayo",390000.0,N/A,,4,2,Detached,2022-07-07,C1,108651167,193.02 kWh/m2/yr,53.767508,-9.447144,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-cloondacon-aghagower-westport-co-mayo/3942815
3749789,18233331,"Tavanagh House, Westport, Co. Mayo",Price on Application,219,219 m²,5,2,Detached,2022-07-19,B3,,,53.762805,-9.479348,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-tavanagh-house-westport-co-mayo/3749789
3619259,16968392,"House And Apartment, Mayneen, Westport, Co. Mayo",625000.0,238,238 m²,5,3,Detached,2022-08-10,B3,114391477,133.0 kWh/m2/yr,53.794004,-9.470316,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-house-and-apartment-mayneen-westport-co-mayo/3619259
3516044,16083907,"Rockfield, Westport, Co. Mayo",Price on Application,N/A,,3,,Detached,2022-07-30,G,,,53.79530745197795,-9.433996457985302,Buy,AGHAGOWER_MAYO,http://www.daft.ie/for-sale/detached-house-rockfield-westport-co-mayo/3516044
