id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3984921,19673214,"Caher, Aghamore, Ballyhaunis, Co. Mayo",140000.0,N/A,,4,2,Bungalow,2022-08-10,F,,,53.843952,-8.88741,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/bungalow-caher-aghamore-ballyhaunis-co-mayo/3984921
3932991,19255004,"Shanvaghera, Mayo, Co. Mayo",275000.0,N/A,,3,2,Bungalow,2022-08-10,E1,,,53.823454,-8.885696,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/bungalow-shanvaghera-mayo-co-mayo/3932991
3904164,18995607,"Shanvaghera, Knock, Co. Mayo",275000.0,N/A,,3,2,Bungalow,2022-08-10,E1,,,53.823454,-8.885696,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/bungalow-shanvaghera-knock-co-mayo/3904164
4011063,113025097,"Falleighter, Kilkelly, Co. Mayo",225000.0,121,121 m²,3,2,Detached,2022-08-10,C2,145236987,185.0 kWh/m2/yr,53.856336,-8.828071,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-falleighter-kilkelly-co-mayo/4011063
3997413,112909129,"Cartron North, Tooreen, Ballyhaunis, Co. Mayo",425000.0,283,283 m²,6,4,Detached,2022-08-10,B2,115209322,124.32 kWh/m2/yr,53.823145,-8.772591,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-cartron-north-tooreen-ballyhaunis-co-mayo/3997413
3997176,112906460,"Cartron North, Tooreen, Ballyhaunis, Co. Mayo",425000.0,283,283 m²,6,4,Detached,2022-07-27,B2,115209322,124.32 kWh/m2/yr,53.823145,-8.772591,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-cartron-north-tooreen-ballyhaunis-co-mayo/3997176
3983795,19659798,"Falleighter, Kilkelly, Co. Mayo",395000.0,352,352 m²,4,4,Detached,2022-08-10,B2,115217366,100.68 kWh/m2/yr,53.86189,-8.825652,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-falleighter-kilkelly-co-mayo/3983795
3457993,15611626,"Tober, Aghamore, Aghamore, Co. Mayo",70000.0,N/A,,3,1,Detached,2022-08-10,G,,,53.825851,-8.855217,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-tober-aghamore-aghamore-co-mayo/3457993
3419022,15325437,"Doogary, Kilkelly, Co. Mayo",240000.0,N/A,,4,5,Detached,2022-08-10,C3,,,53.846152,-8.859672,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-doogary-kilkelly-co-mayo/3419022
3189363,14513477,"Doogary, Kilkelly, Co. Mayo",65000.0,N/A,,2,1,Detached,2022-08-10,SI_666,,,53.844702,-8.858317,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-doogary-kilkelly-co-mayo/3189363
2607559,12782484,"Curhaunagh, Aghamore, Kilkelly, Aghamore, Co. Mayo",90000.0,93,93 m²,2,,Detached,2022-08-10,SI_666,,,53.8276872,-8.8244725,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-curhaunagh-aghamore-kilkelly-aghamore-co-mayo/2607559
4011063,113025097,"Falleighter, Kilkelly, Co. Mayo",225000.0,121,121 m²,3,2,Detached,2022-08-10,C2,145236987,185.0 kWh/m2/yr,53.856336,-8.828071,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-falleighter-kilkelly-co-mayo/4011063
3997413,112909129,"Cartron North, Tooreen, Ballyhaunis, Co. Mayo",425000.0,283,283 m²,6,4,Detached,2022-08-10,B2,115209322,124.32 kWh/m2/yr,53.823145,-8.772591,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-cartron-north-tooreen-ballyhaunis-co-mayo/3997413
3997176,112906460,"Cartron North, Tooreen, Ballyhaunis, Co. Mayo",425000.0,283,283 m²,6,4,Detached,2022-07-27,B2,115209322,124.32 kWh/m2/yr,53.823145,-8.772591,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-cartron-north-tooreen-ballyhaunis-co-mayo/3997176
3983795,19659798,"Falleighter, Kilkelly, Co. Mayo",395000.0,352,352 m²,4,4,Detached,2022-08-10,B2,115217366,100.68 kWh/m2/yr,53.86189,-8.825652,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-falleighter-kilkelly-co-mayo/3983795
3457993,15611626,"Tober, Aghamore, Aghamore, Co. Mayo",70000.0,N/A,,3,1,Detached,2022-08-10,G,,,53.825851,-8.855217,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-tober-aghamore-aghamore-co-mayo/3457993
3419022,15325437,"Doogary, Kilkelly, Co. Mayo",240000.0,N/A,,4,5,Detached,2022-08-10,C3,,,53.846152,-8.859672,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-doogary-kilkelly-co-mayo/3419022
3189363,14513477,"Doogary, Kilkelly, Co. Mayo",65000.0,N/A,,2,1,Detached,2022-08-10,SI_666,,,53.844702,-8.858317,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-doogary-kilkelly-co-mayo/3189363
2607559,12782484,"Curhaunagh, Aghamore, Kilkelly, Aghamore, Co. Mayo",90000.0,93,93 m²,2,,Detached,2022-08-10,SI_666,,,53.8276872,-8.8244725,Buy,AGHAMORE_MAYO,http://www.daft.ie/for-sale/detached-house-curhaunagh-aghamore-kilkelly-aghamore-co-mayo/2607559
