id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3969249,19553091,"Rosskerrig, Ahakista, Co. Cork",525000.0,166,166 m²,4,3,Detached,2022-07-15,C2,107221590,192.84 kWh/m2/yr,51.588949,-9.654622,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-rosskerrig-ahakista-co-cork/3969249
3958564,19456519,"Rushnachara, Ahakista, Co. Cork",850000.0,N/A,,3,3,Detached,2022-08-05,E1,115174286,335.85 kWh/m2/yr,51.6003687941132,-9.6298000521235,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-rushnachara-ahakista-co-cork/3958564
3906886,19022646,"Glenlough, Kilcrohane, Co. Cork",495000.0,207,207 m²,4,3,Detached,2022-07-05,C1,100968064,161.98 kWh/m2/yr,51.628134,-9.636178,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-glenlough-kilcrohane-co-cork/3906886
3906041,19013685,"Tigh Na Mara, Rossmore, Durrus, Co. Cork",365000.0,N/A,,3,1,Detached,2022-06-27,D1,114996743,,51.618858,-9.563886,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-tigh-na-mara-rossmore-durrus-co-cork/3906041
3812798,18752474,"1 The Paddock, Kilcrohane, Co. Cork",475000.0,171,171 m²,4,4,Detached,2022-05-25,A2,115000556,48.04 kWh/m2/yr,51.579483,-9.703298,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-1-the-paddock-kilcrohane-co-cork/3812798
3641373,17155022,"Kealties, Durrus, Co. Cork",850000.0,232,232 m²,4,2,Detached,2022-08-10,C2,113473458,176.68 kWh/m2/yr,51.612585,-9.592385,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-kealties-durrus-co-cork/3641373
32609,11493212,"Kealties, Ahakista, Co. Cork",849000.0,210,210 m²,4,2,Detached,2022-08-01,C2,113473458,176.68 kWh/m2/yr,51.612585,-9.592385,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-kealties-ahakista-co-cork/32609
3969249,19553091,"Rosskerrig, Ahakista, Co. Cork",525000.0,166,166 m²,4,3,Detached,2022-07-15,C2,107221590,192.84 kWh/m2/yr,51.588949,-9.654622,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-rosskerrig-ahakista-co-cork/3969249
3958564,19456519,"Rushnachara, Ahakista, Co. Cork",850000.0,N/A,,3,3,Detached,2022-08-05,E1,115174286,335.85 kWh/m2/yr,51.6003687941132,-9.6298000521235,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-rushnachara-ahakista-co-cork/3958564
3949170,19412416,"10 Ascal Mara, Kilcrohane, Co. Cork",269000.0,N/A,,3,2,Semi-D,2022-06-28,C1,115174013,157.19 kWh/m2/yr,51.580425,-9.708504,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/semi-detached-house-10-ascal-mara-kilcrohane-co-cork/3949170
3906886,19022646,"Glenlough, Kilcrohane, Co. Cork",495000.0,207,207 m²,4,3,Detached,2022-07-05,C1,100968064,161.98 kWh/m2/yr,51.628134,-9.636178,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-glenlough-kilcrohane-co-cork/3906886
3906041,19013685,"Tigh Na Mara, Rossmore, Durrus, Co. Cork",365000.0,N/A,,3,1,Detached,2022-06-27,D1,114996743,,51.618858,-9.563886,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-tigh-na-mara-rossmore-durrus-co-cork/3906041
3812798,18752474,"1 The Paddock, Kilcrohane, Co. Cork",475000.0,171,171 m²,4,4,Detached,2022-05-25,A2,115000556,48.04 kWh/m2/yr,51.579483,-9.703298,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-1-the-paddock-kilcrohane-co-cork/3812798
3641373,17155022,"Kealties, Durrus, Co. Cork",850000.0,232,232 m²,4,2,Detached,2022-08-10,C2,113473458,176.68 kWh/m2/yr,51.612585,-9.592385,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-kealties-durrus-co-cork/3641373
32609,11493212,"Kealties, Ahakista, Co. Cork",849000.0,210,210 m²,4,2,Detached,2022-08-01,C2,113473458,176.68 kWh/m2/yr,51.612585,-9.592385,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/detached-house-kealties-ahakista-co-cork/32609
3949170,19412416,"10 Ascal Mara, Kilcrohane, Co. Cork",269000.0,N/A,,3,2,Semi-D,2022-06-28,C1,115174013,157.19 kWh/m2/yr,51.580425,-9.708504,Buy,AHAKISTA_CORK,http://www.daft.ie/for-sale/semi-detached-house-10-ascal-mara-kilcrohane-co-cork/3949170
