id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3988922,19712523,"Main Street, Ahascragh, Ballinasloe, Co. Galway","AMV: €395,000",N/A,,3,1,Apartment,2022-08-10,D1,,,53.397708,-8.334678,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/apartment-main-street-ahascragh-ballinasloe-co-galway/3988922
3934561,19272728,"Killaderry, Ballyforan, Ballinasloe, Co. Galway",225000.0,113,113 m²,4,1,Bungalow,2022-08-04,D2,,,53.440903,-8.303147,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/bungalow-killaderry-ballyforan-ballinasloe-co-galway/3934561
3601689,16790825,"Chapel Street, Ahascragh, Ballinasloe, Co. Galway",249000.0,115,115 m²,4,2,Bungalow,2022-06-10,C3,107909954,212.34 kWh/m2/yr,53.396831,-8.332634,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/bungalow-chapel-street-ahascragh-ballinasloe-co-galway/3601689
4006155,112982985,"Killuppaun, Ahascragh, Ahascragh, Co. Galway",395000.0,N/A,,4,2,Detached,2022-08-03,D2,,,53.391255,-8.314003,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-killuppaun-ahascragh-ahascragh-co-galway/4006155
3997019,112904975,"Caltraghlea, Ahascragh, Ballinasloe, Co. Galway",165000.0,71,71 m²,3,1,Detached,2022-07-27,G,109557926,747.58 kWh/m2/yr,53.366308,-8.312046,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-caltraghlea-ahascragh-ballinasloe-co-galway/3997019
3993937,112870130,"Kilglass, Ahascragh, Ballinasloe, Co. Galway",450000.0,254,254 m²,4,2,Detached,2022-08-04,B3,,,53.411384,-8.341747,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-kilglass-ahascragh-ballinasloe-co-galway/3993937
3939161,19315565,"Porte, Ahascragh, Ahascragh, Co. Galway",Price on Application,N/A,,4,2,Detached,2022-08-10,SI_666,,,53.403001,-8.334172,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-porte-ahascragh-ahascragh-co-galway/3939161
3213689,14743822,"Killuppaun, Ahascragh, Ballinasloe, Co. Galway",375000.0,186,186 m²,4,1,Detached,2022-07-13,C3,113809594,224.47 kWh/m2/yr,53.392613,-8.314725,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-killuppaun-ahascragh-ballinasloe-co-galway/3213689
4006155,112982985,"Killuppaun, Ahascragh, Ahascragh, Co. Galway",395000.0,N/A,,4,2,Detached,2022-08-03,D2,,,53.391255,-8.314003,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-killuppaun-ahascragh-ahascragh-co-galway/4006155
3997019,112904975,"Caltraghlea, Ahascragh, Ballinasloe, Co. Galway",165000.0,71,71 m²,3,1,Detached,2022-07-27,G,109557926,747.58 kWh/m2/yr,53.366308,-8.312046,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-caltraghlea-ahascragh-ballinasloe-co-galway/3997019
3993937,112870130,"Kilglass, Ahascragh, Ballinasloe, Co. Galway",450000.0,254,254 m²,4,2,Detached,2022-08-04,B3,,,53.411384,-8.341747,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-kilglass-ahascragh-ballinasloe-co-galway/3993937
3939161,19315565,"Porte, Ahascragh, Ahascragh, Co. Galway",Price on Application,N/A,,4,2,Detached,2022-08-10,SI_666,,,53.403001,-8.334172,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-porte-ahascragh-ahascragh-co-galway/3939161
3899742,18950891,"Main Street, Ahascragh, Co. Galway",50000.0,N/A,,3,1,Semi-D,2022-08-10,SI_666,,,53.39867467,-8.33454424,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-main-street-ahascragh-co-galway/3899742
3899726,18950883,"Main Street, Ahascragh, Co. Galway",70000.0,N/A,,3,1,Semi-D,2022-08-10,SI_666,,,53.39867467,-8.33454424,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-main-street-ahascragh-co-galway/3899726
3899717,18950878,"Main Street, Ahascragh, Co. Galway",120000.0,N/A,,6,2,Semi-D,2022-08-10,SI_666,,,53.39867467,-8.33454424,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-main-street-ahascragh-co-galway/3899717
3213689,14743822,"Killuppaun, Ahascragh, Ballinasloe, Co. Galway",375000.0,186,186 m²,4,1,Detached,2022-07-13,C3,113809594,224.47 kWh/m2/yr,53.392613,-8.314725,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/detached-house-killuppaun-ahascragh-ballinasloe-co-galway/3213689
3899742,18950891,"Main Street, Ahascragh, Co. Galway",50000.0,N/A,,3,1,Semi-D,2022-08-10,SI_666,,,53.39867467,-8.33454424,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-main-street-ahascragh-co-galway/3899742
3899726,18950883,"Main Street, Ahascragh, Co. Galway",70000.0,N/A,,3,1,Semi-D,2022-08-10,SI_666,,,53.39867467,-8.33454424,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-main-street-ahascragh-co-galway/3899726
3899717,18950878,"Main Street, Ahascragh, Co. Galway",120000.0,N/A,,6,2,Semi-D,2022-08-10,SI_666,,,53.39867467,-8.33454424,Buy,AHASCRAGH_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-main-street-ahascragh-co-galway/3899717
