id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3701473,17808355,"5 Waterville, Bealnamulla, Athlone, Co. Roscommon",320000.0,126,126 m²,4,3,Detached,2022-08-05,C1,,,53.425864,-8.006265,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-5-waterville-bealnamulla-athlone-co-roscommon/3701473
3411256,15263148,"Verelands, Garden Vale, Athlone, Co. Westmeath",750000.0,370,370 m²,4,5,Terrace,2022-08-05,D1,113834527,252.47 kWh/m2/yr,53.424943,-7.935038,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/terraced-house-verelands-garden-vale-athlone-co-westmeath/3411256
3665270,17473094,"Verelands, Garden Vale, Athlone, Co. Westmeath",750000.0,370,370 m²,4,5,Detached,2022-08-10,D1,113834527,252.47 kWh/m2/yr,53.424943,-7.935038,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-verelands-garden-vale-athlone-co-westmeath/3665270
3471828,15728861,"Loughandonning, Athlone, Co. Westmeath",Price on Application,N/A,,3,1,Detached,2022-08-10,G,,,53.41762877622554,-7.919010952463026,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-loughandonning-athlone-co-westmeath/3471828
3949810,19419815,"Kilmacuagh Avenue, Athlone, Co. Westmeath",365000.0,N/A,,6,2,Detached,2022-07-11,D1,,,53.415459,-7.907699,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-kilmacuagh-avenue-athlone-co-westmeath/3949810
3948934,19410280,"Bonavalley, Athlone, Co. Westmeath",339000.0,N/A,,4,2,Detached,2022-06-27,D2,113432272,,53.419114,-7.920611,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-bonavalley-athlone-co-westmeath/3948934
3947620,19399572,"2 St. Anne's, Brideswell, Bonavalley, Athlone, Co. Westmeath",325000.0,117,117 m²,3,3,Detached,2022-08-10,C3,115346306,220.27 kWh/m2/yr,53.419132,-7.919658,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-2-st-annes-brideswell-bonavalley-athlone-co-westmeath/3947620
3947393,19397320,"10 Cypress Gardens, Athlone, Co. Westmeath",279000.0,N/A,,4,2,Semi-D,2022-06-27,C1,,,53.421431,-7.901436,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-10-cypress-gardens-athlone-co-westmeath/3947393
3944125,19365033,"14 Crystal Village, Athlone, Co. Westmeath",235000.0,N/A,,4,2,Semi-D,2022-08-05,C2,,,53.41807,-7.91533,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-14-crystal-village-athlone-co-westmeath/3944125
3940733,19332125,"40 River Village, Monksland, Athlone, Co. Roscommon",200000.0,N/A,,3,2,End of Terrace,2022-08-10,C1,001350179,173.18 kWh/m2/yr,53.422417,-7.999629,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/end-of-terrace-house-40-river-village-monksland-athlone-co-roscommon/3940733
3937903,19304274,"12 Woodville Rise, Woodville Grange, Athlone, Co. Westmeath",315000.0,123,123 m²,4,3,Semi-D,2022-08-10,C1,103921110,158.29 kWh/m2/yr,53.432272,-7.897551,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-12-woodville-rise-woodville-grange-athlone-co-westmeath/3937903
3937423,19301439,"52 Valley Court, Dublin Road, Athlone, Co. Westmeath",220000.0,89,89 m²,3,1,Semi-D,2022-08-10,C1,,,53.416979,-7.914221,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-52-valley-court-dublin-road-athlone-co-westmeath/3937423
3935805,19282286,"2 Payne`s Lane, Athlone, Co. Westmeath",145000.0,N/A,,2,1,Detached,2022-08-10,SI_666,,,53.422184,-7.934161,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-2-payne-s-lane-athlone-co-westmeath/3935805
3935807,19282285,"3 Payne`s Lane, Athlone, Co. Westmeath",145000.0,N/A,,2,1,Detached,2022-08-10,SI_666,,,53.422106,-7.934171,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-3-payne-s-lane-athlone-co-westmeath/3935807
3932325,19247084,"5 Montree, Auburn Villas, Athlone, Co. Westmeath",295000.0,128,128 m²,4,2,Semi-D,2022-08-10,E1,109308486,317.71 kWh/m2/yr,53.429318,-7.942346,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-5-montree-auburn-villas-athlone-co-westmeath/3932325
3932173,19246944,"Kilnamanagh, Athlone, Co. Roscommon",160000.0,N/A,0.91 ac,2,1,Detached,2022-08-10,E1,115029837,321.87 kWh/m2/yr,53.409455,-7.955545,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-kilnamanagh-athlone-co-roscommon/3932173
3928674,19215223,"Smithfield House, Kilmacuagh Avenue, Athlone, Co. Westmeath",400000.0,350,350 m²,5,2,Detached,2022-08-05,C1,,,53.41568,-7.908486,Buy,ATHLONE_WESTMEATH,http://www.daft.ie/for-sale/detached-house-smithfield-house-kilmacuagh-avenue-athlone-co-westmeath/3928674
