id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3678888,17619179,"Ballimabillagh, Cappataggle, Cappataggle, Co. Galway",125000.0,66,66 m²,3,1,Detached,2022-08-08,G,,,53.284386,-8.43812,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballimabillagh-cappataggle-cappataggle-co-galway/3678888
3668085,17507233,"Grants Castle, Woodlawn, New Inn, Co. Galway",225000.0,N/A,,4,1,Detached,2022-08-10,SI_666,,,53.31599136433772,-8.468700573491049,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-grants-castle-woodlawn-new-inn-co-galway/3668085
3628360,17057285,"1 Kilgarve Gardens, Ballinasloe, Co. Galway",280000.0,163,163 m²,4,1,Detached,2022-08-08,E1,113427397,317.82 kWh/m2/yr,53.328493,-8.198462,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-1-kilgarve-gardens-ballinasloe-co-galway/3628360
3628194,17053984,"Mullagh More, Mullagh, Co. Galway",225000.0,90,90 m²,3,1,Detached,2022-08-04,D2,,,53.223057,-8.382061,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-mullagh-more-mullagh-co-galway/3628194
3599062,16767301,"Cleaghmore, Ballinasloe, Co. Galway",250000.0,141,141 m²,6,2,Detached,2022-08-08,D1,114458946,240.56 kWh/m2/yr,53.333678,-8.236638,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-cleaghmore-ballinasloe-co-galway/3599062
3507901,16050572,"Tiernascragh, Portumna, Co. Galway",120000.0,93,93 m²,2,1,Detached,2022-08-08,G,,,53.14873243375854,-8.165160081644416,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-tiernascragh-portumna-co-galway/3507901
3231796,14897348,"Killachunna, Killimor, Ballinasloe, Co. Galway",385000.0,264,264 m²,4,4,Detached,2022-08-02,B2,101832517,111.77 kWh/m2/yr,53.194269,-8.243749,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-killachunna-killimor-ballinasloe-co-galway/3231796
3213689,14743822,"Killuppaun, Ahascragh, Ballinasloe, Co. Galway",375000.0,186,186 m²,4,1,Detached,2022-07-13,C3,113809594,224.47 kWh/m2/yr,53.392613,-8.314725,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-killuppaun-ahascragh-ballinasloe-co-galway/3213689
28884,11436335,"Main Street, Eyrecourt, Co. Galway",150000.0,N/A,,4,4,Townhouse,2022-07-15,,,,53.19996605240116,-8.129947185516357,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-main-street-eyrecourt-co-galway/28884
3678888,17619179,"Ballimabillagh, Cappataggle, Cappataggle, Co. Galway",125000.0,66,66 m²,3,1,Detached,2022-08-08,G,,,53.284386,-8.43812,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballimabillagh-cappataggle-cappataggle-co-galway/3678888
3668085,17507233,"Grants Castle, Woodlawn, New Inn, Co. Galway",225000.0,N/A,,4,1,Detached,2022-08-10,SI_666,,,53.31599136433772,-8.468700573491049,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-grants-castle-woodlawn-new-inn-co-galway/3668085
3628360,17057285,"1 Kilgarve Gardens, Ballinasloe, Co. Galway",280000.0,163,163 m²,4,1,Detached,2022-08-08,E1,113427397,317.82 kWh/m2/yr,53.328493,-8.198462,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-1-kilgarve-gardens-ballinasloe-co-galway/3628360
3628194,17053984,"Mullagh More, Mullagh, Co. Galway",225000.0,90,90 m²,3,1,Detached,2022-08-04,D2,,,53.223057,-8.382061,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-mullagh-more-mullagh-co-galway/3628194
3599062,16767301,"Cleaghmore, Ballinasloe, Co. Galway",250000.0,141,141 m²,6,2,Detached,2022-08-08,D1,114458946,240.56 kWh/m2/yr,53.333678,-8.236638,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-cleaghmore-ballinasloe-co-galway/3599062
3507901,16050572,"Tiernascragh, Portumna, Co. Galway",120000.0,93,93 m²,2,1,Detached,2022-08-08,G,,,53.14873243375854,-8.165160081644416,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-tiernascragh-portumna-co-galway/3507901
3231796,14897348,"Killachunna, Killimor, Ballinasloe, Co. Galway",385000.0,264,264 m²,4,4,Detached,2022-08-02,B2,101832517,111.77 kWh/m2/yr,53.194269,-8.243749,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-killachunna-killimor-ballinasloe-co-galway/3231796
3213689,14743822,"Killuppaun, Ahascragh, Ballinasloe, Co. Galway",375000.0,186,186 m²,4,1,Detached,2022-07-13,C3,113809594,224.47 kWh/m2/yr,53.392613,-8.314725,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-killuppaun-ahascragh-ballinasloe-co-galway/3213689
28884,11436335,"Main Street, Eyrecourt, Co. Galway",150000.0,N/A,,4,4,Townhouse,2022-07-15,,,,53.19996605240116,-8.129947185516357,Buy,BALLINASLOE_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-main-street-eyrecourt-co-galway/28884
