id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3911635,19064293,"26 Riverside Grove, Ballina, Co. Mayo",180000.0,130,130 m²,4,2,Semi-D,2022-08-03,C1,,,54.122405,-9.137899,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/semi-detached-house-26-riverside-grove-ballina-co-mayo/3911635
3574557,16497885,"Rehins, Ballina, Ballina, Co. Mayo",465000.0,260,260 m²,5,4,Detached,2022-08-04,D1,114373202,228.51 kWh/m2/yr,54.089306,-9.161905,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-rehins-ballina-ballina-co-mayo/3574557
3904853,19002322,"Mount Assumpta, Srahduggaun, Co. Mayo",90000.0,92,92 m²,3,2,Terrace,2022-06-08,D1,104873781,249.0 kWh/m2/yr,54.116164612075856,-9.166661202907562,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/terraced-house-mount-assumpta-srahduggaun-co-mayo/3904853
3898261,18931102,"12 Oaklawn, Killala Road, Ballina, Co. Mayo",159500.0,122,122 m²,4,3,Semi-D,2022-06-17,C1,111290920,161.04 kWh/m2/yr,54.136729,-9.168054,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/semi-detached-house-12-oaklawn-killala-road-ballina-co-mayo/3898261
3819243,18810318,"Knockmore, Ballina, Co. Mayo",300000.0,112,112 m²,4,3,Detached,2022-08-04,D1,105144950,252.66 kWh/m2/yr,54.022357,-9.170427,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/detached-house-knockmore-ballina-co-mayo/3819243
3807459,18716300,"8 Teeling Street, Ballina, Co. Mayo",149000.0,N/A,,4,3,Terrace,2022-08-02,G,114830052,554.86 kWh/m2/yr,54.113847,-9.158965,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/terraced-house-8-teeling-street-ballina-co-mayo/3807459
3769672,18373187,"19 Marian Crescent, Ballina, Co. Mayo",120000.0,N/A,,3,1,Terrace,2022-08-09,D2,,,54.117247,-9.156753,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/terraced-house-19-marian-crescent-ballina-co-mayo/3769672
3745948,18193772,"Pumphouse, The Brook, Ballina, Co. Mayo",Price on Application,35,35 m²,1,1,End of Terrace,2022-03-10,G,101116994,,54.111559,-9.152162,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/end-of-terrace-house-pumphouse-the-brook-ballina-co-mayo/3745948
3737470,18119721,"The Old Mill Stone, Killala Road, Ballina, Co. Mayo",195000.0,121,121 m²,3,2,Semi-D,2022-07-06,C1,,,54.12457,-9.16088,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/semi-detached-house-the-old-mill-stone-killala-road-ballina-co-mayo/3737470
3728542,18021489,"55 Riverside Drive, Ballina, Co. Mayo",130000.0,116,116 m²,4,1,Semi-D,2022-08-10,C3,,,54.12491,-9.134926,Buy,BALLINA_AND_SURROUNDS_MAYO,http://www.daft.ie/for-sale/semi-detached-house-55-riverside-drive-ballina-co-mayo/3728542
