id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3805578,18694848,"47 Haddington Road, Ballsbridge, Dublin 4",1185000.0,170,170 m²,3,3,Terrace,2022-08-10,D2,,,53.334592,-6.242666,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-47-haddington-road-ballsbridge-dublin-4/3805578
3801888,18660405,"135 Upper Leeson Street Donnybrook Dublin 4, Donnybrook, Dublin 4",1195000.0,163,163 m²,3,3,Terrace,2022-08-10,,,,53.330675,-6.25165,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-135-upper-leeson-street-donnybrook-dublin-4-donnybrook-dublin-4/3801888
3789505,18562957,"138 Tritonville Road Sandymount Dublin 4, Sandymount, Dublin 4",1750000.0,243,243 m²,5,3,Terrace,2022-08-10,,,,53.332359,-6.221761,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-138-tritonville-road-sandymount-dublin-4-sandymount-dublin-4/3789505
3784810,18517510,"Waterloo House, 8-10 Waterloo Road, Ballsbridge, Dublin 4",5000000.0,798,798 m²,21,23,Terrace,2022-08-10,SI_666,,,53.3315805,-6.2434757,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-waterloo-house-8-10-waterloo-road-ballsbridge-dublin-4/3784810
3771706,18393953,"1 Waterloo Road, Ballsbridge, Dublin 4",6000000.0,547,547 m²,6,3,End of Terrace,2022-08-10,SI_666,,,53.332101,-6.244247,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-waterloo-road-ballsbridge-dublin-4/3771706
3750568,18238073,"69 Lansdowne Park, Ballsbridge, Dublin 4",850000.0,103,103 m²,2,1,Semi-D,2022-08-10,C2,114719396,187.71 kWh/m2/yr,53.335168,-6.23585,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-69-lansdowne-park-ballsbridge-dublin-4/3750568
3733915,18079090,"17 The Crescent, Donnybrook, Dublin 4",850000.0,104,104 m²,3,2,End of Terrace,2022-08-10,F,112964945,403.77 kWh/m2/yr,53.321389,-6.236676,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-17-the-crescent-donnybrook-dublin-4/3733915
3589862,16667869,"11 Raglan Road, Ballsbridge, Dublin 4",3000000.0,341,341 m²,5,4,Terrace,2022-08-10,SI_666,,,53.330873,-6.238574,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-raglan-road-ballsbridge-dublin-4/3589862
3647997,17251423,"3 Zardoz Court, Anglesea Road, Dublin 1",1000000.0,134,134 m²,3,3,Townhouse,2022-06-21,B3,106135023,134.24 kWh/m2/yr,53.326071,-6.231429,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/townhouse-3-zardoz-court-anglesea-road-dublin-1/3647997
3636800,17092993,"34 Woodbine Park, Booterstown, Co. Dublin",875000.0,145,145 m²,4,2,Semi-D,2022-08-10,D1,100818855,226.44 kWh/m2/yr,53.310299,-6.207736,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-34-woodbine-park-booterstown-co-dublin/3636800
3601757,16791162,"12 Morehampton Road, Donnybrook, Dublin 4",2750000.0,428,428 m²,6,7,Terrace,2022-07-25,SI_666,,,53.327195,-6.243015,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-12-morehampton-road-donnybrook-dublin-4/3601757
3577050,16526085,"66 Haddington, Ballsbridge, Dublin 4",1300000.0,N/A,,3,2,Semi-D,2022-08-10,F,,380.0 kWh/m2/yr,53.336006,-6.239334,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-66-haddington-ballsbridge-dublin-4/3577050
3560087,16332617,"3 Zardoz Court, Ballsbridge, Dublin 4",1000000.0,134,134 m²,3,3,Terrace,2022-06-26,B3,106135023,134.24 kWh/m2/yr,53.326072972192776,-6.2313845075294125,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-zardoz-court-ballsbridge-dublin-4/3560087
2842029,13328039,"17 Herbert Park, Ballsbridge, Dublin 4",2300000.0,300,300 m²,6,2,Semi-D,2022-08-10,,,,53.32636,-6.238287,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-17-herbert-park-ballsbridge-dublin-4/2842029
3805578,18694848,"47 Haddington Road, Ballsbridge, Dublin 4",1185000.0,170,170 m²,3,3,Terrace,2022-08-10,D2,,,53.334592,-6.242666,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-47-haddington-road-ballsbridge-dublin-4/3805578
3801888,18660405,"135 Upper Leeson Street Donnybrook Dublin 4, Donnybrook, Dublin 4",1195000.0,163,163 m²,3,3,Terrace,2022-08-10,,,,53.330675,-6.25165,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-135-upper-leeson-street-donnybrook-dublin-4-donnybrook-dublin-4/3801888
3789505,18562957,"138 Tritonville Road Sandymount Dublin 4, Sandymount, Dublin 4",1750000.0,243,243 m²,5,3,Terrace,2022-08-10,,,,53.332359,-6.221761,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-138-tritonville-road-sandymount-dublin-4-sandymount-dublin-4/3789505
3784810,18517510,"Waterloo House, 8-10 Waterloo Road, Ballsbridge, Dublin 4",5000000.0,798,798 m²,21,23,Terrace,2022-08-10,SI_666,,,53.3315805,-6.2434757,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-waterloo-house-8-10-waterloo-road-ballsbridge-dublin-4/3784810
3771706,18393953,"1 Waterloo Road, Ballsbridge, Dublin 4",6000000.0,547,547 m²,6,3,End of Terrace,2022-08-10,SI_666,,,53.332101,-6.244247,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-waterloo-road-ballsbridge-dublin-4/3771706
3750568,18238073,"69 Lansdowne Park, Ballsbridge, Dublin 4",850000.0,103,103 m²,2,1,Semi-D,2022-08-10,C2,114719396,187.71 kWh/m2/yr,53.335168,-6.23585,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-69-lansdowne-park-ballsbridge-dublin-4/3750568
3733915,18079090,"17 The Crescent, Donnybrook, Dublin 4",850000.0,104,104 m²,3,2,End of Terrace,2022-08-10,F,112964945,403.77 kWh/m2/yr,53.321389,-6.236676,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-17-the-crescent-donnybrook-dublin-4/3733915
3589862,16667869,"11 Raglan Road, Ballsbridge, Dublin 4",3000000.0,341,341 m²,5,4,Terrace,2022-08-10,SI_666,,,53.330873,-6.238574,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-raglan-road-ballsbridge-dublin-4/3589862
3647997,17251423,"3 Zardoz Court, Anglesea Road, Dublin 1",1000000.0,134,134 m²,3,3,Townhouse,2022-06-21,B3,106135023,134.24 kWh/m2/yr,53.326071,-6.231429,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/townhouse-3-zardoz-court-anglesea-road-dublin-1/3647997
3636800,17092993,"34 Woodbine Park, Booterstown, Co. Dublin",875000.0,145,145 m²,4,2,Semi-D,2022-08-10,D1,100818855,226.44 kWh/m2/yr,53.310299,-6.207736,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-34-woodbine-park-booterstown-co-dublin/3636800
3601757,16791162,"12 Morehampton Road, Donnybrook, Dublin 4",2750000.0,428,428 m²,6,7,Terrace,2022-07-25,SI_666,,,53.327195,-6.243015,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-12-morehampton-road-donnybrook-dublin-4/3601757
3577050,16526085,"66 Haddington, Ballsbridge, Dublin 4",1300000.0,N/A,,3,2,Semi-D,2022-08-10,F,,380.0 kWh/m2/yr,53.336006,-6.239334,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-66-haddington-ballsbridge-dublin-4/3577050
3560087,16332617,"3 Zardoz Court, Ballsbridge, Dublin 4",1000000.0,134,134 m²,3,3,Terrace,2022-06-26,B3,106135023,134.24 kWh/m2/yr,53.326072972192776,-6.2313845075294125,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-zardoz-court-ballsbridge-dublin-4/3560087
2842029,13328039,"17 Herbert Park, Ballsbridge, Dublin 4",2300000.0,300,300 m²,6,2,Semi-D,2022-08-10,,,,53.32636,-6.238287,Buy,BALLSBRIDGE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-17-herbert-park-ballsbridge-dublin-4/2842029
