id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3796850,18619255,"5 Fairview Cottages, Mulgrave Street, Co. Limerick",170000.0,N/A,,3,2,End of Terrace,2022-08-09,B3,,,52.65784,-8.610994,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-5-fairview-cottages-mulgrave-street-co-limerick/3796850
3796734,18619217,"Claughaun Court, Garryowen, Garryowen, Co. Limerick",120000.0,N/A,,3,2,Detached,2022-07-29,D1,,,52.66044,-8.609217,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/detached-house-claughaun-court-garryowen-garryowen-co-limerick/3796734
3783902,18513385,"21 Salmon Weir, Annacotty, Co. Limerick",395000.0,N/A,,5,3,Detached,2022-08-10,C2,104036207,177.12 kWh/m2/yr,52.667212,-8.529132,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/detached-house-21-salmon-weir-annacotty-co-limerick/3783902
3783250,18506207,"70 Caisleán Na Habhann, Castletroy, Co. Limerick",205000.0,78,78 m²,3,2,End of Terrace,2022-08-10,SI_666,,,52.656155,-8.570977,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-70-caisle-n-na-habhann-castletroy-co-limerick/3783250
3749779,18233325,"Lismullane, Ballysimon, Co. Limerick",550000.0,N/A,,4,3,Detached,2022-08-08,B3,108225895,137.65 kWh/m2/yr,52.626958,-8.476688,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/detached-house-lismullane-ballysimon-co-limerick/3749779
3777755,18454313,"71 Glasgow Park, (Limerick), Co. Limerick",Price on Application,N/A,,3,3,Detached,2022-08-10,,,,52.6516099,-8.6057065,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/detached-house-71-glasgow-park-limerick-co-limerick/3777755
3774046,18418871,"""Killonan House"" Killonan, Castletroy, Co. Limerick",Price on Application,465,465 m²,5,4,Detached,2022-08-10,B1,101427847,99.88 kWh/m2/yr,52.651508,-8.531319,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/detached-house--killonan-house-killonan-castletroy-co-limerick/3774046
3755151,18275255,"Glebe House, Ballyneety, Co. Limerick",500000.0,N/A,,9,2,Detached,2022-08-09,G,1,451.0 kWh/m2/yr,52.607502,-8.556246,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/detached-house-glebe-house-ballyneety-co-limerick/3755151
3716089,17921450,"3 Castlebrook Green, Castlebrook Manor, Castletroy, Co. Limerick",315000.0,111,111 m²,3,3,Semi-D,2022-08-02,A2,,,52.666373,-8.543123,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-3-castlebrook-green-castlebrook-manor-castletroy-co-limerick/3716089
3642837,17177325,"25 Keane Street, Killalee, Co. Limerick",140000.0,N/A,,3,1,Semi-D,2022-08-10,D1,,250.0 kWh/m2/yr,52.663221,-8.611864,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-25-keane-street-killalee-co-limerick/3642837
3796850,18619255,"5 Fairview Cottages, Mulgrave Street, Co. Limerick",170000.0,N/A,,3,2,End of Terrace,2022-08-09,B3,,,52.65784,-8.610994,Buy,BALLYSIMON_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-5-fairview-cottages-mulgrave-street-co-limerick/3796850
