id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3933971,19264209,"4 Hawthorn Manor, Blackrock, Co. Dublin",795000.0,122,122 m²,4,2,End of Terrace,2022-08-10,E1,106190333,301.31 kWh/m2/yr,53.288266,-6.179395,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-4-hawthorn-manor-blackrock-co-dublin/3933971
3933964,19264184,"50 Woodbine Road Booterstown, Booterstown, Co. Dublin",1300000.0,170,170 m²,5,3,Semi-D,2022-08-10,C2,114545809,183.07 kWh/m2/yr,53.310062,-6.210081,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-50-woodbine-road-booterstown-booterstown-co-dublin/3933964
3932130,19246174,"83 Rockford Park, Blackrock, Co. Dublin",475000.0,76,76 m²,3,1,Semi-D,2022-07-14,D2,,,53.286622,-6.164646,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-83-rockford-park-blackrock-co-dublin/3932130
3929409,19224138,"62 Avondale Lawn, Blackrock, Co. Dublin",850000.0,136,136 m²,4,2,Semi-D,2022-08-10,E1,107983041,303.8 kWh/m2/yr,53.294159,-6.179073,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-62-avondale-lawn-blackrock-co-dublin/3929409
3929399,19222967,"25 Convent Road, Blackrock, Co. Dublin",845000.0,112,112 m²,3,2,Semi-D,2022-08-09,E2,114168727,373.0 kWh/m2/yr,53.297523,-6.182732,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-25-convent-road-blackrock-co-dublin/3929399
3926525,19192848,"Thorndene, 87 Monkstown Road, Monkstown, Co. Dublin",3500000.0,279,279 m²,4,2,Detached,2022-08-10,C3,113813935,203.81 kWh/m2/yr,53.293391,-6.155638,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/detached-house-thorndene-87-monkstown-road-monkstown-co-dublin/3926525
3922662,19159002,"42 Windsor Park, Monkstown, Co. Dublin",795000.0,124,124 m²,3,3,Semi-D,2022-08-10,F,115021941,388.45 kWh/m2/yr,53.288101,-6.160308,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-42-windsor-park-monkstown-co-dublin/3922662
3919696,19133722,"114 Castlebyrne Park, Blackrock, Co. Dublin",525000.0,120,120 m²,3,2,End of Terrace,2022-08-10,F,105982599,425.36 kWh/m2/yr,53.289687,-6.175196,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-114-castlebyrne-park-blackrock-co-dublin/3919696
3919350,19130354,"26 Rockford Manor, Stradbrook Road, Blackrock, Co. Dublin",625000.0,112,112 m²,3,2,Terrace,2022-08-10,C1,106882343,174.0 kWh/m2/yr,53.287715,-6.16437,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/terraced-house-26-rockford-manor-stradbrook-road-blackrock-co-dublin/3919350
3915653,19096312,"9 Moore's Cottages, Annaville Avenue, Blackrock, Co. Dublin",565000.0,92,92 m²,3,2,Terrace,2022-08-10,A3,106124795,68.1 kWh/m2/yr,53.28822,-6.177112,Buy,BLACKROCK_DUBLIN,http://www.daft.ie/for-sale/terraced-house-9-moores-cottages-annaville-avenue-blackrock-co-dublin/3915653
