id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3981501,19632027,"4 Huntstown Avenue, Mulhuddart, Clonsilla, Dublin 15",295000.0,81,81 m²,3,2,Semi-D,2022-08-09,D2,,,53.399205,-6.41406,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-4-huntstown-avenue-mulhuddart-clonsilla-dublin-15/3981501
3979705,19622680,"35 Latchford Green, Castaheany, Clonee, Dublin 15",349950.0,103,103 m²,3,3,Terrace,2022-07-25,C1,,,53.397363,-6.433196,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-35-latchford-green-castaheany-clonee-dublin-15/3979705
3979661,19622658,"35 Latchford Green, Clonee, Clonee, Dublin 15",349950.0,103,103 m²,3,3,Terrace,2022-07-25,C1,,,53.397551,-6.434131,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-35-latchford-green-clonee-clonee-dublin-15/3979661
3979642,19622644,"37 Maple Avenue, Castleknock, Dublin 15",550000.0,N/A,,3,1,Semi-D,2022-07-28,C3,115226797,201.56 kWh/m2/yr,53.3783594,-6.384745,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-37-maple-avenue-castleknock-dublin-15/3979642
3979313,19618373,"26 Delhurst Terrace, Ongar Village, Ongar, Dublin 15",285000.0,76,76 m²,2,2,Semi-D,2022-08-10,C3,,223.49 kWh/m2/yr,53.39297,-6.436475,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26-delhurst-terrace-ongar-village-ongar-dublin-15/3979313
3977089,19603619,"109 Huntstown Wood, Mulhuddart, Mulhuddart, Dublin 15",250000.0,60,60 m²,2,1,Terrace,2022-08-09,D1,,,53.401798,-6.415059,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-109-huntstown-wood-mulhuddart-mulhuddart-dublin-15/3977089
3974487,19593376,"38 Lohunda Crescent, Clonsilla, Dublin 15",395000.0,107,107 m²,4,2,Semi-D,2022-07-28,D1,108140252,241.43 kWh/m2/yr,53.3883138,-6.4076052,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-38-lohunda-crescent-clonsilla-dublin-15/3974487
3974180,19591850,"46 Barnwell Grove, Hansfield, Ongar, Dublin 15",495000.0,110,110 m²,3,3,Semi-D,2022-08-10,A3,109767335,64.38 kWh/m2/yr,53.389381,-6.444306,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-46-barnwell-grove-hansfield-ongar-dublin-15/3974180
3973873,19588046,"63 Peck's Lane, Castleknock, Castleknock, Dublin 15",635000.0,N/A,,4,2,Semi-D,2022-08-09,C1,,,53.378623,-6.356389,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-63-pecks-lane-castleknock-castleknock-dublin-15/3973873
3973939,19588100,"13A Westway Close, Blanchardstown, Blanchardstown, Dublin 15",285000.0,94,94 m²,2,3,Detached,2022-08-10,C3,,,53.40149,-6.370292,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-13a-westway-close-blanchardstown-blanchardstown-dublin-15/3973939
3972807,19580577,"37 Ashfield Grove, Mulhuddart, Clonsilla, Dublin 15",274950.0,N/A,,3,2,Semi-D,2022-07-11,D1,,,53.403692,-6.406331,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-37-ashfield-grove-mulhuddart-clonsilla-dublin-15/3972807
3972790,19580570,"46 Carne Court, Huntstown, Dublin 15",344950.0,N/A,,4,2,Semi-D,2022-07-11,B3,,,53.401407,-6.416831,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-46-carne-court-huntstown-dublin-15/3972790
3971535,19569805,"65 Pinebrook Vale, Clonsilla, Clonsilla, Dublin 15",285000.0,78,78 m²,3,2,Terrace,2022-08-09,D1,,,53.398446,-6.413177,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-65-pinebrook-vale-clonsilla-clonsilla-dublin-15/3971535
3970757,19564842,"3 Summerseat Crescent, Summerseat, Clonee, Co. Meath",430000.0,102,102 m²,3,3,Semi-D,2022-08-08,C1,,,53.407359,-6.442482,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-3-summerseat-crescent-summerseat-clonee-co-meath/3970757
3970456,19561181,"20 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",435000.0,111,111 m²,4,3,Semi-D,2022-08-10,C2,,,53.389244,-6.422982,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-20-mount-symon-rise-clonsilla-clonsilla-dublin-15/3970456
3969897,19556202,"20 Sheepmoor Gardens, Blanchardstown, Dublin 15",255000.0,81,81 m²,3,1,Terrace,2022-08-09,C3,100733633,,53.394505,-6.400854,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-sheepmoor-gardens-blanchardstown-dublin-15/3969897
3969854,19556182,"24 Latchford Park, Castaheany, Clonee, Dublin 15",400000.0,N/A,,3,3,Terrace,2022-08-08,C1,,,53.396323,-6.432375,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-24-latchford-park-castaheany-clonee-dublin-15/3969854
3969290,19553112,"10 Fortlawn Park, Clonsilla, Clonsilla, Dublin 15",360000.0,85,85 m²,3,1,Semi-D,2022-08-10,D1,,,53.391833,-6.406958,Buy,BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-fortlawn-park-clonsilla-clonsilla-dublin-15/3969290
