id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3717250,17931765,"43 Dargan Street, Bray, Co. Wicklow",295000.0,55,55 m²,2,1,Terrace,2022-07-03,G,114660103,554.8 kWh/m2/yr,53.20534,-6.116765,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/terraced-house-43-dargan-street-bray-co-wicklow/3717250
2579269,12718351,"109 Saran Wood, Killarney Road, Bray, Co. Wicklow",465000.0,N/A,,3,2,Terrace,2022-08-04,C1,,,53.182815,-6.128443,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/terraced-house-109-saran-wood-killarney-road-bray-co-wicklow/2579269
3690989,17716102,"BLACK'S OF BRAY, 1 Florence Terrace, Bray, Co. Wicklow",1850000.0,418,418 m²,10,12,End of Terrace,2022-08-05,E2,,,53.204131,-6.102491,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/end-of-terrace-house-blacks-of-bray-1-florence-terrace-bray-co-wicklow/3690989
3665320,17474494,"38 Killarney Park, Bray, Co. Wicklow",385000.0,80,80 m²,3,1,End of Terrace,2022-08-04,E1,,,53.194646,-6.123908,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/end-of-terrace-house-38-killarney-park-bray-co-wicklow/3665320
3418776,15322976,"4 New Brighton Terrace, Parnell Road, Bray, Co. Wicklow",650000.0,N/A,,4,2,End of Terrace,2022-08-04,F,108002460,,53.201652,-6.111934,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/end-of-terrace-house-4-new-brighton-terrace-parnell-road-bray-co-wicklow/3418776
3223512,14830177,"2 Avondale Court, Vevay Road, Bray, Co. Wicklow",380000.0,62,62 m²,2,1,Terrace,2022-08-10,D1,,,53.193998,-6.107026,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/terraced-house-2-avondale-court-vevay-road-bray-co-wicklow/3223512
3191295,14529876,"Manderley, Manderley, Novara Avenue, Bray, Co. Wicklow",1100000.0,222,222 m²,5,4,Detached,2022-08-10,B3,104598545,144.13 kWh/m2/yr,53.20155,-6.10558,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/detached-house-manderley-manderley-novara-avenue-bray-co-wicklow/3191295
3717250,17931765,"43 Dargan Street, Bray, Co. Wicklow",295000.0,55,55 m²,2,1,Terrace,2022-07-03,G,114660103,554.8 kWh/m2/yr,53.20534,-6.116765,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/terraced-house-43-dargan-street-bray-co-wicklow/3717250
2579269,12718351,"109 Saran Wood, Killarney Road, Bray, Co. Wicklow",465000.0,N/A,,3,2,Terrace,2022-08-04,C1,,,53.182815,-6.128443,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/terraced-house-109-saran-wood-killarney-road-bray-co-wicklow/2579269
3690989,17716102,"BLACK'S OF BRAY, 1 Florence Terrace, Bray, Co. Wicklow",1850000.0,418,418 m²,10,12,End of Terrace,2022-08-05,E2,,,53.204131,-6.102491,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/end-of-terrace-house-blacks-of-bray-1-florence-terrace-bray-co-wicklow/3690989
3665320,17474494,"38 Killarney Park, Bray, Co. Wicklow",385000.0,80,80 m²,3,1,End of Terrace,2022-08-04,E1,,,53.194646,-6.123908,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/end-of-terrace-house-38-killarney-park-bray-co-wicklow/3665320
3418776,15322976,"4 New Brighton Terrace, Parnell Road, Bray, Co. Wicklow",650000.0,N/A,,4,2,End of Terrace,2022-08-04,F,108002460,,53.201652,-6.111934,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/end-of-terrace-house-4-new-brighton-terrace-parnell-road-bray-co-wicklow/3418776
3223512,14830177,"2 Avondale Court, Vevay Road, Bray, Co. Wicklow",380000.0,62,62 m²,2,1,Terrace,2022-08-10,D1,,,53.193998,-6.107026,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/terraced-house-2-avondale-court-vevay-road-bray-co-wicklow/3223512
3191295,14529876,"Manderley, Manderley, Novara Avenue, Bray, Co. Wicklow",1100000.0,222,222 m²,5,4,Detached,2022-08-10,B3,104598545,144.13 kWh/m2/yr,53.20155,-6.10558,Buy,BRAY_WICKLOW,http://www.daft.ie/for-sale/detached-house-manderley-manderley-novara-avenue-bray-co-wicklow/3191295
