id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3743080,18167312,"65 Cabra Park, Phibsborough, Dublin 7",785000.0,N/A,,7,7,Terrace,2022-08-09,F,,,53.3615861,-6.2784474,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-65-cabra-park-phibsborough-dublin-7/3743080
3738329,18127213,"87 Quarry Road, Cabra East, Cabra, Dublin 7",395000.0,75,75 m²,2,1,End of Terrace,2022-08-09,B3,108358110,146.48 kWh/m2/yr,53.364548,-6.287979,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-87-quarry-road-cabra-east-cabra-dublin-7/3738329
3730012,18038069,"""The Mews"" North Circular Road, Dublin 7, North Circular Road, Dublin 7",699000.0,117,117 m²,3,3,Detached,2022-07-27,SI_666,,,53.35833997572769,-6.2856613126855905,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/detached-house--the-mews-north-circular-road-dublin-7-north-circular-road-dublin-7/3730012
3716910,17930081,"109 Dunmanus Road, Cabra, Dublin 7",350000.0,73,73 m²,3,1,Semi-D,2022-08-08,E2,105197701,361.84 kWh/m2/yr,53.368161,-6.297234,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-109-dunmanus-road-cabra-dublin-7/3716910
3516914,16088290,"8 Avondale Avenue, Phibsborough, Dublin 7",300000.0,55,55 m²,2,1,Terrace,2022-08-10,E2,,,53.359766,-6.275066,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-avondale-avenue-phibsborough-dublin-7/3516914
2331060,12535646,"53 Faussagh Road, Cabra, Cabra, Dublin 7",310000.0,82,82 m²,3,1,Terrace,2022-08-08,F,112923925,387.22 kWh/m2/yr,53.364124,-6.284914,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-53-faussagh-road-cabra-cabra-dublin-7/2331060
3743080,18167312,"65 Cabra Park, Phibsborough, Dublin 7",785000.0,N/A,,7,7,Terrace,2022-08-09,F,,,53.3615861,-6.2784474,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-65-cabra-park-phibsborough-dublin-7/3743080
3738329,18127213,"87 Quarry Road, Cabra East, Cabra, Dublin 7",395000.0,75,75 m²,2,1,End of Terrace,2022-08-09,B3,108358110,146.48 kWh/m2/yr,53.364548,-6.287979,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-87-quarry-road-cabra-east-cabra-dublin-7/3738329
3730012,18038069,"""The Mews"" North Circular Road, Dublin 7, North Circular Road, Dublin 7",699000.0,117,117 m²,3,3,Detached,2022-07-27,SI_666,,,53.35833997572769,-6.2856613126855905,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/detached-house--the-mews-north-circular-road-dublin-7-north-circular-road-dublin-7/3730012
3716910,17930081,"109 Dunmanus Road, Cabra, Dublin 7",350000.0,73,73 m²,3,1,Semi-D,2022-08-08,E2,105197701,361.84 kWh/m2/yr,53.368161,-6.297234,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-109-dunmanus-road-cabra-dublin-7/3716910
3516914,16088290,"8 Avondale Avenue, Phibsborough, Dublin 7",300000.0,55,55 m²,2,1,Terrace,2022-08-10,E2,,,53.359766,-6.275066,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-avondale-avenue-phibsborough-dublin-7/3516914
2331060,12535646,"53 Faussagh Road, Cabra, Cabra, Dublin 7",310000.0,82,82 m²,3,1,Terrace,2022-08-08,F,112923925,387.22 kWh/m2/yr,53.364124,-6.284914,Buy,CABRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-53-faussagh-road-cabra-cabra-dublin-7/2331060
