id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3762618,18330205,"The Gables, Dranagh, St. Mullins, Co. Carlow",335000.0,175,175 m²,4,3,Detached,2022-08-09,C2,108008731,,52.486454,-6.896055,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-the-gables-dranagh-st-mullins-co-carlow/3762618
1182894,12146752,"Ashlawn House, Donore, Bagenalstown, Co. Carlow",Price on Application,237,237 m²,4,3,Detached,2022-06-16,B3,111172318,146.31 kWh/m2/yr,52.683028,-6.938926,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-ashlawn-house-donore-bagenalstown-co-carlow/1182894
3685272,17671764,"Ashfield House, Ballycrogue, Carlow Town, Co. Carlow",537500.0,N/A,,4,2,Detached,2022-07-21,C2,110354743,190.15 kWh/m2/yr,52.812036,-6.871768,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-ashfield-house-ballycrogue-carlow-town-co-carlow/3685272
3669180,17518469,"4 Strawhall, Athy Rd, Carlow R93 A3E0, Carlow Town, Co. Carlow",Price on Application,N/A,,2,1,Detached,2022-08-10,F,114140940,402.25 kWh/m2/yr,52.856538,-6.928686,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-4-strawhall-athy-rd-carlow-r93-a3e0-carlow-town-co-carlow/3669180
3532296,16152971,"28 Abbey Close, Tullow, Co. Carlow",279000.0,121,121 m²,4,3,Detached,2022-06-16,C1,114397086,169.74 kWh/m2/yr,52.79898,-6.74443,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-28-abbey-close-tullow-co-carlow/3532296
3474784,15760937,"Castle Lane, Off Church Street, Tullow, Co. Carlow",285000.0,N/A,,4,2,Detached,2022-08-10,C3,,,52.803722,-6.734846,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-castle-lane-off-church-street-tullow-co-carlow/3474784
3269098,15122577,"Ballypierce, Bunclody, Co. Wexford",110000.0,2900,2900 m²,,,Detached,2022-08-10,,,,52.673389,-6.711592,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-ballypierce-bunclody-co-wexford/3269098
3762618,18330205,"The Gables, Dranagh, St. Mullins, Co. Carlow",335000.0,175,175 m²,4,3,Detached,2022-08-09,C2,108008731,,52.486454,-6.896055,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-the-gables-dranagh-st-mullins-co-carlow/3762618
1182894,12146752,"Ashlawn House, Donore, Bagenalstown, Co. Carlow",Price on Application,237,237 m²,4,3,Detached,2022-06-16,B3,111172318,146.31 kWh/m2/yr,52.683028,-6.938926,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-ashlawn-house-donore-bagenalstown-co-carlow/1182894
3685272,17671764,"Ashfield House, Ballycrogue, Carlow Town, Co. Carlow",537500.0,N/A,,4,2,Detached,2022-07-21,C2,110354743,190.15 kWh/m2/yr,52.812036,-6.871768,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-ashfield-house-ballycrogue-carlow-town-co-carlow/3685272
3669180,17518469,"4 Strawhall, Athy Rd, Carlow R93 A3E0, Carlow Town, Co. Carlow",Price on Application,N/A,,2,1,Detached,2022-08-10,F,114140940,402.25 kWh/m2/yr,52.856538,-6.928686,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-4-strawhall-athy-rd-carlow-r93-a3e0-carlow-town-co-carlow/3669180
3532296,16152971,"28 Abbey Close, Tullow, Co. Carlow",279000.0,121,121 m²,4,3,Detached,2022-06-16,C1,114397086,169.74 kWh/m2/yr,52.79898,-6.74443,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-28-abbey-close-tullow-co-carlow/3532296
3474784,15760937,"Castle Lane, Off Church Street, Tullow, Co. Carlow",285000.0,N/A,,4,2,Detached,2022-08-10,C3,,,52.803722,-6.734846,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-castle-lane-off-church-street-tullow-co-carlow/3474784
3269098,15122577,"Ballypierce, Bunclody, Co. Wexford",110000.0,2900,2900 m²,,,Detached,2022-08-10,,,,52.673389,-6.711592,Buy,CARLOW,http://www.daft.ie/for-sale/detached-house-ballypierce-bunclody-co-wexford/3269098
3981507,19632030,"30 Feltham Hall, Blackbog Road, Carlow Town, Co. Carlow",280000.0,112,112 m²,3,3,Semi-D,2022-08-10,B3,115229908,136.16 kWh/m2/yr,52.82877,-6.927589,Buy,CARLOW,http://www.daft.ie/for-sale/semi-detached-house-30-feltham-hall-blackbog-road-carlow-town-co-carlow/3981507
