id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3921566,19150820,"19 Silver Pines, Tullow Road, Carlow Town, Co. Carlow",300000.0,163,163 m²,3,2,Detached,2022-07-06,C2,115038200,184.3 kWh/m2/yr,52.83009,-6.909834,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/detached-house-19-silver-pines-tullow-road-carlow-town-co-carlow/3921566
3911961,19065585,"Avondale, Crossneen, Carlow on approx. 2.9 acres, Carlow Town, Co. Carlow",375000.0,136,136 m²,3,1,Detached,2022-08-10,E2,115000663,349.35 kWh/m2/yr,52.828597,-6.942487,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/detached-house-avondale-crossneen-carlow-on-approx-2-9-acres-carlow-town-co-carlow/3911961
3902799,18982257,"9 Castle Hill, Carlow Town, Co. Carlow",190000.0,N/A,,5,2,Terrace,2022-06-22,SI_666,,,52.836535958,-6.935898821,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/terraced-house-9-castle-hill-carlow-town-co-carlow/3902799
3898802,18938161,"103 Burrin Manor, Tullow Road, Carlow Town, Co. Carlow",155000.0,85,85 m²,3,1,Semi-D,2022-08-10,C3,,,52.825858,-6.909937,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-103-burrin-manor-tullow-road-carlow-town-co-carlow/3898802
3898240,18931093,"20 Oaklawns, Carlow Town, Co. Carlow",285000.0,10,10 m²,4,2,Semi-D,2022-08-10,D2,102831237,263.05 kWh/m2/yr,52.845403,-6.9162,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-20-oaklawns-carlow-town-co-carlow/3898240
3898179,18929232,"90 The Paddocks, Browneshill Road Carlow, Carlow Town, Co. Carlow",265000.0,116,116 m²,3,3,Semi-D,2022-08-10,C2,114881998,180.37 kWh/m2/yr,52.832174,-6.9036,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-90-the-paddocks-browneshill-road-carlow-carlow-town-co-carlow/3898179
3890554,18866118,"8 Sleaty Street, Graiguecullen, Carlow Town, Co. Carlow",225000.0,N/A,,3,3,End of Terrace,2022-08-10,E1,115076394,325.39 kWh/m2/yr,52.839222,-6.937821,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/end-of-terrace-house-8-sleaty-street-graiguecullen-carlow-town-co-carlow/3890554
3812464,18748869,"16 Barrowvale, Portlaoise Road, Graiguecullen, Co. Carlow",285000.0,144,144 m²,4,2,Detached,2022-08-02,C2,102170289,178.15 kWh/m2/yr,52.841763,-6.947363,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/detached-house-16-barrowvale-portlaoise-road-graiguecullen-co-carlow/3812464
3811515,18740032,"Ballinacarrig, Carlow, Carlow Town, Co. Carlow",435000.0,248,248 m²,4,4,Detached,2022-08-10,C2,114801723,196.75 kWh/m2/yr,52.8180207,-6.9072517,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/detached-house-ballinacarrig-carlow-carlow-town-co-carlow/3811515
3805482,18694752,"1 Sandfield, Oak Park, Co. Carlow",565000.0,294,294 m²,6,6,Detached,2022-08-09,C1,108092800,294.31 kWh/m2/yr,52.8496059,-6.9156101,Buy,CARLOW_INSTITUTE_OF_TECHNOLOGY_CARLOW,http://www.daft.ie/for-sale/detached-house-1-sandfield-oak-park-co-carlow/3805482
