id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3961734,19489929,"Ballynunnery, Rathoe, Co. Carlow",445000.0,N/A,1 ac,5,4,Detached,2022-08-10,B3,112562731,141.82 kWh/m2/yr,52.7665328,-6.8355616,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-ballynunnery-rathoe-co-carlow/3961734
3958718,19458882,"37 Quinagh Green, Blackbog Road, Carlow Town, Co. Carlow",225000.0,85,85 m²,3,2,Semi-D,2022-08-09,C3,115173601,208.5 kWh/m2/yr,52.820213,-6.922633,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-37-quinagh-green-blackbog-road-carlow-town-co-carlow/3958718
3958350,19452694,"5 Pollerton Road Lower, Carlow Town, Co. Carlow",175000.0,33,33 m²,2,1,Terrace,2022-08-10,D2,105396162,298.96 kWh/m2/yr,52.836486,-6.922676,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/terraced-house-5-pollerton-road-lower-carlow-town-co-carlow/3958350
3957013,19443477,"1 Woodbrook Close, Rathnapish, Carlow Town, Co. Carlow",299500.0,120,120 m²,4,3,Semi-D,2022-08-10,C2,100639533,190.26 kWh/m2/yr,52.840636,-6.917267,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-1-woodbrook-close-rathnapish-carlow-town-co-carlow/3957013
3949116,19411343,"Knocknaree House, Friarstown, Palatine, Co. Carlow",399950.0,223,223 m²,5,3,Detached,2022-06-27,C1,102482939,164.69 kWh/m2/yr,52.837979,-6.817493,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-knocknaree-house-friarstown-palatine-co-carlow/3949116
3942405,19344984,"29 Rochfort Manor, Graiguecullen, Carlow Town, Co. Carlow",237500.0,110,110 m²,3,3,Semi-D,2022-08-10,C3,105016596,205.61 kWh/m2/yr,52.831517,-6.94329,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-29-rochfort-manor-graiguecullen-carlow-town-co-carlow/3942405
3941798,19341935,"14 Castleview, Graiguecullen, Graiguecullen, Co. Carlow",175000.0,91,91 m²,3,2,Townhouse,2022-06-21,D1,112607098,257.49 kWh/m2/yr,52.835659,-6.938649,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/townhouse-14-castleview-graiguecullen-graiguecullen-co-carlow/3941798
3940887,19332862,"72 The Laurels, Tullow Road, Carlow Town, Co. Carlow",157000.0,80,80 m²,3,1,Terrace,2022-08-10,B3,115159758,140.37 kWh/m2/yr,52.824057,-6.908923,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/terraced-house-72-the-laurels-tullow-road-carlow-town-co-carlow/3940887
3937141,19297306,"23 Anglers Walk, Burrin Road, Carlow, Carlow Town, Co. Carlow",229500.0,99,99 m²,3,3,Semi-D,2022-08-10,C3,115161317,221.96 kWh/m2/yr,52.831818,-6.920858,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-23-anglers-walk-burrin-road-carlow-carlow-town-co-carlow/3937141
3933979,19264218,"147 Crossneen Manor, Leighlin Road, Carlow, Carlow Town, Co. Carlow",249500.0,108,108 m²,3,3,Semi-D,2022-08-10,C2,100405240,175.76 kWh/m2/yr,52.825355,-6.943584,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-147-crossneen-manor-leighlin-road-carlow-carlow-town-co-carlow/3933979
3924488,19171280,"98 The Close, Willow Park, Carlow Town, Co. Carlow",149000.0,N/A,,2,2,Semi-D,2022-08-10,C1,,,52.82669,-6.90508,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-98-the-close-willow-park-carlow-town-co-carlow/3924488
3921566,19150820,"19 Silver Pines, Tullow Road, Carlow Town, Co. Carlow",300000.0,163,163 m²,3,2,Detached,2022-07-06,C2,115038200,184.3 kWh/m2/yr,52.83009,-6.909834,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-19-silver-pines-tullow-road-carlow-town-co-carlow/3921566
3911961,19065585,"Avondale, Crossneen, Carlow on approx. 2.9 acres, Carlow Town, Co. Carlow",375000.0,136,136 m²,3,1,Detached,2022-08-10,E2,115000663,349.35 kWh/m2/yr,52.828597,-6.942487,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-avondale-crossneen-carlow-on-approx-2-9-acres-carlow-town-co-carlow/3911961
3902799,18982257,"9 Castle Hill, Carlow Town, Co. Carlow",190000.0,N/A,,5,2,Terrace,2022-06-22,SI_666,,,52.836535958,-6.935898821,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/terraced-house-9-castle-hill-carlow-town-co-carlow/3902799
3898802,18938161,"103 Burrin Manor, Tullow Road, Carlow Town, Co. Carlow",155000.0,85,85 m²,3,1,Semi-D,2022-08-10,C3,,,52.825858,-6.909937,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-103-burrin-manor-tullow-road-carlow-town-co-carlow/3898802
3898240,18931093,"20 Oaklawns, Carlow Town, Co. Carlow",285000.0,10,10 m²,4,2,Semi-D,2022-08-10,D2,102831237,263.05 kWh/m2/yr,52.845403,-6.9162,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-20-oaklawns-carlow-town-co-carlow/3898240
3898179,18929232,"90 The Paddocks, Browneshill Road Carlow, Carlow Town, Co. Carlow",265000.0,116,116 m²,3,3,Semi-D,2022-08-10,C2,114881998,180.37 kWh/m2/yr,52.832174,-6.9036,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-90-the-paddocks-browneshill-road-carlow-carlow-town-co-carlow/3898179
3895868,18911193,"66 Milford Park, BALLINABRANNAGH, Carlow Town, Co. Carlow",342000.0,167,167 m²,4,4,Detached,2022-06-23,B1,109897413,,52.7820716,-6.9831676,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-66-milford-park-ballinabrannagh-carlow-town-co-carlow/3895868
3890554,18866118,"8 Sleaty Street, Graiguecullen, Carlow Town, Co. Carlow",225000.0,N/A,,3,3,End of Terrace,2022-08-10,E1,115076394,325.39 kWh/m2/yr,52.839222,-6.937821,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/end-of-terrace-house-8-sleaty-street-graiguecullen-carlow-town-co-carlow/3890554
3819222,18809154,"Gorteengrone, Carlow, Carlow Town, Co. Carlow",495000.0,N/A,,6,4,Detached,2022-08-10,C2,105003149,190.54 kWh/m2/yr,52.869899,-6.867978,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-gorteengrone-carlow-carlow-town-co-carlow/3819222
3776123,18435464,"16 Kylemore Hill, Rathoe, Co. Carlow",399000.0,244,244 m²,4,4,Detached,2022-06-16,C1,114715196,162.12 kWh/m2/yr,52.788229,-6.798441,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-16-kylemore-hill-rathoe-co-carlow/3776123
3812464,18748869,"16 Barrowvale, Portlaoise Road, Graiguecullen, Co. Carlow",285000.0,144,144 m²,4,2,Detached,2022-08-02,C2,102170289,178.15 kWh/m2/yr,52.841763,-6.947363,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-16-barrowvale-portlaoise-road-graiguecullen-co-carlow/3812464
3764721,18348813,"Friarstown, Bennekerry, Carlow Town, Co. Carlow",349500.0,145,145 m²,4,3,Detached,2022-08-10,C3,113143705,208.93 kWh/m2/yr,52.83811,-6.823008,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-friarstown-bennekerry-carlow-town-co-carlow/3764721
3811515,18740032,"Ballinacarrig, Carlow, Carlow Town, Co. Carlow",435000.0,248,248 m²,4,4,Detached,2022-08-10,C2,114801723,196.75 kWh/m2/yr,52.8180207,-6.9072517,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-ballinacarrig-carlow-carlow-town-co-carlow/3811515
3805482,18694752,"1 Sandfield, Oak Park, Co. Carlow",565000.0,294,294 m²,6,6,Detached,2022-08-09,C1,108092800,294.31 kWh/m2/yr,52.8496059,-6.9156101,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-1-sandfield-oak-park-co-carlow/3805482
3804092,18681888,"Tinryland, Carlow, Carlow Town, Co. Carlow",630000.0,269,269 m²,4,3,Detached,2022-08-10,B3,113261226,138.94 kWh/m2/yr,52.798217,-6.898071,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-tinryland-carlow-carlow-town-co-carlow/3804092
3793417,18590503,"47 Ashfield, Blackbog Road, Carlow, Carlow Town, Co. Carlow",240000.0,111,111 m²,4,3,Semi-D,2022-08-10,C2,108097262,199.16 kWh/m2/yr,52.81954,-6.932856,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-47-ashfield-blackbog-road-carlow-carlow-town-co-carlow/3793417
3773394,18411165,"14 Old Burrin, Old Burrin, Carlow, Carlow Town, Co. Carlow",229500.0,125,125 m²,4,3,Semi-D,2022-08-10,C2,114764590,197.75 kWh/m2/yr,52.830692,-6.922126,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-14-old-burrin-old-burrin-carlow-carlow-town-co-carlow/3773394
3692495,17731451,"33 The Laurels, Tullow Road, Carlow Town, Co. Carlow",150000.0,80,80 m²,3,1,Terrace,2022-06-27,D1,114627482,247.85 kWh/m2/yr,52.824209,-6.910067,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/terraced-house-33-the-laurels-tullow-road-carlow-town-co-carlow/3692495
3685272,17671764,"Ashfield House, Ballycrogue, Carlow Town, Co. Carlow",537500.0,N/A,,4,2,Detached,2022-07-21,C2,110354743,190.15 kWh/m2/yr,52.812036,-6.871768,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-ashfield-house-ballycrogue-carlow-town-co-carlow/3685272
3669180,17518469,"4 Strawhall, Athy Rd, Carlow R93 A3E0, Carlow Town, Co. Carlow",Price on Application,N/A,,2,1,Detached,2022-08-10,F,114140940,402.25 kWh/m2/yr,52.856538,-6.928686,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-4-strawhall-athy-rd-carlow-r93-a3e0-carlow-town-co-carlow/3669180
3668461,17513585,"2 Leinster Crescent, Old Dublin Road, Carlow Town, Co. Carlow",435000.0,N/A,,4,2,Townhouse,2022-07-21,SI_666,,,52.8407321,-6.9263171,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/townhouse-2-leinster-crescent-old-dublin-road-carlow-town-co-carlow/3668461
3605563,16846297,"90 Tullow Street, Carlow Town, Co. Carlow",250000.0,125,125 m²,4,2,Terrace,2021-11-24,D1,112632880,257.88 kWh/m2/yr,52.836299,-6.92673,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/terraced-house-90-tullow-street-carlow-town-co-carlow/3605563
3240069,14955043,"FITZPATRICK'S, The Glenside, Killeshin, Co. Laois",Price on Application,837,837 m²,6,2,Semi-D,2022-06-16,B3,112556295,304.31 kWh/m2/yr,52.848184,-6.990886,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-fitzpatricks-the-glenside-killeshin-co-laois/3240069
2553572,12676917,"Dispensary House, Church Street, Carlow Town, Co. Carlow",Price on Application,N/A,,7,4,Townhouse,2022-08-10,SI_666,,,52.836915,-6.932859,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/townhouse-dispensary-house-church-street-carlow-town-co-carlow/2553572
3961734,19489929,"Ballynunnery, Rathoe, Co. Carlow",445000.0,N/A,1 ac,5,4,Detached,2022-08-10,B3,112562731,141.82 kWh/m2/yr,52.7665328,-6.8355616,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/detached-house-ballynunnery-rathoe-co-carlow/3961734
3958718,19458882,"37 Quinagh Green, Blackbog Road, Carlow Town, Co. Carlow",225000.0,85,85 m²,3,2,Semi-D,2022-08-09,C3,115173601,208.5 kWh/m2/yr,52.820213,-6.922633,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/semi-detached-house-37-quinagh-green-blackbog-road-carlow-town-co-carlow/3958718
3958350,19452694,"5 Pollerton Road Lower, Carlow Town, Co. Carlow",175000.0,33,33 m²,2,1,Terrace,2022-08-10,D2,105396162,298.96 kWh/m2/yr,52.836486,-6.922676,Buy,CARLOW_TOWN_AND_SURROUNDS_CARLOW,http://www.daft.ie/for-sale/terraced-house-5-pollerton-road-lower-carlow-town-co-carlow/3958350
