id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3896050,18913123,"47 Castleknock Elms, Castleknock, Dublin 15",830000.0,155,155 m²,4,3,Detached,2022-08-09,C3,114844814,,53.37792,-6.373393,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/detached-house-47-castleknock-elms-castleknock-dublin-15/3896050
3911951,19065567,"13 Roselawn Close, Castleknock, Dublin 15",645000.0,127,127 m²,4,2,Semi-D,2022-08-10,C1,112858311,156.05 kWh/m2/yr,53.382428,-6.375326,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-13-roselawn-close-castleknock-dublin-15/3911951
3910942,19058568,"3 Hollyville, Old Lucan Road, Palmerstown, Dublin 20",595000.0,123,123 m²,3,1,Detached,2022-08-10,D2,115001190,293.97 kWh/m2/yr,53.357736,-6.380682,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/detached-house-3-hollyville-old-lucan-road-palmerstown-dublin-20/3910942
3910519,19054939,"15 Riverwood Dene, Carpenterstown Road, Castleknock, Dublin 15",555000.0,125,125 m²,4,2,Semi-D,2022-07-08,C1,,,53.377885,-6.39967,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-riverwood-dene-carpenterstown-road-castleknock-dublin-15/3910519
3907182,19022714,"12 Riverwood Grove, Carpenterstown Road, Castleknock, Dublin 15",495000.0,97,97 m²,3,3,Semi-D,2022-08-10,C2,101855450,199.59 kWh/m2/yr,53.373632,-6.397364,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-12-riverwood-grove-carpenterstown-road-castleknock-dublin-15/3907182
3906745,19020057,"44 Diswellstown Manor, Castleknock, Dublin 15",745000.0,130,130 m²,4,3,Semi-D,2022-08-10,A2,109252007,44.65 kWh/m2/yr,53.368221,-6.387303,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-44-diswellstown-manor-castleknock-dublin-15/3906745
3900782,18963170,"8 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",1695000.0,283,283 m²,5,5,Detached,2022-08-09,C2,101846442,,53.364803,-6.395007,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/detached-house-8-somerton-castleknock-golf-club-castleknock-dublin-15/3900782
3892434,18883329,"48 Woodview Park, Castleknock, Dublin 15",490000.0,N/A,,3,1,Semi-D,2022-08-10,E2,114870934,369.37 kWh/m2/yr,53.3796036,-6.3595323,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-48-woodview-park-castleknock-dublin-15/3892434
3891197,18870869,"17 Fernleigh Close, Castleknock, Dublin 15",380000.0,97,97 m²,3,3,Terrace,2022-08-10,C1,109799472,169.99 kWh/m2/yr,53.373618,-6.401258,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/terraced-house-17-fernleigh-close-castleknock-dublin-15/3891197
3730277,18041935,"36 Collegewood, Castleknock, Castleknock, Dublin 15",795000.0,175,175 m²,5,4,End of Terrace,2022-08-08,B3,114688039,146.7 kWh/m2/yr,53.372447,-6.368772,Buy,CASTLEKNOCK_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-36-collegewood-castleknock-castleknock-dublin-15/3730277
