id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3692148,17726925,"9 Saint Patrick's Terrace, Cavan, Co. Cavan",Price on Application,105,105 m²,3,1,Terrace,2022-08-10,C3,106570716,222.16 kWh/m2/yr,53.992196,-7.369787,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/terraced-house-9-saint-patricks-terrace-cavan-co-cavan/3692148
3689105,17697151,"Shantully, Crossdoney, Co. Cavan",375000.0,N/A,,4,4,Terrace,2022-08-10,,,,53.953083,-7.434282,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/terraced-house-shantully-crossdoney-co-cavan/3689105
3654985,17342674,"Townparks, Ballyhaise, Co. Cavan",190000.0,108,108 m²,3,1,End of Terrace,2022-08-09,D2,114561186,286.96 kWh/m2/yr,54.045615,-7.318155,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/end-of-terrace-house-townparks-ballyhaise-co-cavan/3654985
3606354,16851429,"null, Stradone, Co. Cavan",Price on Application,N/A,,4,3,Detached,2022-06-01,C2,,,53.982279,-7.237637,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/detached-house-null-stradone-co-cavan/3606354
3606016,16848334,"Dublin Road, Ballinagh, Co. Cavan",Price on Application,N/A,,2,1,End of Terrace,2022-05-26,SI_666,,,53.93125900721989,-7.406700025625554,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/end-of-terrace-house-dublin-road-ballinagh-co-cavan/3606016
3174409,14377481,"The Square, Ballyhaise, Co. Cavan",285000.0,183,183 m²,4,2,End of Terrace,2022-08-09,E2,113758536,357.08 kWh/m2/yr,54.047337,-7.316958,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/end-of-terrace-house-the-square-ballyhaise-co-cavan/3174409
2954434,14062349,"Dublin Rd, Cavan, Co. Cavan",275000.0,N/A,,,,Detached,2022-08-10,,,,53.98732,-7.360743,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/detached-house-dublin-rd-cavan-co-cavan/2954434
1504529,12386859,"12 Ardkeen, Cavan, Co. Cavan",175000.0,N/A,,4,2,Detached,2022-08-10,D1,112803192,233.72 kWh/m2/yr,53.99511,-7.352324,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/detached-house-12-ardkeen-cavan-co-cavan/1504529
211547,11960519,"Garrymore, Ballinagh, Co. Cavan",Price on Application,N/A,,4,,Detached,2022-07-28,SI_666,,,53.93121642670487,-7.401875741053118,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/detached-house-garrymore-ballinagh-co-cavan/211547
3692148,17726925,"9 Saint Patrick's Terrace, Cavan, Co. Cavan",Price on Application,105,105 m²,3,1,Terrace,2022-08-10,C3,106570716,222.16 kWh/m2/yr,53.992196,-7.369787,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/terraced-house-9-saint-patricks-terrace-cavan-co-cavan/3692148
3689105,17697151,"Shantully, Crossdoney, Co. Cavan",375000.0,N/A,,4,4,Terrace,2022-08-10,,,,53.953083,-7.434282,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/terraced-house-shantully-crossdoney-co-cavan/3689105
3654985,17342674,"Townparks, Ballyhaise, Co. Cavan",190000.0,108,108 m²,3,1,End of Terrace,2022-08-09,D2,114561186,286.96 kWh/m2/yr,54.045615,-7.318155,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/end-of-terrace-house-townparks-ballyhaise-co-cavan/3654985
3606354,16851429,"null, Stradone, Co. Cavan",Price on Application,N/A,,4,3,Detached,2022-06-01,C2,,,53.982279,-7.237637,Buy,CAVAN_AND_SURROUNDS_CAVAN,http://www.daft.ie/for-sale/detached-house-null-stradone-co-cavan/3606354
