id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3968227,19542956,"100, 69 Ravenswood Crescent, Clonsilla, Dublin 15",385000.0,100,100 m²,3,,Semi-D,2022-08-10,C2,115166464,180.48 kWh/m2/yr,53.394785,-6.42485,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-100-69-ravenswood-crescent-clonsilla-dublin-15/3968227
3961899,19492637,"7 Portersgate Avenue, Clonsilla, Dublin 15",435000.0,123,123 m²,3,3,Semi-D,2022-08-09,D1,115204612,,53.386245,-6.421375,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-7-portersgate-avenue-clonsilla-dublin-15/3961899
3958624,19456566,"3 Willan's Green, Ongar Village, Ongar, Dublin 15",295000.0,N/A,,2,1,Townhouse,2022-08-08,C1,,,53.394409,-6.442045,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/townhouse-3-willans-green-ongar-village-ongar-dublin-15/3958624
3957871,19450086,"10 Barnwell Grove, Hansfield, Clonsilla, Dublin 15",500000.0,N/A,,4,3,Semi-D,2022-08-08,A3,,,53.39027,-6.443573,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-barnwell-grove-hansfield-clonsilla-dublin-15/3957871
3957616,19447857,"53 Windermere, Clonsilla, Clonsilla, Dublin 15",495000.0,N/A,,4,3,Semi-D,2022-08-10,D2,,,53.388212,-6.428109,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-53-windermere-clonsilla-clonsilla-dublin-15/3957616
3957008,19443474,"66 Hazelbury Green, Clonee, Dublin 15",375000.0,98,98 m²,3,3,Terrace,2022-08-10,C1,115184079,172.9 kWh/m2/yr,53.403459,-6.434966,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-66-hazelbury-green-clonee-dublin-15/3957008
3956170,19434499,"26 Summerfield Lawn, Blanchardstown, Dublin 15",435000.0,N/A,,3,1,Semi-D,2022-07-28,D2,114330798,287.95 kWh/m2/yr,53.3877973,-6.3899028,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26-summerfield-lawn-blanchardstown-dublin-15/3956170
3955657,19426722,"39 Delwood Road, Castleknock, Dublin 15",595000.0,N/A,,4,3,Semi-D,2022-08-04,C3,110011905,208.6 kWh/m2/yr,53.381073,-6.3871264,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-39-delwood-road-castleknock-dublin-15/3955657
3947660,19400657,"23 Latchford Close, Clonee, Clonee, Dublin 15",300000.0,N/A,,3,3,End of Terrace,2022-08-09,C3,114881154,,53.397316,-6.433785,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-23-latchford-close-clonee-clonee-dublin-15/3947660
3947371,19397311,"41 Limelawn Wood, Clonsilla, Dublin 15",450000.0,123,123 m²,4,3,Semi-D,2022-08-10,C3,115169476,,53.384782,-6.403267,Buy,CLONSILLA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-41-limelawn-wood-clonsilla-dublin-15/3947371
