id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3813773,18761996,"Vistamar, Mount Crozier Close, Cobh, Co. Cork",Price on Application,353,353 m²,5,7,Detached,2022-05-08,B3,,,51.855292,-8.291964,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-vistamar-mount-crozier-close-cobh-co-cork/3813773
3817396,18795445,"Vistamar, Mount Crozier Close, Cobh, Co. Cork",Price on Application,430,430 m²,5,7,Detached,2022-08-02,B3,,31.75 kWh/m2/yr,51.855292,-8.291964,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-vistamar-mount-crozier-close-cobh-co-cork/3817396
3815297,18774123,"47 Harbour Row, Cobh, Co. Cork",260000.0,95,95 m²,3,1,Terrace,2022-08-10,D1,114301765,244.69 kWh/m2/yr,51.851602,-8.28577,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-47-harbour-row-cobh-co-cork/3815297
3578539,16545384,"Seascape, 22 A Harbour View, Cobh, Co. Cork","AMV: €190,000",130,130 m²,4,2,End of Terrace,2022-08-10,E2,,,51.851707,-8.286549,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-seascape-22-a-harbour-view-cobh-co-cork/3578539
3809607,18729758,"Ballyvoloon, Cobh, Co. Cork",430000.0,163,163 m²,4,2,Detached,2022-08-07,E2,,,51.855875,-8.303266,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-ballyvoloon-cobh-co-cork/3809607
3752716,18263881,"2 Sandymount, Cobh, Co. Cork",270000.0,N/A,,3,2,Terrace,2022-08-02,SI_666,,,51.852266,-8.294857,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-2-sandymount-cobh-co-cork/3752716
3726521,18010558,"16 Harbour Hill, Cobh, Co. Cork",230000.0,N/A,,3,3,Terrace,2022-08-02,G,114684418,474.06 kWh/m2/yr,51.850894,-8.290542,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-16-harbour-hill-cobh-co-cork/3726521
3691280,17717225,"41 O'Neill's Place, Cobh, Co. Cork",255000.0,108,108 m²,3,2,Terrace,2022-02-25,C2,107890952,,51.855849,-8.281053,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-41-oneills-place-cobh-co-cork/3691280
3813773,18761996,"Vistamar, Mount Crozier Close, Cobh, Co. Cork",Price on Application,353,353 m²,5,7,Detached,2022-05-08,B3,,,51.855292,-8.291964,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-vistamar-mount-crozier-close-cobh-co-cork/3813773
3817396,18795445,"Vistamar, Mount Crozier Close, Cobh, Co. Cork",Price on Application,430,430 m²,5,7,Detached,2022-08-02,B3,,31.75 kWh/m2/yr,51.855292,-8.291964,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-vistamar-mount-crozier-close-cobh-co-cork/3817396
3815297,18774123,"47 Harbour Row, Cobh, Co. Cork",260000.0,95,95 m²,3,1,Terrace,2022-08-10,D1,114301765,244.69 kWh/m2/yr,51.851602,-8.28577,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-47-harbour-row-cobh-co-cork/3815297
3578539,16545384,"Seascape, 22 A Harbour View, Cobh, Co. Cork","AMV: €190,000",130,130 m²,4,2,End of Terrace,2022-08-10,E2,,,51.851707,-8.286549,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-seascape-22-a-harbour-view-cobh-co-cork/3578539
3809607,18729758,"Ballyvoloon, Cobh, Co. Cork",430000.0,163,163 m²,4,2,Detached,2022-08-07,E2,,,51.855875,-8.303266,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/detached-house-ballyvoloon-cobh-co-cork/3809607
3752716,18263881,"2 Sandymount, Cobh, Co. Cork",270000.0,N/A,,3,2,Terrace,2022-08-02,SI_666,,,51.852266,-8.294857,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-2-sandymount-cobh-co-cork/3752716
3726521,18010558,"16 Harbour Hill, Cobh, Co. Cork",230000.0,N/A,,3,3,Terrace,2022-08-02,G,114684418,474.06 kWh/m2/yr,51.850894,-8.290542,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-16-harbour-hill-cobh-co-cork/3726521
3691280,17717225,"41 O'Neill's Place, Cobh, Co. Cork",255000.0,108,108 m²,3,2,Terrace,2022-02-25,C2,107890952,,51.855849,-8.281053,Buy,COBH_AND_SURROUNDS_CORK,http://www.daft.ie/for-sale/terraced-house-41-oneills-place-cobh-co-cork/3691280
