id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3904011,18993424,"Cloch A'leachta, Rosmuc, Co. Galway",350000.0,82,82 m²,3,1,Detached,2022-08-02,G,114349574,462.33 kWh/m2/yr,53.380132,-9.636886,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-cloch-aleachta-rosmuc-co-galway/3904011
3902213,18975399,"Whale Harbour Cottage, Ervallagh, Roundstone, Co. Galway",1500000.0,241,241 m²,3,4,Detached,2022-08-10,B2,114809700,,53.38108,-9.944662,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-whale-harbour-cottage-ervallagh-roundstone-co-galway/3902213
3902442,18977411,"Keeraunbeg, Carraroe, Co. Galway",125000.0,N/A,0.4 ac,4,1,Detached,2022-08-09,,,,53.252249,-9.591338,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-keeraunbeg-carraroe-co-galway/3902442
3899751,18950897,"Eighterard, Oughterard, Co. Galway",345000.0,103,103 m²,3,3,Detached,2022-08-03,D1,114539281,225.88 kWh/m2/yr,53.435115,-9.318232,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-eighterard-oughterard-co-galway/3899751
3552966,16245598,"Mace, Carna, Co. Galway",195000.0,N/A,,1,1,Detached,2022-07-25,G,,,53.323508,-9.891833,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-mace-carna-co-galway/3552966
3891502,18874266,"Cloonderowen, Moyard, Clifden, Co. Galway",750000.0,227,227 m²,6,7,Detached,2022-08-10,C2,114786064,199.57 kWh/m2/yr,53.545318,-10.006097,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-cloonderowen-moyard-clifden-co-galway/3891502
3822666,18842798,"Sky Road, Clifden, Co. Galway",585000.0,N/A,,5,4,Detached,2022-05-18,B1,112855994,99.33 kWh/m2/yr,53.49277,-10.048402,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-sky-road-clifden-co-galway/3822666
3820381,18818960,"null, Clifden, Co. Galway",199000.0,N/A,,3,1,Detached,2022-06-23,G,107708067,1834.31 kWh/m2/yr,53.510005,-10.148433,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-null-clifden-co-galway/3820381
3601737,16790866,"Cregg, Oughterard, Co. Galway",549000.0,253,253 m²,5,4,Detached,2022-08-10,C1,114523327,156.91 kWh/m2/yr,53.422157,-9.32378,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-cregg-oughterard-co-galway/3601737
3808054,18723724,"Lettercallow, Lettermore, Co. Galway",280000.0,N/A,,5,2,Detached,2022-07-26,D1,114347560,247.17 kWh/m2/yr,53.289785,-9.680931,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-lettercallow-lettermore-co-galway/3808054
3807883,18721410,"2 Gaoth Na Mara, Ballynahown, Furbo, Co. Galway",Price on Application,240,240 m²,4,4,Detached,2022-04-29,A2,113077440,34.08 kWh/m2/yr,53.248257,-9.214212,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-2-gaoth-na-mara-ballynahown-furbo-co-galway/3807883
3807582,18719099,"Gleann na bhFear, Furbo North, Furbo, Co. Galway",Price on Application,199,199 m²,4,3,Detached,2022-06-24,A2,,,53.2523918,-9.214013,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-gleann-na-bhfear-furbo-north-furbo-co-galway/3807582
3801390,18657046,"Glassillaun, Renvyle, Co. Galway",395000.0,N/A,,4,2,Detached,2022-05-17,D2,114144066,288.44 kWh/m2/yr,53.612444,-9.875425,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-glassillaun-renvyle-co-galway/3801390
3794207,18598692,"Inishnee, Roundstone, Co. Galway",485000.0,N/A,3.16 ac,1,1,Detached,2022-08-09,,,,53.398387,-9.907766,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-inishnee-roundstone-co-galway/3794207
3789156,18561029,"Doon East, Rosscahill, Co. Galway",795000.0,N/A,2.05 ac,5,3,Detached,2022-08-09,B2,102858255,111.48 kWh/m2/yr,53.375364,-9.248594,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-doon-east-rosscahill-co-galway/3789156
3773125,18408219,"Gortnashingaun, Glann Road, Oughterard, Co. Galway",1750000.0,450,450 m²,6,6,Detached,2022-08-10,C1,114466378,155.31 kWh/m2/yr,53.43398,-9.323486,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-gortnashingaun-glann-road-oughterard-co-galway/3773125
3774154,18420870,"Baile Eamon, Spiddal, Co. Galway",775000.0,325,325 m²,6,3,Detached,2022-08-03,B2,114479231,123.43 kWh/m2/yr,53.2513,-9.2955,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-baile-eamon-spiddal-co-galway/3774154
3751602,18248998,"Letterard, Cashel, Connemara, Carna, Co. Galway",145000.0,N/A,,1,1,Detached,2022-08-10,F,114452170,407.73 kWh/m2/yr,53.358362,-9.875897,Buy,CONNEMARA_GALWAY,http://www.daft.ie/for-sale/detached-house-letterard-cashel-connemara-carna-co-galway/3751602
