id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3959948,19471732,"33 Summerhill North, Co. Cork",345000.0,101,101 m²,4,2,Detached,2022-06-30,D1,,,51.90205,-8.463024,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/detached-house-33-summerhill-north-co-cork/3959948
3959607,19468117,"10 O'Connell Street, Blackpool, Co. Cork",165000.0,46,46 m²,2,1,Terrace,2022-08-10,E1,,,51.90777,-8.475249,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/terraced-house-10-oconnell-street-blackpool-co-cork/3959607
3949366,19414987,"24 Liam Lynch Park, Glasheen Road, Co. Cork",295000.0,79,79 m²,3,2,Terrace,2022-06-29,E1,115176372,79.42 kWh/m2/yr,51.884766,-8.505948,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/terraced-house-24-liam-lynch-park-glasheen-road-co-cork/3949366
3958250,19452612,"Ardgur, 17 Mount Pleasant Avenue, Turners Cross, Co. Cork",340000.0,110,110 m²,3,1,Semi-D,2022-07-18,D2,,276.33 kWh/m2/yr,51.88857,-8.474161,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/semi-detached-house-ardgur-17-mount-pleasant-avenue-turners-cross-co-cork/3958250
3947622,19399581,"10 Saint Patricks Terrace, Magazine Road, Glasheen, Co. Cork",375000.0,149,149 m²,7,2,Terrace,2022-08-10,D2,,,51.889581,-8.496084,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/terraced-house-10-saint-patricks-terrace-magazine-road-glasheen-co-cork/3947622
3955836,19429137,"20 Drumcora Mews, Blackrock, Co. Cork",365000.0,89,89 m²,3,2,Terrace,2022-06-28,D2,115162513,281.43 kWh/m2/yr,51.896805,-8.423415,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/terraced-house-20-drumcora-mews-blackrock-co-cork/3955836
3949517,19416236,"Dunamaise, 12 Beaumont Lawn, Ballintemple, Co. Cork",425000.0,98,98 m²,3,1,Semi-D,2022-08-10,G,,,51.890504,-8.426598,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/semi-detached-house-dunamaise-12-beaumont-lawn-ballintemple-co-cork/3949517
3949302,19413347,"17 Gillabbey Park, Donovan Road, Co. Cork",245000.0,77,77 m²,2,1,Terrace,2022-07-07,F,,,51.894849,-8.48597,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/terraced-house-17-gillabbey-park-donovan-road-co-cork/3949302
3949252,19413317,"53 Skehard Road, Blackrock, Blackrock, Co. Cork",415000.0,107,107 m²,3,1,Semi-D,2022-06-27,E2,114857410,370.26 kWh/m2/yr,51.887546,-8.42379,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/semi-detached-house-53-skehard-road-blackrock-blackrock-co-cork/3949252
3949051,19411312,"Cruac Paoraic, 55 Beechwood Park, Ballinlough, Co. Cork",415000.0,N/A,,3,2,Semi-D,2022-06-27,F,,,51.887006,-8.445665,Buy,CORK_CITY_CENTRE_CORK,http://www.daft.ie/for-sale/semi-detached-house-cruac-paoraic-55-beechwood-park-ballinlough-co-cork/3949051
