id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3944473,19368978,"104 Lissadell, Maryborough Hill, Douglas, Co. Cork",295000.0,103,103 m²,3,2,Detached,2022-07-12,D2,114762248,289.5 kWh/m2/yr,51.869469,-8.415908,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-104-lissadell-maryborough-hill-douglas-co-cork/3944473
3940981,19333277,"4 Avondale, Model Farm Road, Model Farm Road, Co. Cork",785000.0,165,165 m²,5,2,Detached,2022-06-27,D1,115187213,,51.887298,-8.512458,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-4-avondale-model-farm-road-model-farm-road-co-cork/3940981
3941269,19335370,"28 Woodlands, Kerry Pike, Carrigrohane, Co. Cork",495000.0,206,206 m²,5,3,Detached,2022-08-10,C1,115166472,153.53 kWh/m2/yr,51.913068,-8.572849,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-28-woodlands-kerry-pike-carrigrohane-co-cork/3941269
3936833,19295369,"Clonallon House, Model Farm Road, Model Farm Road, Co. Cork",950000.0,214,214 m²,4,3,Detached,2022-08-10,D1,,,51.888153,-8.519278,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-clonallon-house-model-farm-road-model-farm-road-co-cork/3936833
3935110,19276629,"Inagh, 12 The Grove, Shanakiel, Co. Cork",450000.0,131,131 m²,4,2,Detached,2022-06-21,F,115054231,428.06 kWh/m2/yr,51.898419,-8.502843,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-inagh-12-the-grove-shanakiel-co-cork/3935110
3933686,19261863,"Loughmahon View, The Close, Rochestown, Co. Cork",520000.0,108,108 m²,2,2,Detached,2022-08-09,D1,104057252,237.82 kWh/m2/yr,51.874916,-8.406185,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-loughmahon-view-the-close-rochestown-co-cork/3933686
3932383,19249005,"26 Upper Glen Richmond, Sallybrook, Glanmire, Co. Cork",575000.0,212,212 m²,4,4,Detached,2022-06-28,C2,114703481,,51.940021,-8.403948,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-26-upper-glen-richmond-sallybrook-glanmire-co-cork/3932383
3911540,19063690,"12 Oaklee, Carrigrohane, Co. Cork",595000.0,169,169 m²,4,3,Detached,2022-08-10,F,,,51.8907,-8.559459,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-12-oaklee-carrigrohane-co-cork/3911540
3821348,18828807,"5 Ballincrokig, Dublin Pike, Co. Cork",549000.0,251,251 m²,5,3,Detached,2022-06-16,C2,100866292,,51.93505,-8.452651,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-5-ballincrokig-dublin-pike-co-cork/3821348
3921935,19154458,"2 Riverside, Rochestown Road, Rochestown, Co. Cork",735000.0,215,215 m²,5,3,Detached,2022-07-01,D2,115051773,,51.876123,-8.407859,Buy,CORK_CITY_SUBURBS_CORK,http://www.daft.ie/for-sale/detached-house-2-riverside-rochestown-road-rochestown-co-cork/3921935
