id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3821165,18826492,"Newmarket Road, Kanturk, Co. Cork",225000.0,N/A,,3,2,Bungalow,2022-07-18,D1,114758092,226.77 kWh/m2/yr,52.18376,-8.91238,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-newmarket-road-kanturk-co-cork/3821165
3786839,18539273,"Laherfineen, Innishannon, Co. Cork",350000.0,100,100 m²,3,1,Bungalow,2022-07-01,G,114694029,509.79 kWh/m2/yr,51.76917,-8.657073,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-laherfineen-innishannon-co-cork/3786839
3777766,18454331,"21 Beechwood Park, Mallow, Co. Cork",240000.0,N/A,,3,1,Bungalow,2022-07-18,D2,102756681,288.19 kWh/m2/yr,52.145996,-8.638744,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-21-beechwood-park-mallow-co-cork/3777766
3775135,18430151,"Gortnagappul, Killeagh, Co. Cork",165000.0,63,63 m²,3,1,Bungalow,2022-08-10,G,114752231,356.15 kWh/m2/yr,51.963576,-7.994109,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-gortnagappul-killeagh-co-cork/3775135
3770044,18376522,"Curraclogh, Kilmurray, Ovens, Co. Cork",280000.0,115,115 m²,3,2,Bungalow,2022-08-10,D1,114729684,252.99 kWh/m2/yr,51.82999,-8.871871,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-curraclogh-kilmurray-ovens-co-cork/3770044
3769557,18372216,"3 Oaklawn, Bandon, Co. Cork",285000.0,92,92 m²,3,2,Bungalow,2022-07-20,D2,114680218,298.57 kWh/m2/yr,51.74205,-8.752018,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-3-oaklawn-bandon-co-cork/3769557
3762928,18335800,"Barnetstown, Watergrasshill, Watergrasshill, Co. Cork",450000.0,175,175 m²,4,2,Bungalow,2022-07-03,B3,109546523,130.47 kWh/m2/yr,51.98659618354333,-8.337168747075708,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-barnetstown-watergrasshill-watergrasshill-co-cork/3762928
3747926,18219906,"Railway Cottage, Cobh Junction, Glounthaune, Co. Cork",350000.0,133,133 m²,4,2,Bungalow,2022-07-26,D2,,,51.910886,-8.320463,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-railway-cottage-cobh-junction-glounthaune-co-cork/3747926
3701399,17806109,"Baltydaniel East, Mallow, Co. Cork",99500.0,93,93 m²,2,1,Bungalow,2022-07-14,G,114662372,594.29 kWh/m2/yr,52.173217,-8.668435,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-baltydaniel-east-mallow-co-cork/3701399
3559113,16321725,"Kiskeam Upper, Kishkeam, Co. Cork",220000.0,N/A,,3,1,Bungalow,2022-08-04,B3,,,52.192168,-9.170277,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-kiskeam-upper-kishkeam-co-cork/3559113
3416290,15302403,"Crinaloo, Rathcoole, Mallow, Co. Cork",245000.0,128,128 m²,4,2,Bungalow,2022-04-19,C3,113903405,223.69 kWh/m2/yr,52.070741,-8.933055,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-crinaloo-rathcoole-mallow-co-cork/3416290
2561003,12690491,"Dromahoe, Dromagh, Mallow, Co. Cork",275000.0,N/A,,3,1,Bungalow,2022-08-02,,,,52.117717,-8.98932,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/bungalow-dromahoe-dromagh-mallow-co-cork/2561003
4001757,112946638,"Rose Cottage, Mount North, Mallow, Co. Cork",375000.0,193,193 m²,4,3,Detached,2022-08-10,C1,115227563,158.17 kWh/m2/yr,52.169263,-8.704662,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-rose-cottage-mount-north-mallow-co-cork/4001757
4001649,112946199,"Moneens, Bandon, Co. Cork",289000.0,160,160 m²,3,3,Detached,2022-08-06,E2,115380982,346.67 kWh/m2/yr,51.712452,-8.799805,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-moneens-bandon-co-cork/4001649
4001543,112944179,"Bydon, Ballyvodock West, Midleton, Co. Cork",420000.0,98,98 m²,3,1,Detached,2022-08-10,C3,105262364,224.55 kWh/m2/yr,51.905243,-8.217347,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-bydon-ballyvodock-west-midleton-co-cork/4001543
4000256,112932803,"Ballyrussell, Midleton, Co. Cork",695000.0,265,265 m²,4,3,Detached,2022-08-05,B3,105973820,133.97 kWh/m2/yr,51.868642,-8.079755,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-ballyrussell-midleton-co-cork/4000256
4001116,112941029,"67 The Willows, Gort an Oir, Castlemartyr, Co. Cork",340000.0,139,139 m²,4,2,Detached,2022-08-05,B3,101861037,141.83 kWh/m2/yr,51.914064,-8.049509,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-67-the-willows-gort-an-oir-castlemartyr-co-cork/4001116
4001291,112942656,"27 Oakmount, Tower, Tower, Co. Cork",350000.0,102,102 m²,3,2,Detached,2022-08-03,D1,115034878,255.73 kWh/m2/yr,51.923795,-8.603499,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-27-oakmount-tower-tower-co-cork/4001291
4001190,112942606,"Burke's Lane, Ballinvriskig, White's Cross, Co. Cork",495000.0,N/A,,4,2,Detached,2022-08-03,D1,,,51.95206,-8.440701,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-burkes-lane-ballinvriskig-whites-cross-co-cork/4001190
4001094,112941017,"2 Courseside Lodges, Fota Island Resort, Fota, Co. Cork",595000.0,178,178 m²,4,4,Detached,2022-08-09,B2,,,51.894884,-8.286729,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-2-courseside-lodges-fota-island-resort-fota-co-cork/4001094
4001087,112941013,"Maglin, Ballincollig, Co. Cork",295000.0,63,63 m²,3,1,Detached,2022-08-04,G,113484133,832.83 kWh/m2/yr,51.876291,-8.588667,Buy,CORK_COMMUTER_TOWNS_CORK,http://www.daft.ie/for-sale/detached-house-maglin-ballincollig-co-cork/4001087
