id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3924364,19171198,"Saint Brendans, School Avenue, Glasheen, Co. Cork",360000.0,N/A,,5,2,Detached,2022-08-05,SI_666,,,51.886973,-8.49985,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-saint-brendans-school-avenue-glasheen-co-cork/3924364
3919778,19135558,"5 Wyndwood, Model Farm Road, Model Farm Road, Co. Cork",320000.0,N/A,,3,1,Semi-D,2022-07-18,D2,115171852,,51.888353,-8.531771,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/semi-detached-house-5-wyndwood-model-farm-road-model-farm-road-co-cork/3919778
3919637,19133690,"102 Eagle Valley, Sarsfield Road, Wilton, Co. Cork",275000.0,89,89 m²,3,2,Townhouse,2022-07-18,C3,111426565,,51.871473,-8.510204,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/townhouse-102-eagle-valley-sarsfield-road-wilton-co-cork/3919637
3919178,19128987,"25 Reldare, Model Farm Road, Model Farm Road, Co. Cork",565000.0,154,154 m²,4,4,Semi-D,2022-08-03,A2,,,51.890769,-8.565431,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/semi-detached-house-25-reldare-model-farm-road-model-farm-road-co-cork/3919178
3917251,19109440,"26 Mount Eden, Model Farm Road, Model Farm Road, Co. Cork",385000.0,125,125 m²,3,2,Semi-D,2022-06-21,C2,,,51.885096,-8.523133,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/semi-detached-house-26-mount-eden-model-farm-road-model-farm-road-co-cork/3917251
3914154,19082310,"17 Woodhaven, Bishopstown, Bishopstown, Co. Cork",320000.0,N/A,,3,2,End of Terrace,2022-06-17,C3,113257455,,51.875792,-8.518813,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-17-woodhaven-bishopstown-bishopstown-co-cork/3914154
3911090,19060491,"22 Mile Avenue, Ard Sionnach, Shanakiel, Co. Cork",225000.0,89,89 m²,3,2,Terrace,2022-05-27,C1,114887409,158.27 kWh/m2/yr,51.899831,-8.51006,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/terraced-house-22-mile-avenue-ard-sionnach-shanakiel-co-cork/3911090
3901332,18967350,"31 Fremont Drive, Melbourn Estate, Bishopstown, Co. Cork",620000.0,179,179 m²,4,2,Detached,2022-08-10,D1,114888522,259.03 kWh/m2/yr,51.88297,-8.526627,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-31-fremont-drive-melbourn-estate-bishopstown-co-cork/3901332
3899569,18949239,"Falcal Heights Clogheen, Clogheen, Co. Cork",1000000.0,625,625 m²,6,4,Detached,2022-08-10,C3,,,51.905596,-8.538599,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-falcal-heights-clogheen-clogheen-co-cork/3899569
3819070,18808160,"62 Uam Var Avenue, Bishopstown, Co. Cork",520000.0,224,224 m²,4,2,Detached,2022-08-10,B2,,,51.879474,-8.531488,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-62-uam-var-avenue-bishopstown-co-cork/3819070
3818626,18804502,"Seven Oaks, Knockalisheen, Spur Hill, Cork, Togher, Co. Cork",400000.0,139,139 m²,4,2,Detached,2022-08-10,D2,114857121,266.55 kWh/m2/yr,51.85319,-8.515893,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-seven-oaks-knockalisheen-spur-hill-cork-togher-co-cork/3818626
3809883,18729928,"47 Uam Var Drive, Bishopstown, Bishopstown, Co. Cork",350000.0,84,84 m²,3,1,Detached,2022-08-05,D2,105929772,,51.878073,-8.535216,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-47-uam-var-drive-bishopstown-bishopstown-co-cork/3809883
3806166,18703194,"17 Wilton Lawn, Wilton, Co. Cork",385000.0,N/A,,4,2,Semi-D,2022-08-08,E1,114735574,,51.883188,-8.503002,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/semi-detached-house-17-wilton-lawn-wilton-co-cork/3806166
3795735,18609403,"22 Chestnut Grove, Bishopstown, Co. Cork",520000.0,145,145 m²,4,3,Detached,2022-08-10,D1,114552217,246.89 kWh/m2/yr,51.878765,-8.535786,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-22-chestnut-grove-bishopstown-co-cork/3795735
3795737,18609404,"Fairwinds, Waterfall Road, Bishopstown, Co. Cork",480000.0,128,128 m²,4,2,Detached,2022-08-10,F,114772809,398.87 kWh/m2/yr,51.876902,-8.524416,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-fairwinds-waterfall-road-bishopstown-co-cork/3795737
3795055,18602604,"1A The Village, Glasheen, Co. Cork",270000.0,82,82 m²,3,2,End of Terrace,2022-08-10,B2,,,51.885609,-8.498737,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-1a-the-village-glasheen-co-cork/3795055
3793628,18594216,"Pinewood, Shanakiel, Shanakiel, Co. Cork",575000.0,151,151 m²,4,2,Detached,2022-08-02,G,114647068,,51.897714,-8.505108,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-pinewood-shanakiel-shanakiel-co-cork/3793628
3782999,18504812,"25 Elmvale, Wilton, Wilton, Co. Cork",275000.0,125,125 m²,3,2,Semi-D,2022-08-10,D1,114821135,244.9 kWh/m2/yr,51.874683,-8.502168,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/semi-detached-house-25-elmvale-wilton-wilton-co-cork/3782999
3773591,18413817,"75 Uam Var Drive, Bishopstown, Bishopstown, Co. Cork",385000.0,N/A,,3,1,Detached,2022-07-18,D2,114654205,,51.878309,-8.531805,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-75-uam-var-drive-bishopstown-bishopstown-co-cork/3773591
3771480,18392503,"Glastonbury, Spur Hill, Doughcloyne, Co. Cork",675000.0,215,215 m²,5,4,Detached,2022-08-03,D1,114145428,,51.857068,-8.513091,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-glastonbury-spur-hill-doughcloyne-co-cork/3771480
3723196,17986926,"Montrose, 18 Bishopstown Avenue West, Model Farm Road, Co. Cork",395000.0,132,132 m²,4,2,Detached,2022-08-09,E2,114661291,378.15 kWh/m2/yr,51.885416,-8.516063,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-montrose-18-bishopstown-avenue-west-model-farm-road-co-cork/3723196
3721777,17966811,"Montrose, 18 Bishopstown Avenue West, Bishopstown, Co. Cork",395000.0,132,132 m²,4,2,Detached,2022-08-03,E2,114661291,378.15 kWh/m2/yr,51.885416,-8.516063,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-montrose-18-bishopstown-avenue-west-bishopstown-co-cork/3721777
3715556,17911901,"16 Eagle Valley, Sarsfield Road, Co. Cork",Price on Application,167,167 m²,6,3,Semi-D,2022-02-23,C2,101021509,193.0 kWh/m2/yr,51.869346,-8.508109,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/semi-detached-house-16-eagle-valley-sarsfield-road-co-cork/3715556
1146510,12097675,"Greenfields, Waterfall Road, Bishopstown, Co. Cork",510000.0,N/A,,3,2,Detached,2022-08-05,D2,,,51.87574587421161,-8.526077703173314,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-greenfields-waterfall-road-bishopstown-co-cork/1146510
3924364,19171198,"Saint Brendans, School Avenue, Glasheen, Co. Cork",360000.0,N/A,,5,2,Detached,2022-08-05,SI_666,,,51.886973,-8.49985,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CORK,http://www.daft.ie/for-sale/detached-house-saint-brendans-school-avenue-glasheen-co-cork/3924364
