id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3919818,19135575,"17 Great William O'Brien Street, Blackpool, Blackpool, Co. Cork",220000.0,N/A,,3,1,Townhouse,2022-06-03,E1,108731423,,51.909797,-8.474718,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/townhouse-17-great-william-obrien-street-blackpool-blackpool-co-cork/3919818
3919980,19136959,"41 Congress Road, Turners Cross, Turners Cross, Co. Cork",225000.0,70,70 m²,2,1,Terrace,2022-07-05,D1,,,51.887612,-8.471066,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-41-congress-road-turners-cross-turners-cross-co-cork/3919980
3687727,17686956,"23 Cathedral Road, Co. Cork",195000.0,N/A,,3,1,End of Terrace,2022-06-14,G,114617574,,51.903999,-8.487319,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-23-cathedral-road-co-cork/3687727
3915730,19096686,"8 Maymount, Boyce's Street, Co. Cork",219950.0,N/A,,3,2,End of Terrace,2022-08-10,D1,114844673,,51.901997,-8.486952,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-8-maymount-boyces-street-co-cork/3915730
3908175,19029179,"26 Maiville Terrace, Turners Cross, Turners Cross, Co. Cork",240000.0,60,60 m²,2,1,Terrace,2022-05-25,D1,115001026,,51.888423,-8.466491,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-26-maiville-terrace-turners-cross-turners-cross-co-cork/3908175
3908162,19029171,"15 North Mall, Co. Cork",425000.0,307,307 m²,4,1,Terrace,2022-05-25,SI_666,,,51.901092,-8.481755,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-15-north-mall-co-cork/3908162
3907950,19027773,"14 Hardwick Street, Co. Cork",295000.0,142,142 m²,6,3,Terrace,2022-05-25,F,,,51.902326,-8.470796,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-14-hardwick-street-co-cork/3907950
3904395,18997674,"2 Wolfe Tone Street, Fairhill, Co. Cork",195000.0,83,83 m²,3,2,End of Terrace,2022-08-10,D2,103186003,296.98 kWh/m2/yr,51.906383,-8.480874,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-2-wolfe-tone-street-fairhill-co-cork/3904395
3903715,18989553,"1A McCurtains Villas, College Road, Co. Cork",265000.0,61,61 m²,2,1,Semi-D,2022-06-01,E1,103366118,332.24 kWh/m2/yr,51.892957,-8.485694,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/semi-detached-house-1a-mccurtains-villas-college-road-co-cork/3903715
3903430,18986577,"17 Seminary Walk, Farranree, Farranree, Co. Cork",175000.0,67,67 m²,3,1,Terrace,2022-05-23,G,114848849,,51.913755,-8.477597,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-17-seminary-walk-farranree-farranree-co-cork/3903430
3901397,18968886,"22 Bandon Road, Co. Cork",250000.0,65,65 m²,3,2,Terrace,2022-05-20,D1,101153807,252.17 kWh/m2/yr,51.892267,-8.482881,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-22-bandon-road-co-cork/3901397
3901258,18967295,"52 Dominick Street, Co. Cork",250000.0,111,111 m²,2,3,Terrace,2022-05-20,B3,105612626,146.1 kWh/m2/yr,51.902363,-8.476046,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-52-dominick-street-co-cork/3901258
3674621,17574372,"3 Sullivan's Lane, Barrack Street, Co. Cork",160000.0,45,45 m²,2,1,Terrace,2022-08-10,G,109326009,588.21 kWh/m2/yr,51.892937,-8.47894,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-3-sullivans-lane-barrack-street-co-cork/3674621
3890368,18863819,"179 Connolly Road, Ballyphehane, Ballyphehane, Co. Cork",280000.0,84,84 m²,3,1,Terrace,2022-06-21,F,114872930,449.47 kWh/m2/yr,51.88093,-8.475194,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-179-connolly-road-ballyphehane-ballyphehane-co-cork/3890368
3898267,18931105,"7 Military Road , St. Lukes, Co. Cork",295000.0,140,140 m²,5,1,End of Terrace,2022-08-10,SI_666,,,51.906093,-8.461712,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-7-military-road-st-lukes-co-cork/3898267
3895794,18909762,"136 Pearse Road, Ballyphehane, Ballyphehane, Co. Cork",300000.0,75,75 m²,3,2,Terrace,2022-05-17,C2,101540052,177.12 kWh/m2/yr,51.882684,-8.4797,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-136-pearse-road-ballyphehane-ballyphehane-co-cork/3895794
3894257,18895905,"53 Joe Murphy Road, Ballyphehane, Ballyphehane, Co. Cork",279000.0,N/A,,3,2,Terrace,2022-06-29,F,103676961,,51.884519,-8.481473,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-53-joe-murphy-road-ballyphehane-ballyphehane-co-cork/3894257
3822274,18838187,"11 Parkowen, Quaker Road, Co. Cork",220000.0,59,59 m²,3,1,Terrace,2022-08-10,D2,,,51.892363,-8.471377,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-11-parkowen-quaker-road-co-cork/3822274
3820699,18821619,"9 York Terrace, Summerhill North, St. Lukes, Co. Cork",695000.0,151,151 m²,6,,Detached,2022-08-10,C3,111562468,212.57 kWh/m2/yr,51.90222,-8.46423,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/detached-house-9-york-terrace-summerhill-north-st-lukes-co-cork/3820699
3816294,18783915,"No. 3 Eastview Terrace, Quaker Rd, Co. Cork",295000.0,79,79 m²,3,2,Terrace,2022-05-26,C1,114864887,,51.891973,-8.469968,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-no-3-eastview-terrace-quaker-rd-co-cork/3816294
3552768,16245069,"16 Parklyn, Brockelsby Street, Blackpool, Co. Cork",225000.0,62,62 m²,2,2,Semi-D,2022-08-10,C2,,,51.911343,-8.474723,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/semi-detached-house-16-parklyn-brockelsby-street-blackpool-co-cork/3552768
3813204,18755550,"Saint Gerards, 106 Farranferris Avenue, Farranree, Co. Cork",239000.0,72,72 m²,3,3,End of Terrace,2022-06-21,D2,102057262,291.96 kWh/m2/yr,51.916308,-8.478169,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-saint-gerards-106-farranferris-avenue-farranree-co-cork/3813204
3811638,18742272,"4 City View Terrace, Winters Hill, Sunday's Well, Co. Cork",165000.0,N/A,,2,1,Terrace,2022-05-25,C1,109817015,167.48 kWh/m2/yr,51.901469,-8.484644,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-4-city-view-terrace-winters-hill-sundays-well-co-cork/3811638
3807717,18719167,"67 Thomas Davis Street, Blackpool, Blackpool, Co. Cork",165000.0,120,120 m²,5,2,Terrace,2022-08-02,G,,,51.912618,-8.472706,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-67-thomas-davis-street-blackpool-blackpool-co-cork/3807717
3807163,18713707,"109 Industry Street, Co. Cork",230000.0,7,7 m²,3,1,Terrace,2022-05-20,F,,,51.893829,-8.475587,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-109-industry-street-co-cork/3807163
3803723,18678109,"THE RENOVATION CENTRE, 82C Ballyhooly Road, St. Lukes, Co. Cork",250000.0,N/A,,2,2,Terrace,2022-08-10,C2,,,51.90489,-8.457682,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-the-renovation-centre-82c-ballyhooly-road-st-lukes-co-cork/3803723
3800712,18649427,"21 Bandon Road, Co. Cork",250000.0,73,73 m²,3,1,Terrace,2022-05-12,C1,101153823,158.54 kWh/m2/yr,51.892282,-8.482823,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-21-bandon-road-co-cork/3800712
3794988,18602526,"45 Spring Lane, Blackpool, Blackpool, Co. Cork",80000.0,53,53 m²,2,1,Terrace,2022-08-10,SI_666,,,51.913707,-8.470333,Buy,CORK_INSTITUTE_OF_TECHNOLOGY_CRAWFORD_COLLEGE_OF_ART_AND_DESIGN_CORK,http://www.daft.ie/for-sale/terraced-house-45-spring-lane-blackpool-blackpool-co-cork/3794988
