id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3995267,112885202,"Woodlands, Letterkenny, Co. Donegal",Price on Application,215,215 m²,4,3,Detached,2022-08-03,A2,,,54.982458,-7.697717,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-woodlands-letterkenny-co-donegal/3995267
3995029,112882213,"Boyoughter, Lettermacaward, Co. Donegal",234950.0,107,107 m²,3,1,Detached,2022-08-10,E1,,,54.8722011,-8.3195088,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-boyoughter-lettermacaward-co-donegal/3995029
3994391,112876283,"49 Aughrim Heights, Ballyliffin, Co. Donegal","AMV: €160,000",120,120 m²,3,3,Detached,2022-08-10,C3,,,55.274666,-7.393631,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-49-aughrim-heights-ballyliffin-co-donegal/3994391
3994389,112876276,"27 Dromore Park, Killygordon, Co. Donegal","AMV: €75,000",100,100 m²,3,3,Detached,2022-08-10,C2,,,54.789836,-7.690075,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-27-dromore-park-killygordon-co-donegal/3994389
3994111,112871639,"17 Blue Cedars, Ballybofey, Co. Donegal",255000.0,135,135 m²,4,3,Detached,2022-08-10,C3,105919559,,54.800221,-7.800387,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-17-blue-cedars-ballybofey-co-donegal/3994111
3993557,112863991,"Gortmacoll, Milford, Co. Donegal",249000.0,N/A,,3,2,Detached,2022-08-04,SI_666,,,55.0859,-7.712311,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-gortmacoll-milford-co-donegal/3993557
3993545,112863984,"21 Sessiagh Park, Castlefin, Co. Donegal",188000.0,117,117 m²,4,2,Detached,2022-08-04,C3,115228538,201.88 kWh/m2/yr,54.806482,-7.592525,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-21-sessiagh-park-castlefin-co-donegal/3993545
3993103,19758844,"Ards, Creeslough, Co. Donegal",595000.0,N/A,,6,3,Detached,2022-08-04,B3,109232488,146.35 kWh/m2/yr,55.151214,-7.880492,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-ards-creeslough-co-donegal/3993103
3992334,19752636,"Mullinasole, Donegal Town, Co. Donegal",380000.0,N/A,,3,3,Detached,2022-07-22,C1,,,54.605837,-8.131508,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-mullinasole-donegal-town-co-donegal/3992334
3992032,19748882,"Creevery Upper, Rathmullan, Co. Donegal",470000.0,240,240 m²,4,4,Detached,2022-08-03,C1,113817019,,55.096953,-7.561369,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-creevery-upper-rathmullan-co-donegal/3992032
3991826,19745601,"Masinass, Creeslough, Co. Donegal",175000.0,62,62 m²,3,1,Detached,2022-08-09,E1,115383226,334.52 kWh/m2/yr,55.130408,-7.913787,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-masinass-creeslough-co-donegal/3991826
3991648,19743241,"Bridge House, Cappry, Ballybofey, Co. Donegal",369950.0,350,350 m²,7,7,Detached,2022-08-08,C1,,,54.802888,-7.807608,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-bridge-house-cappry-ballybofey-co-donegal/3991648
3989677,19720326,"Derryconnor, Gortahork, Co. Donegal",55000.0,78,78 m²,2,1,Detached,2022-08-06,SI_666,,,55.122162,-8.20401,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-derryconnor-gortahork-co-donegal/3989677
3989279,19716440,"Brinlack Lower, Brinlack, Co. Donegal",219950.0,125,125 m²,3,1,Detached,2022-08-10,C3,,,55.1229947,-8.286228,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-brinlack-lower-brinlack-co-donegal/3989279
3989031,19713769,"Cashelmore Ards, Creeslough, Co. Donegal",300000.0,158,158 m²,4,3,Detached,2022-08-08,C3,115357568,201.82 kWh/m2/yr,55.13955,-7.913528,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-cashelmore-ards-creeslough-co-donegal/3989031
3988905,19712515,"Killylastin, Letterkenny, Co. Donegal",295000.0,140,140 m²,3,1,Detached,2022-08-09,C2,104418926,182.0 kWh/m2/yr,54.970381,-7.758441,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-killylastin-letterkenny-co-donegal/3988905
3988562,19708396,"Traighenna Bay Glamping Units, Lettermacaward, Co. Donegal",349950.0,85,85 m²,3,3,Detached,2022-08-10,,,,54.8712006,-8.3261079,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-traighenna-bay-glamping-units-lettermacaward-co-donegal/3988562
3988406,19705273,"18 Glebe, Letterkenny, Co. Donegal",390000.0,N/A,,5,3,Detached,2022-08-03,C1,,,54.959487,-7.68499,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-18-glebe-letterkenny-co-donegal/3988406
3987874,19700284,"Cappry Lane, Ballybofey, Co. Donegal",298000.0,170,170 m²,4,2,Detached,2022-08-04,C3,106746530,208.41 kWh/m2/yr,54.797176,-7.825599,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-cappry-lane-ballybofey-co-donegal/3987874
3987039,19692329,"MOORLAND GUESTHOUSE, Moorland Guesthouse, Laghy, Co. Donegal",495000.0,549,549 m²,11,10,Detached,2022-08-08,C3,,,54.599529,-8.005647,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-moorland-guesthouse-moorland-guesthouse-laghy-co-donegal/3987039
3986018,19684277,"Curris, Kilcar, Co. Donegal",265000.0,145,145 m²,4,4,Detached,2022-07-18,E1,115352684,316.32 kWh/m2/yr,54.635634,-8.624473,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-curris-kilcar-co-donegal/3986018
3986201,19685884,"Drimroe Holiday Homes, Glencolmcille, Co. Donegal",125000.0,72,72 m²,3,1,Detached,2022-07-20,G,115358988,616.49 kWh/m2/yr,54.710898,-8.707295,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-drimroe-holiday-homes-glencolmcille-co-donegal/3986201
3985599,19681919,"Saint Michael's, Factory Road, Derrybeg, Co. Donegal",249000.0,183,183 m²,5,4,Detached,2022-08-03,C1,107537938,,55.068805,-8.291945,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-saint-michaels-factory-road-derrybeg-co-donegal/3985599
3985154,19675599,"Rooskey, Newtown Cunningham, Co. Donegal",325000.0,246,246 m²,5,2,Detached,2022-08-09,B1,115175622,92.58 kWh/m2/yr,54.992376,-7.47923,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-rooskey-newtown-cunningham-co-donegal/3985154
3984676,19671361,"Carrick, Carrigart, Co. Donegal",465000.0,177,177 m²,4,2,Detached,2022-08-03,G,115358392,,55.16619,-7.748711,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-carrick-carrigart-co-donegal/3984676
3983815,19661135,"Belcruit, Meenbanad, Burtonport, Co. Donegal",239950.0,176,176 m²,4,3,Detached,2022-08-10,C2,,,54.9959264,-8.3882651,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-belcruit-meenbanad-burtonport-co-donegal/3983815
3983045,19650957,"Birchill, Donegal Town, Co. Donegal",425000.0,N/A,,5,5,Detached,2022-07-15,B3,,,54.675153,-8.033459,Buy,DONEGAL,http://www.daft.ie/for-sale/detached-house-birchill-donegal-town-co-donegal/3983045
