id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3960367,19475351,"Killeshin, 20 Endsleigh Estate, Douglas, Co. Cork",575000.0,151,151 m²,4,2,Semi-D,2022-08-10,E1,108390907,312.25 kWh/m2/yr,51.88319,-8.441802,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-killeshin-20-endsleigh-estate-douglas-co-cork/3960367
3960121,19472761,"Killeshin, 20 Endsleigh Estate, Douglas, Co. Cork",575000.0,151,151 m²,4,2,Semi-D,2022-06-30,E1,108390907,,51.88319,-8.441802,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-killeshin-20-endsleigh-estate-douglas-co-cork/3960121
3956599,19439926,"4 Hollyville, Grange, Douglas, Co. Cork",265000.0,80,80 m²,3,1,End of Terrace,2022-06-28,C2,114895287,193.13 kWh/m2/yr,51.866888,-8.450346,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-4-hollyville-grange-douglas-co-cork/3956599
3949051,19411312,"Cruac Paoraic, 55 Beechwood Park, Ballinlough, Co. Cork",415000.0,N/A,,3,2,Semi-D,2022-06-27,F,,,51.887006,-8.445665,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-cruac-paoraic-55-beechwood-park-ballinlough-co-cork/3949051
3945977,19381107,"12 Seven Oaks, Frankfield, Frankfield, Co. Cork",375000.0,132,132 m²,3,3,Semi-D,2022-08-04,D2,114844418,274.75 kWh/m2/yr,51.868462,-8.464635,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-12-seven-oaks-frankfield-frankfield-co-cork/3945977
3765456,18353584,"26 Melbourn Close, Donnybrook, Co. Cork",420000.0,137,137 m²,5,3,Semi-D,2022-08-10,D1,,,51.863572,-8.435069,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-26-melbourn-close-donnybrook-co-cork/3765456
3944473,19368978,"104 Lissadell, Maryborough Hill, Douglas, Co. Cork",295000.0,103,103 m²,3,2,Detached,2022-07-12,D2,114762248,289.5 kWh/m2/yr,51.869469,-8.415908,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/detached-house-104-lissadell-maryborough-hill-douglas-co-cork/3944473
3940966,19333270,"Celtic, 13 Ardfallen Estate, Douglas, Co. Cork",550000.0,153,153 m²,3,3,Semi-D,2022-08-08,D1,115025942,241.49 kWh/m2/yr,51.885193,-8.445752,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-celtic-13-ardfallen-estate-douglas-co-cork/3940966
3938948,19313855,"29 Greenhills Estate, South Douglas Road, Douglas, Co. Cork",325000.0,100,100 m²,3,2,Semi-D,2022-06-22,E2,115051815,,51.88157,-8.455925,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/semi-detached-house-29-greenhills-estate-south-douglas-road-douglas-co-cork/3938948
3933686,19261863,"Loughmahon View, The Close, Rochestown, Co. Cork",520000.0,108,108 m²,2,2,Detached,2022-08-09,D1,104057252,237.82 kWh/m2/yr,51.874916,-8.406185,Buy,DOUGLAS_CORK,http://www.daft.ie/for-sale/detached-house-loughmahon-view-the-close-rochestown-co-cork/3933686
