id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3969476,19553913,"69 Castle Glen, Donacarney, Co. Meath",275000.0,87,87 m²,3,3,End of Terrace,2022-08-09,C1,100684851,151.95 kWh/m2/yr,53.710749,-6.27438,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/end-of-terrace-house-69-castle-glen-donacarney-co-meath/3969476
3967781,19539471,"96 Ascal A Haon, Yellowbatter, Drogheda, Co. Louth",200000.0,92,92 m²,3,1,Terrace,2022-08-02,F,115184897,415.97 kWh/m2/yr,53.7239,-6.345583,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/terraced-house-96-ascal-a-haon-yellowbatter-drogheda-co-louth/3967781
3896398,18915232,"36 Lagavooren Manor, Beamore Road, Drogheda, Co. Meath",240000.0,N/A,,3,3,Semi-D,2022-07-19,C2,101401388,177.32 kWh/m2/yr,53.703031,-6.34982,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-36-lagavooren-manor-beamore-road-drogheda-co-meath/3896398
3965412,19518642,"15 Duleek Street, Drogheda, Co. Louth",185000.0,60,60 m²,2,1,Terrace,2022-08-02,C1,115197741,163.6 kWh/m2/yr,53.710991,-6.348767,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/terraced-house-15-duleek-street-drogheda-co-louth/3965412
3965304,19517237,"3 Saint Mary's Villas, Drogheda, Co. Louth",410000.0,183,183 m²,5,2,Detached,2022-08-08,D2,115052342,299.15 kWh/m2/yr,53.711989,-6.338563,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-3-saint-marys-villas-drogheda-co-louth/3965304
3964484,19511269,"14 Boyne Lodge, Slane Road, Drogheda, Co. Louth",350000.0,129,129 m²,4,2,Detached,2022-08-02,C2,104312665,184.1 kWh/m2/yr,53.720156,-6.37957,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-14-boyne-lodge-slane-road-drogheda-co-louth/3964484
3961299,19483683,"Downstown, Duleek, Co. Meath",335000.0,N/A,,2,2,Semi-D,2022-07-01,G,,,53.656655,-6.434691,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-downstown-duleek-co-meath/3961299
3957524,19447810,"20 Weirhope, Drogheda, Co. Louth",235000.0,110,110 m²,3,2,Terrace,2022-08-10,D2,,,53.714615,-6.333823,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/terraced-house-20-weirhope-drogheda-co-louth/3957524
3956957,19443443,"3 Auburn Avenue, Colp West, Drogheda, Co. Meath",595000.0,206,206 m²,4,4,Detached,2022-08-10,A3,107590812,53.25 kWh/m2/yr,53.703957,-6.302771,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-3-auburn-avenue-colp-west-drogheda-co-meath/3956957
3940575,19330398,"13 Park Ridge, Grangerath, Drogheda, Co. Meath",290000.0,114,114 m²,3,3,Townhouse,2022-06-28,C3,,,53.705924,-6.300609,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/townhouse-13-park-ridge-grangerath-drogheda-co-meath/3940575
3947542,19399520,"7 Parkwood, Roschoill, Drogheda, Co. Louth",395000.0,136,136 m²,4,2,Detached,2022-06-24,D1,115157422,,53.709213,-6.315753,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-7-parkwood-roschoill-drogheda-co-louth/3947542
3945345,19375354,"23 Lagavooren Manor, Beamore Road, Drogheda, Co. Meath",320000.0,119,119 m²,4,3,Semi-D,2022-06-23,C3,102426525,219.62 kWh/m2/yr,53.702486,-6.350391,Buy,DROGHEDA_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-23-lagavooren-manor-beamore-road-drogheda-co-meath/3945345
