id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3945345,19375354,"23 Lagavooren Manor, Beamore Road, Drogheda, Co. Meath",320000.0,119,119 m²,4,3,Semi-D,2022-06-23,C3,102426525,219.62 kWh/m2/yr,53.702486,-6.350391,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-23-lagavooren-manor-beamore-road-drogheda-co-meath/3945345
3945217,19373515,"Former Creche, Donacarney, Co. Meath",495000.0,170,170 m²,2,2,Detached,2022-08-02,C3,,,53.710343,-6.2816,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/detached-house-former-creche-donacarney-co-meath/3945217
3943160,19354893,"7 Five Oaks, Dublin Road, Drogheda, Co. Louth",435000.0,152,152 m²,4,3,Detached,2022-08-08,D1,100855006,246.27 kWh/m2/yr,53.704679,-6.323374,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/detached-house-7-five-oaks-dublin-road-drogheda-co-louth/3943160
3937013,19297180,"19 Knights Wood, Matthew's Lane, Drogheda, Co. Meath",330000.0,N/A,,3,3,Semi-D,2022-07-11,B2,101935294,109.42 kWh/m2/yr,53.699482,-6.366686,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-19-knights-wood-matthews-lane-drogheda-co-meath/3937013
3934346,19268567,"6 The Boulevard, Grange Rath, Drogheda, Co. Meath",525000.0,182,182 m²,4,3,Detached,2022-07-13,C1,114834914,164.3 kWh/m2/yr,53.704475,-6.311688,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/detached-house-6-the-boulevard-grange-rath-drogheda-co-meath/3934346
3932858,19252141,"41 Upper Magdalene Street, Drogheda, Co. Louth",175000.0,80,80 m²,2,1,Terrace,2022-08-10,E1,,,53.718029,-6.350443,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/terraced-house-41-upper-magdalene-street-drogheda-co-louth/3932858
3927600,19203191,"44 Brookville, Drogheda, Co. Louth",260000.0,88,88 m²,3,1,Semi-D,2022-08-10,G,115035032,478.09 kWh/m2/yr,53.725371,-6.350511,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-44-brookville-drogheda-co-louth/3927600
3919948,19136938,"17 Corporation Cottages, Duleek Street, Drogheda, Co. Louth",175000.0,N/A,,2,1,End of Terrace,2022-07-11,E1,102529997,,53.709286,-6.349534,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/end-of-terrace-house-17-corporation-cottages-duleek-street-drogheda-co-louth/3919948
3918933,19125837,"50 Boyne Hall, Slane Road, Drogheda, Co. Louth",315000.0,120,120 m²,3,3,Semi-D,2022-08-02,C1,112643820,172.19 kWh/m2/yr,53.719737,-6.381483,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-50-boyne-hall-slane-road-drogheda-co-louth/3918933
3905960,19012299,"6 Ashleigh Heights, North Road, Drogheda, Co. Louth",365000.0,N/A,,5,2,Semi-D,2022-07-11,C3,,,53.72266,-6.363405,Buy,DROGHEDA_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-6-ashleigh-heights-north-road-drogheda-co-louth/3905960
