id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3946698,19391382,"20 St Brigids Road Lower, Drumcondra, Dublin 9",650000.0,125,125 m²,3,2,Terrace,2022-08-10,D1,115171050,229.21 kWh/m2/yr,53.363406,-6.262317,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-st-brigids-road-lower-drumcondra-dublin-9/3946698
3946384,19386027,"14 St. Ita's Road, Botanic Avenue, Glasnevin, Dublin 9",535000.0,N/A,,3,1,Terrace,2022-08-10,G,115165458,471.24 kWh/m2/yr,53.371691,-6.26574,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-14-st-itas-road-botanic-avenue-glasnevin-dublin-9/3946384
3945690,19379027,"5 Hardiman Road, Drumcondra, Dublin 9",425000.0,75,75 m²,3,1,Terrace,2022-08-10,F,115176331,420.14 kWh/m2/yr,53.373624,-6.257954,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-hardiman-road-drumcondra-dublin-9/3945690
3942801,19350533,"3 Grace Park Grove, Grace Park Wood, Drumcondra, Dublin 3",695000.0,136,136 m²,4,3,End of Terrace,2022-07-13,A3,109657866,55.28 kWh/m2/yr,53.369296,-6.245832,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-3-grace-park-grove-grace-park-wood-drumcondra-dublin-3/3942801
3941188,19335304,"146 Grace Park Meadows, Drumcondra, Drumcondra, Dublin 3",430000.0,101,101 m²,3,3,Semi-D,2022-08-10,D1,103947321,243.25 kWh/m2/yr,53.377083,-6.226744,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-146-grace-park-meadows-drumcondra-drumcondra-dublin-3/3941188
3938878,19312237,"7 Corn Mill Row, Distillery Road, Drumcondra, Dublin 3",545000.0,110,110 m²,3,3,Terrace,2022-08-10,D1,106647076,258.27 kWh/m2/yr,53.363045,-6.249639,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-7-corn-mill-row-distillery-road-drumcondra-dublin-3/3938878
3938223,19308206,"2 Achill Road, Drumcondra, Dublin 9",820000.0,130,130 m²,3,1,Semi-D,2022-08-10,F,112396239,407.15 kWh/m2/yr,53.374309,-6.254186,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-2-achill-road-drumcondra-dublin-9/3938223
3937091,19297215,"19 Daneswell Road, Glasnevin, Glasnevin, Dublin 11",495000.0,108,108 m²,3,1,Semi-D,2022-08-09,E2,,,53.370739,-6.266879,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-19-daneswell-road-glasnevin-glasnevin-dublin-11/3937091
3935918,19282719,"Riversdale House, 139 Drumcondra Road Lower, Drumcondra, Dublin 9",795000.0,164,164 m²,4,2,Semi-D,2022-08-10,G,,,53.367149,-6.25497,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-riversdale-house-139-drumcondra-road-lower-drumcondra-dublin-9/3935918
3935461,19280108,"1 Griffith Downs, Drumcondra, Dublin 9",845000.0,186,186 m²,5,3,Detached,2022-08-10,D1,,,53.376626,-6.248585,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/detached-house-1-griffith-downs-drumcondra-dublin-9/3935461
3933604,19259898,"19 Waverley Avenue, Fairview, Fairview, Dublin 3",650000.0,112,112 m²,3,1,Terrace,2022-08-09,D1,110752573,247.2 kWh/m2/yr,53.365727,-6.24167,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-19-waverley-avenue-fairview-fairview-dublin-3/3933604
3771677,18393927,"44 Botanic Road, Glasnevin, Glasnevin, Dublin 11",500000.0,102,102 m²,2,1,Terrace,2022-08-09,D2,101102416,292.76 kWh/m2/yr,53.367414,-6.270851,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-botanic-road-glasnevin-glasnevin-dublin-11/3771677
3928462,19211901,"432 Griffith Avenue, Drumcondra, Dublin 9",650000.0,102,102 m²,3,1,Semi-D,2022-08-10,F,111863296,418.01 kWh/m2/yr,53.37822,-6.265148,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-432-griffith-avenue-drumcondra-dublin-9/3928462
3928111,19207984,"11 Millmount Avenue, Drumcondra, Dublin 9",650000.0,126,126 m²,4,3,Terrace,2022-08-10,F,100840362,385.25 kWh/m2/yr,53.368988,-6.256717,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-millmount-avenue-drumcondra-dublin-9/3928111
3927678,19204370,"1 Innisfallen Parade, North Circular Road, Phibsborough, Dublin 7",345000.0,77,77 m²,3,,End of Terrace,2022-08-08,G,115040883,714.7 kWh/m2/yr,53.360886,-6.261017,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-innisfallen-parade-north-circular-road-phibsborough-dublin-7/3927678
3927083,19198927,"58 Tolka Road, Ballybough, Dublin 3",445000.0,N/A,,3,2,End of Terrace,2022-06-21,SI_666,,,53.362782,-6.245099,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-58-tolka-road-ballybough-dublin-3/3927083
3925504,19181355,"16 Windele Road, Drumcondra, Dublin 9",395000.0,75,75 m²,2,2,End of Terrace,2022-08-10,G,,,53.37356,-6.259256,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-16-windele-road-drumcondra-dublin-9/3925504
3921291,19149015,"23 Prospect Avenue, D09F210, Glasnevin, Dublin 9",325000.0,75,75 m²,2,2,End of Terrace,2022-08-10,G,114506900,517.83 kWh/m2/yr,53.366137,-6.271555,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-23-prospect-avenue-d09f210-glasnevin-dublin-9/3921291
3920581,19141880,"121 Clonliffe Avenue, Dublin 3",425000.0,101,101 m²,4,1,End of Terrace,2022-08-02,E1,108501156,320.83 kWh/m2/yr,53.360918,-6.246955,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-121-clonliffe-avenue-dublin-3/3920581
3917440,19110736,"85 Clonliffe Road, Drumcondra, Dublin 3",525000.0,114,114 m²,3,3,Terrace,2022-08-10,E1,,,53.361751,-6.247203,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-85-clonliffe-road-drumcondra-dublin-3/3917440
3722350,17974571,"Florence Villas, Florence Villas, 26 Botanic Avenue., D09VK02, Dublin 7",599000.0,135,135 m²,3,2,Terrace,2022-08-08,F,109135921,433.21 kWh/m2/yr,53.367734,-6.257603,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-florence-villas-florence-villas-26-botanic-avenue-d09vk02-dublin-7/3722350
3910002,19047950,"21 Richmond Road, Drumcondra, Drumcondra, Dublin 3",475000.0,113,113 m²,3,2,Terrace,2022-08-10,D2,,,53.368596,-6.253354,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-21-richmond-road-drumcondra-drumcondra-dublin-3/3910002
3910959,19060366,"78 Tolka Road, Drumcondra, Dublin 3",395000.0,89,89 m²,3,1,End of Terrace,2022-08-10,F,114870587,406.51 kWh/m2/yr,53.36283,-6.245859,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-78-tolka-road-drumcondra-dublin-3/3910959
3908430,19030701,"13 Ardilaun Square, Ballybough, Dublin 3",275000.0,60,60 m²,3,1,Terrace,2022-08-09,F,,,53.359411,-6.249119,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-13-ardilaun-square-ballybough-dublin-3/3908430
3904368,18997660,"104 Tolka Road, Drumcondra, Dublin 3",298000.0,66,66 m²,2,1,End of Terrace,2022-08-10,F,,,53.363223,-6.245507,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-104-tolka-road-drumcondra-dublin-3/3904368
3894580,18898925,"16 Richmond Estate, Fairview, Fairview, Dublin 3",495000.0,116,116 m²,3,2,Semi-D,2022-08-10,D2,114867344,60.84 kWh/m2/yr,53.364486,-6.241917,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-16-richmond-estate-fairview-fairview-dublin-3/3894580
3890963,18869784,"84 Ballybough Road, Ballybough, Dublin 3",420000.0,118,118 m²,4,3,Terrace,2022-07-19,D2,104614185,272.48 kWh/m2/yr,53.358859,-6.246075,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-84-ballybough-road-ballybough-dublin-3/3890963
3890396,18863830,"3 Saint James's Avenue, Clonliffe Road, Drumcondra, Dublin 3",295000.0,90,90 m²,4,2,Detached,2022-08-08,F,,,53.361542,-6.247744,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/detached-house-3-saint-jamess-avenue-clonliffe-road-drumcondra-dublin-3/3890396
3822935,18844668,"12 The Court, High Park, Drumcondra, Dublin 3",375000.0,70,70 m²,2,1,End of Terrace,2022-08-10,D1,,,53.380598,-6.240076,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-12-the-court-high-park-drumcondra-dublin-3/3822935
3744599,18181447,"3 St Patricks Terrace, Russell Street, Dublin 1",550000.0,90,90 m²,3,3,Terrace,2022-08-10,B3,114707920,137.48 kWh/m2/yr,53.35922,-6.253909,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-st-patricks-terrace-russell-street-dublin-1/3744599
3819831,18814925,"46 Tolka Road, Drumcondra, Dublin 3",330000.0,N/A,,3,1,Terrace,2022-08-09,E1,,,53.36313,-6.245174,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-46-tolka-road-drumcondra-dublin-3/3819831
3818864,18806708,"26 Ballymun Road, Glasnevin, Glasnevin, Dublin 11",695000.0,N/A,,6,3,Semi-D,2022-06-21,D2,,,53.377758,-6.268084,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26-ballymun-road-glasnevin-glasnevin-dublin-11/3818864
3814058,18764451,"Flat 1, 21 Belvedere Road, Dublin 1",815000.0,172,172 m²,6,6,Terrace,2022-08-05,F,,,53.359737,-6.258956,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-flat-1-21-belvedere-road-dublin-1/3814058
3811365,18739324,"22 Finglas Road, Glasnevin, Dublin 11",625000.0,107,107 m²,2,2,End of Terrace,2022-08-10,D2,114749955,298.4 kWh/m2/yr,53.367298,-6.272166,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-22-finglas-road-glasnevin-dublin-11/3811365
3803575,18676592,"23 Glengarriff Parade, Phibsborough, Dublin 7",650000.0,103,103 m²,3,2,Terrace,2022-08-10,C3,,44.84 kWh/m2/yr,53.361014,-6.265597,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-23-glengarriff-parade-phibsborough-dublin-7/3803575
3799354,18640655,"28 Joyce Road, Drumcondra, Dublin 9",375000.0,75,75 m²,2,1,Semi-D,2022-08-10,F,114766868,420.28 kWh/m2/yr,53.373115,-6.259269,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-28-joyce-road-drumcondra-dublin-9/3799354
3793658,18594230,"291 Richmond Road, Drumcondra, Drumcondra, Dublin 3",195000.0,51,51 m²,1,1,End of Terrace,2022-06-21,SI_666,,,53.362546,-6.242037,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-291-richmond-road-drumcondra-drumcondra-dublin-3/3793658
3791581,18579079,"50 Richmond Road, Drumcondra, Drumcondra, Dublin 3",450000.0,90,90 m²,3,1,Terrace,2022-08-03,C3,,,53.368362,-6.253179,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-50-richmond-road-drumcondra-drumcondra-dublin-3/3791581
3785551,18528050,"19 St. Brigids Road Upper (4 Self Contained Units), Drumcondra, Dublin 9",495000.0,N/A,,4,4,Terrace,2022-06-21,F,,,53.364263,-6.261338,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-19-st-brigids-road-upper-4-self-contained-units-drumcondra-dublin-9/3785551
3785468,18526185,"48 Innisfallen Parade (4 Self Contained Units), Phibsborough, Dublin 7",395000.0,115,115 m²,4,4,End of Terrace,2022-06-21,F,,,53.361354,-6.265391,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-48-innisfallen-parade-4-self-contained-units-phibsborough-dublin-7/3785468
3763515,18338757,"289 Charlemont, Griffith Avenue, Drumcondra, Dublin 3",595000.0,106,106 m²,3,2,Semi-D,2022-06-21,C1,,,53.376647,-6.230501,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-289-charlemont-griffith-avenue-drumcondra-dublin-3/3763515
3763024,18335890,"5 Beresford Lawn, Drumcondra, Dublin 9",990000.0,140,140 m²,4,3,Detached,2022-08-10,C3,114282635,208.43 kWh/m2/yr,53.373184,-6.246909,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/detached-house-5-beresford-lawn-drumcondra-dublin-9/3763024
3756083,18281136,"18 Foyle Road, Fairview, Fairview, Dublin 3",625000.0,93,93 m²,3,1,Terrace,2022-08-09,D1,,,53.367303,-6.241079,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-18-foyle-road-fairview-fairview-dublin-3/3756083
3750674,18240071,"31 Drumcondra Road Upper, Drumcondra, Dublin 3",1150000.0,203,203 m²,4,4,Semi-D,2022-08-08,D2,,,53.372908,-6.252785,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-drumcondra-road-upper-drumcondra-dublin-3/3750674
3746787,18203337,"130 Homefarm Road, Drumcondra, Dublin 9",725000.0,113,113 m²,4,2,Semi-D,2022-08-10,C1,114698442,151.6 kWh/m2/yr,53.375165,-6.261479,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-130-homefarm-road-drumcondra-dublin-9/3746787
3745177,18189656,"5 Saint Brendan's Road, Drumcondra, Drumcondra, Dublin 3",295000.0,52,52 m²,2,1,Terrace,2022-08-10,G,114716756,506.1 kWh/m2/yr,53.364222,-6.263697,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-saint-brendans-road-drumcondra-drumcondra-dublin-3/3745177
3743804,18174069,"50 Seven Oaks, Drumcondra, Dublin 9",595000.0,103,103 m²,3,2,End of Terrace,2022-08-10,C1,105402408,159.08 kWh/m2/yr,53.377461,-6.2479,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-50-seven-oaks-drumcondra-dublin-9/3743804
3742992,18166017,"31A Drumcondra Road Upper, Drumcondra, Dublin 3",1300000.0,197,197 m²,6,5,Semi-D,2022-08-08,D2,,,53.37286,-6.252859,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31a-drumcondra-road-upper-drumcondra-dublin-3/3742992
3738531,18130319,"36 Elizabeth Street, Drumcondra, Drumcondra, Dublin 3",324950.0,N/A,,2,1,Terrace,2022-06-21,SI_666,,,53.362466,-6.255529,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-36-elizabeth-street-drumcondra-drumcondra-dublin-3/3738531
3714490,17902495,"17 St James Avenue, Drumcondra, Dublin 3",390000.0,74,74 m²,2,1,Terrace,2022-08-10,F,100403369,410.44 kWh/m2/yr,53.361211,-6.247878,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-17-st-james-avenue-drumcondra-dublin-3/3714490
3946698,19391382,"20 St Brigids Road Lower, Drumcondra, Dublin 9",650000.0,125,125 m²,3,2,Terrace,2022-08-10,D1,115171050,229.21 kWh/m2/yr,53.363406,-6.262317,Buy,DRUMCONDRA_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-st-brigids-road-lower-drumcondra-dublin-9/3946698
