id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3251671,15011796,"Penthouse Apartment, Holyrood Castle, Holyrood Park, Sandymount, Dublin 4",1350000.0,247,247 m²,2,3,Apartment,2022-08-10,E1,113863393,326.51 kWh/m2/yr,53.328997,-6.22103,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-penthouse-apartment-holyrood-castle-holyrood-park-sandymount-dublin-4/3251671
3794737,18600411,"Apartment 4, The Square Beggars Bush, Dublin 4",525000.0,64,64 m²,2,1,Apartment,2022-08-09,E2,108496852,,53.336368,-6.235944,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-4-the-square-beggars-bush-dublin-4/3794737
3782462,18494888,"73/74 Ardoyne House, Donnybrook, Dublin 4",1400000.0,206,206 m²,4,3,Apartment,2022-08-10,C3,101573731,217.4 kWh/m2/yr,53.327531,-6.238508,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-73-74-ardoyne-house-donnybrook-dublin-4/3782462
3774244,18420948,"Apartment 12, Eglinton Court, Donnybrook, Dublin 4",425000.0,74,74 m²,2,1,Apartment,2022-08-10,E1,,,53.317771,-6.237088,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-12-eglinton-court-donnybrook-dublin-4/3774244
3735692,18098170,"Apartment 64, Merrion Village, Dublin 4",395000.0,50,50 m²,2,1,Apartment,2022-08-10,D1,,,53.318976,-6.210517,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-64-merrion-village-dublin-4/3735692
3668740,17515444,"Apartment 27, The Locks, Dublin 4",645000.0,82,82 m²,3,2,Apartment,2022-08-09,D1,,,53.342482,-6.237034,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-27-the-locks-dublin-4/3668740
3262760,15077784,"16 Arranmore, 13_17 Pembroke Road, Ballsbridge, Dublin 4",250000.0,39,39 m²,1,1,Apartment,2022-08-09,D2,113820708,280.58 kWh/m2/yr,53.332414,-6.242581,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-16-arranmore-13-17-pembroke-road-ballsbridge-dublin-4/3262760
3251671,15011796,"Penthouse Apartment, Holyrood Castle, Holyrood Park, Sandymount, Dublin 4",1350000.0,247,247 m²,2,3,Apartment,2022-08-10,E1,113863393,326.51 kWh/m2/yr,53.328997,-6.22103,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-penthouse-apartment-holyrood-castle-holyrood-park-sandymount-dublin-4/3251671
3794737,18600411,"Apartment 4, The Square Beggars Bush, Dublin 4",525000.0,64,64 m²,2,1,Apartment,2022-08-09,E2,108496852,,53.336368,-6.235944,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-4-the-square-beggars-bush-dublin-4/3794737
3782462,18494888,"73/74 Ardoyne House, Donnybrook, Dublin 4",1400000.0,206,206 m²,4,3,Apartment,2022-08-10,C3,101573731,217.4 kWh/m2/yr,53.327531,-6.238508,Buy,DUBLIN_4_DUBLIN,http://www.daft.ie/for-sale/apartment-73-74-ardoyne-house-donnybrook-dublin-4/3782462
