id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3907472,19024441,"131 Templeogue Road, Templeogue, Templeogue, Dublin 6W",1650000.0,308,308 m²,5,4,Semi-D,2022-05-25,B3,100175264,132.77 kWh/m2/yr,53.305724,-6.291477,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-131-templeogue-road-templeogue-templeogue-dublin-6w/3907472
3907456,19024433,"16 Kimmage Road Lower, Harold's Cross, Dublin 6",825000.0,109,109 m²,3,2,Terrace,2022-05-25,B2,111244323,124.95 kWh/m2/yr,53.322609,-6.281118,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/terraced-house-16-kimmage-road-lower-harolds-cross-dublin-6/3907456
3904166,18995625,"81 Harold's Cross Road, Harold's Cross, Dublin 6",750000.0,160,160 m²,5,,Terrace,2022-08-10,D1,115000267,254.26 kWh/m2/yr,53.326504,-6.277714,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/terraced-house-81-harolds-cross-road-harolds-cross-dublin-6/3904166
3899410,18947603,"55 Melvin Road, Terenure, Harold's Cross, Dublin 6",445000.0,71,71 m²,2,1,Terrace,2022-06-30,F,,,53.314213,-6.287974,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/terraced-house-55-melvin-road-terenure-harolds-cross-dublin-6/3899410
3898959,18940434,"242 Templeogue Road, Templeogue, Templeogue, Dublin 6W",625000.0,92,92 m²,2,1,Detached,2022-08-09,E2,114884695,365.54 kWh/m2/yr,53.296585,-6.306636,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/detached-house-242-templeogue-road-templeogue-templeogue-dublin-6w/3898959
3897029,18920575,"12 Sundrive Park, Crumlin, Dublin 12",495000.0,83,83 m²,3,1,Semi-D,2022-08-10,G,114878713,982.89 kWh/m2/yr,53.32073,-6.291045,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-12-sundrive-park-crumlin-dublin-12/3897029
3891772,18878519,"21 Harold's Cross Road, Harold's Cross, Dublin 6",445000.0,65,65 m²,3,1,Semi-D,2022-08-04,E2,114551500,346.85 kWh/m2/yr,53.328789,-6.275922,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-21-harolds-cross-road-harolds-cross-dublin-6/3891772
3894982,18901144,"91 College Square, Wainsfort Manor Drive, Terenure, Dublin 6",900000.0,N/A,,5,5,Semi-D,2022-06-21,A2,,,53.307157,-6.308355,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-91-college-square-wainsfort-manor-drive-terenure-dublin-6/3894982
3753762,18271250,"17 Whitehall Close, Terenure, Dublin 12",495000.0,79,79 m²,3,1,Semi-D,2022-08-10,E2,114759327,356.11 kWh/m2/yr,53.3064132,-6.3182247,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-17-whitehall-close-terenure-dublin-12/3753762
3813947,18763601,"9 Kennington Lawn, Templeogue, Dublin 6W",595000.0,127,127 m²,4,2,Semi-D,2022-08-10,E1,114859622,337.95 kWh/m2/yr,53.299163,-6.32878,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-kennington-lawn-templeogue-dublin-6w/3813947
3813511,18759674,"92 Wainsfort Road, Terenure, Dublin 6W",650000.0,155,155 m²,4,3,Semi-D,2022-08-10,E2,114695778,372.37 kWh/m2/yr,53.305751,-6.306382,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-92-wainsfort-road-terenure-dublin-6w/3813511
3803503,18674983,"18 Hillcrest Manor, Templeogue Road, Templeogue, Dublin 6W",425000.0,93,93 m²,3,3,Terrace,2022-08-10,C3,105714356,200.41 kWh/m2/yr,53.293954,-6.316486,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/terraced-house-18-hillcrest-manor-templeogue-road-templeogue-dublin-6w/3803503
3799064,18638041,"135 Mount Tallant Avenue, Terenure, Terenure, Dublin 6",525000.0,108,108 m²,3,1,Terrace,2022-04-22,D2,114637671,286.16 kWh/m2/yr,53.315191,-6.29027,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/terraced-house-135-mount-tallant-avenue-terenure-terenure-dublin-6/3799064
3799176,18638306,"75 Harold's Cross Road, Harold's Cross, Dublin 6W",695000.0,120,120 m²,3,3,Semi-D,2022-08-10,F,114812340,420.41 kWh/m2/yr,53.326645,-6.277557,Buy,DUBLIN_6W_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-75-harolds-cross-road-harolds-cross-dublin-6w/3799176
