id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3982841,19648925,"Apartment 13, Cedarhurst Road, Phoenix Park Racecourse, Castleknock, Dublin 15",375000.0,N/A,,2,2,Apartment,2022-08-08,B3,,,53.372168,-6.335019,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-apartment-13-cedarhurst-road-phoenix-park-racecourse-castleknock-dublin-15/3982841
3985522,19680339,"Apartment 118, Block C, é�ras Na Cluaine, Clondalkin, Dublin 22",220000.0,74,74 m²,2,1,Apartment,2022-08-09,D2,113263727,,53.327768,-6.382064,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-apartment-118-block-c-ras-na-cluaine-clondalkin-dublin-22/3985522
3985481,19680314,"Apartment 158, Block A Grande Central, Rockbrook, Sandyford, Dublin 18",425000.0,77,77 m²,2,2,Apartment,2022-08-08,B2,114733009,108.53 kWh/m2/yr,53.279708,-6.214206,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-apartment-158-block-a-grande-central-rockbrook-sandyford-dublin-18/3985481
3985479,19680313,"39 Doolin House, Clare Village, Clarehall, Dublin 13",195000.0,52,52 m²,1,1,Apartment,2022-08-09,C2,,,53.399621,-6.180851,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-39-doolin-house-clare-village-clarehall-dublin-13/3985479
3985386,19678845,"Apartment 85, Southmede, Ballinteer Road, Dundrum, Dublin 14",395000.0,78,78 m²,2,2,Apartment,2022-08-04,B2,,,53.282963,-6.243665,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-apartment-85-southmede-ballinteer-road-dundrum-dublin-14/3985386
3985227,19677268,"Apartment 27, Saint Kevins, Bloomfield Avenue, Portobello, Dublin 8",295000.0,35,35 m²,1,1,Apartment,2022-08-10,SI_666,,,53.331971,-6.271539,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-apartment-27-saint-kevins-bloomfield-avenue-portobello-dublin-8/3985227
3983952,19661534,"19 Kavanagh Hall, Castleknock, Dublin 15",345000.0,N/A,,2,2,Apartment,2022-08-10,B2,115226474,101.19 kWh/m2/yr,53.3714041,-6.3699573,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-19-kavanagh-hall-castleknock-dublin-15/3983952
3983765,19659780,"Apartment 6, House 8, Linden Square, Blackrock, Co. Dublin",595000.0,100,100 m²,2,2,Apartment,2022-07-21,C1,100247261,174.98 kWh/m2/yr,53.293139,-6.194826,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-apartment-6-house-8-linden-square-blackrock-co-dublin/3983765
3983646,19657969,"171 Wintergarden, Pearse Street, Dublin 2",375000.0,65,65 m²,2,1,Apartment,2022-08-10,D1,115348005,254.51 kWh/m2/yr,53.344257,-6.243276,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-171-wintergarden-pearse-street-dublin-2/3983646
3983381,19655495,"58 Whitehall Square, Quarry Drive, Perrystown, Dublin 12",225000.0,40,40 m²,1,1,Apartment,2022-08-10,D1,115339517,237.32 kWh/m2/yr,53.313634,-6.322084,Buy,DUBLIN_CITY,http://www.daft.ie/for-sale/apartment-58-whitehall-square-quarry-drive-perrystown-dublin-12/3983381
