id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3469279,15701735,"5 Mountjoy Square North, Dublin 1",390000.0,86,86 m²,2,1,Apartment,2022-08-10,D1,,,53.357264,-6.258529,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/apartment-5-mountjoy-square-north-dublin-1/3469279
3287290,15238939,"Apartment 29, The Atrium, The Steelworks, Dublin 1",325000.0,70,70 m²,2,2,Apartment,2022-08-10,C2,,,53.352301,-6.251498,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-29-the-atrium-the-steelworks-dublin-1/3287290
1529074,12426855,"Apartment 3, Brook House, Richmond Road, Fairview, Dublin 3",295000.0,N/A,,2,2,Apartment,2022-08-10,C3,112953013,204.08 kWh/m2/yr,53.364362,-6.245742,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-3-brook-house-richmond-road-fairview-dublin-3/1529074
3966833,19529015,"23 Ormond Road, Drumcondra, Dublin 9",775000.0,111,111 m²,3,2,Semi-D,2022-08-10,D2,110811833,281.55 kWh/m2/yr,53.369983,-6.251959,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-23-ormond-road-drumcondra-dublin-9/3966833
3966036,19523430,"15 Daneswell Road, Glasnevin, Dublin 9",525000.0,105,105 m²,4,1,Semi-D,2022-08-10,F,115207946,440.15 kWh/m2/yr,53.370835,-6.266738,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-daneswell-road-glasnevin-dublin-9/3966036
3514053,16075882,"46 Bessborough Avenue, North Strand, North Strand, Dublin 3",270000.0,72,72 m²,2,1,Terrace,2022-08-09,G,114301161,514.65 kWh/m2/yr,53.357065,-6.241998,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-46-bessborough-avenue-north-strand-north-strand-dublin-3/3514053
3961343,19484775,"14 Oriel Street Lower, Dublin 1",299950.0,85,85 m²,4,2,Terrace,2022-07-07,C3,,,53.352949,-6.243177,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-14-oriel-street-lower-dublin-1/3961343
3956120,19434463,"27 Saint Brigid's Road Lower, Drumcondra, Drumcondra, Dublin 9",475000.0,110,110 m²,3,1,End of Terrace,2022-08-10,F,,,53.363458,-6.261886,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-27-saint-brigids-road-lower-drumcondra-drumcondra-dublin-9/3956120
3960414,19476964,"113 Richmond Road, Fairview, Dublin 3",659950.0,176,176 m²,4,2,Terrace,2022-07-04,G,,,53.366921,-6.249472,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-113-richmond-road-fairview-dublin-3/3960414
3959957,19471736,"115 Brian Road, Marino, Marino, Dublin 3",475000.0,93,93 m²,3,2,Terrace,2022-06-30,D2,115053266,277.15 kWh/m2/yr,53.366034,-6.236739,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-115-brian-road-marino-marino-dublin-3/3959957
3959689,19468827,"9 Cadogan Road, Fairview, Dublin 3",375000.0,78,78 m²,3,1,End of Terrace,2022-08-10,G,115051021,1072.32 kWh/m2/yr,53.361583,-6.238968,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-9-cadogan-road-fairview-dublin-3/3959689
3959038,19460120,"26 Elizabeth Street, Drumcondra, Dublin 3",325000.0,62,62 m²,2,1,Terrace,2022-08-10,E1,114674757,309.08 kWh/m2/yr,53.362348,-6.25444,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-26-elizabeth-street-drumcondra-dublin-3/3959038
3957319,19445217,"20 St Anne's Road, Drumcondra, Dublin 9",495000.0,80,80 m²,2,1,Terrace,2022-08-10,E1,108574377,325.81 kWh/m2/yr,53.363003,-6.259873,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-st-annes-road-drumcondra-dublin-9/3957319
3956949,19443439,"1 Clonmore Road, Ballybough, Ballybough, Dublin 3",409950.0,97,97 m²,2,2,End of Terrace,2022-07-01,C3,,,53.358506,-6.246016,Buy,DUBLIN_CITY_UNIVERSITY_ALL_HALLOWS_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-clonmore-road-ballybough-ballybough-dublin-3/3956949
