id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3991653,19743244,"Apartment 15, 26 James's Walk, Dublin 8",295000.0,70,70 m²,1,1,Apartment,2022-07-27,C1,106277767,164.88 kWh/m2/yr,53.338188,-6.292109,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-15-26-jamess-walk-dublin-8/3991653
3997048,112905003,"Apartment 22, McGoverns Corner, Dublin 8",345000.0,N/A,,1,1,Apartment,2022-07-27,C3,,,53.337217,-6.286868,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-22-mcgoverns-corner-dublin-8/3997048
3996921,112903021," Apartment 12, 30 Kenilworth Square West, Rathgar, Dublin 6",350000.0,50,50 m²,2,1,Apartment,2022-08-10,E2,,,53.318292,-6.277598,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment--apartment-12-30-kenilworth-square-west-rathgar-dublin-6/3996921
3989139,19713825,"Apartment 33, The Old Distillery, Dublin 7",324500.0,68,68 m²,2,1,Apartment,2022-08-10,C2,107199937,,53.34941,-6.273318,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-33-the-old-distillery-dublin-7/3989139
3996533,112898028,"Apartment 49, Joyce House East, Viking Harbour Apartments, Dublin 8",325000.0,47,47 m²,2,1,Apartment,2022-07-27,C2,107875882,182.76 kWh/m2/yr,53.346292,-6.283287,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-49-joyce-house-east-viking-harbour-apartments-dublin-8/3996533
3995916,112893041,"32 The Millennium Tower, Charlotte Quay Dock, Grand Canal Dock, Dublin 4",1150000.0,102,102 m²,3,2,Apartment,2022-08-10,,,,53.34284,-6.236924,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-32-the-millennium-tower-charlotte-quay-dock-grand-canal-dock-dublin-4/3995916
3995901,112891672,"6 Hill Of Down House, Spencer Dock, IFSC, Co. Dublin",295000.0,62,62 m²,1,2,Apartment,2022-08-10,C1,106625809,172.42 kWh/m2/yr,53.350118,-6.23921,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-6-hill-of-down-house-spencer-dock-ifsc-co-dublin/3995901
3995590,112887929,"26 Milltown Hall, Milltown Ave, Mount St. Annes, Milltown, Dublin 6",585000.0,82,82 m²,2,2,Apartment,2022-08-10,B1,111697439,99.25 kWh/m2/yr,53.313809,-6.250004,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-26-milltown-hall-milltown-ave-mount-st-annes-milltown-dublin-6/3995590
3995194,112883833,"1B Percy Lane, Ballsbridge, Dublin 4",1150000.0,158,158 m²,3,,Apartment,2022-08-09,A3,107129827,55.83 kWh/m2/yr,53.336547,-6.240102,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-1b-percy-lane-ballsbridge-dublin-4/3995194
3993956,112870139,"Apartment 43, Amiens Square, IFSC, Dublin 1",325000.0,57,57 m²,2,1,Apartment,2022-08-10,C2,115213589,,53.350744,-6.250748,Buy,DUBLIN_INSTITUTE_OF_TECHNOLOGY_RATHMINES_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-43-amiens-square-ifsc-dublin-1/3993956
