id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3984771,19672110,"Newtown, Knockbridge, Co. Louth",230000.0,98,98 m²,3,2,Semi-D,2022-07-23,E1,,,53.972894,-6.487719,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-newtown-knockbridge-co-louth/3984771
3983803,19660375,"HEYWOOD, Carrick Road, Dundalk, Co. Louth",350000.0,117,117 m²,3,2,Detached,2022-08-10,G,105346530,,53.9993931,-6.4240638,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-heywood-carrick-road-dundalk-co-louth/3983803
3983806,19660376,"St Mary's, Fairgreen Row, Dundalk, Co. Louth",280000.0,N/A,,4,2,Semi-D,2022-08-10,D1,,,54.010431435582,-6.4003219957008,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-st-marys-fairgreen-row-dundalk-co-louth/3983806
3982257,19639440,"Kilconnor Road, Kilkerley, Co. Louth",575000.0,286,286 m²,4,4,Detached,2022-07-28,B2,,,54.004075,-6.516193,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-kilconnor-road-kilkerley-co-louth/3982257
3982436,19641584,"4 Railway Park, Piedmont, Jenkinstown, Co. Louth",575000.0,205,205 m²,4,2,Detached,2022-08-05,A2,114705718,32.34 kWh/m2/yr,53.99931,-6.253035,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-4-railway-park-piedmont-jenkinstown-co-louth/3982436
3982434,19641570,"17 Ard Na Sí, Lis Na Dara, Dundalk, Co. Louth",250000.0,94,94 m²,3,2,End of Terrace,2022-08-05,B3,115187999,129.95 kWh/m2/yr,54.002833,-6.424624,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/end-of-terrace-house-17-ard-na-s-lis-na-dara-dundalk-co-louth/3982434
3980034,19625530,"Fairgreen House, 13 Fairgreen Row, Dundalk, Co. Louth",425000.0,204,204 m²,4,2,Detached,2022-08-08,SI_666,,,54.010377,-6.400151,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-fairgreen-house-13-fairgreen-row-dundalk-co-louth/3980034
3980004,19624354,"81 Farndreg, Dundalk, Co. Louth",175000.0,N/A,,3,1,Semi-D,2022-08-10,D1,115220386,236.51 kWh/m2/yr,54.009007,-6.421693,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-81-farndreg-dundalk-co-louth/3980004
3977053,19603602,"35 Belfry Drive, Saint Alphonsus Road, Dundalk, Co. Louth",350000.0,138,138 m²,4,3,Semi-D,2022-08-03,C1,111920419,154.91 kWh/m2/yr,53.998733,-6.385547,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-35-belfry-drive-saint-alphonsus-road-dundalk-co-louth/3977053
3975693,19599446,"9 McDonald's Terrace, Armagh Road, Dundalk, Co. Louth",150000.0,N/A,,2,1,Terrace,2022-08-03,C2,107407306,198.74 kWh/m2/yr,54.017522,-6.403318,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/terraced-house-9-mcdonalds-terrace-armagh-road-dundalk-co-louth/3975693
3975637,19598056,"12 Fatima Park, Dundalk, Co. Louth",179000.0,84,84 m²,3,1,Terrace,2022-07-12,C2,103305801,195.3 kWh/m2/yr,54.020157,-6.427495,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/terraced-house-12-fatima-park-dundalk-co-louth/3975637
3971820,19571977,"Lisadell, Tuites Lane, Old Golf Links Road, Blackrock, Co. Louth",795000.0,263,263 m²,4,4,Detached,2022-08-09,B3,115228462,,53.967573,-6.379184,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-lisadell-tuites-lane-old-golf-links-road-blackrock-co-louth/3971820
3971621,19570686,"189 Oaklawns, Dundalk, Co. Louth",255000.0,N/A,,3,1,Semi-D,2022-08-03,D2,115031601,292.31 kWh/m2/yr,53.999059,-6.393982,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-189-oaklawns-dundalk-co-louth/3971621
3970217,19558677,"5 Bellewsbridge Place, Dundalk, Co. Louth",195000.0,N/A,,3,1,Semi-D,2022-07-23,C3,,,54.01728,-6.423824,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-5-bellewsbridge-place-dundalk-co-louth/3970217
3968158,19542908,"59 Loughantarve, Knockbridge, Co. Louth",240000.0,122,122 m²,3,2,Detached,2022-07-23,B3,,,53.969485,-6.48881,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-59-loughantarve-knockbridge-co-louth/3968158
3944644,19371375,"21 Cypress Gardens, Bay Estate, Dundalk, Co. Louth",295000.0,84,84 m²,4,4,Semi-D,2022-07-23,C3,,,53.997951,-6.371019,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/semi-detached-house-21-cypress-gardens-bay-estate-dundalk-co-louth/3944644
3969938,19556287,"Pine Lodge, Upper Faughart, Mountpleasant, Dundalk, Co. Louth",495000.0,212,212 m²,5,5,Detached,2022-08-10,C3,115210098,221.65 kWh/m2/yr,54.054684,-6.393762,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-pine-lodge-upper-faughart-mountpleasant-dundalk-co-louth/3969938
3969507,19554471,"123 Rockfield Court, Dundalk, Co. Louth",250000.0,120,120 m²,4,2,Detached,2022-08-05,C3,105873079,207.62 kWh/m2/yr,53.987877,-6.393067,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-123-rockfield-court-dundalk-co-louth/3969507
3969477,19553914,"8 Tudor Grove, Mullaharlin Road, Dundalk, Co. Louth",395000.0,195,195 m²,4,3,Detached,2022-07-23,B3,,,53.979707,-6.397007,Buy,DUNDALK_AND_SURROUNDS_LOUTH,http://www.daft.ie/for-sale/detached-house-8-tudor-grove-mullaharlin-road-dundalk-co-louth/3969477
