id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3944371,19366765,"18 Fairway Drive, Cualanor, Glenageary Road Upper, Dun Laoghaire, Co. Dublin",995000.0,213,213 m²,5,4,End of Terrace,2022-08-10,A2,112297460,46.4 kWh/m2/yr,53.284805,-6.13949,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-18-fairway-drive-cualanor-glenageary-road-upper-dun-laoghaire-co-dublin/3944371
3940769,19332161,"The Mews, 1a Richmond Hill, Monkstown, Co. Dublin",795000.0,161,161 m²,1,1,Detached,2022-08-10,A3,109831461,66.2 kWh/m2/yr,53.291975,-6.152037,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/detached-house-the-mews-1a-richmond-hill-monkstown-co-dublin/3940769
3938205,19307047,"55a Patrick Street, Dun Laoghaire, Co. Dublin",695000.0,120,120 m²,2,1,Terrace,2022-08-10,C3,106958549,213.93 kWh/m2/yr,53.288413,-6.138624,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-55a-patrick-street-dun-laoghaire-co-dublin/3938205
3937911,19304315,"62 Kill Avenue, Dun Laoghaire, Co. Dublin",445000.0,80,80 m²,3,1,End of Terrace,2022-08-10,E2,115162059,374.95 kWh/m2/yr,53.281345,-6.157185,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-62-kill-avenue-dun-laoghaire-co-dublin/3937911
3936619,19292122,"183 Clonkeen Crescent, Dun Laoghaire, Co. Dublin",650000.0,170,170 m²,4,3,Semi-D,2022-07-26,D1,105704266,231.39 kWh/m2/yr,53.277078,-6.158824,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-183-clonkeen-crescent-dun-laoghaire-co-dublin/3936619
3936106,19284505,"1 Crofton Avenue, Dun Laoghaire, Co. Dublin",1575000.0,250,250 m²,4,3,End of Terrace,2022-08-10,,,,53.295051,-6.138249,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-crofton-avenue-dun-laoghaire-co-dublin/3936106
3934317,19268508,"22 Corrig Park, Dun Laoghaire, Co. Dublin",600000.0,69,69 m²,2,1,Semi-D,2022-07-12,E1,104325410,326.95 kWh/m2/yr,53.288014,-6.135866,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-22-corrig-park-dun-laoghaire-co-dublin/3934317
3930061,19230963,"40 Silchester Park, Glenageary, Co. Dublin",995000.0,133,133 m²,5,2,Semi-D,2022-08-10,C3,115004491,217.34 kWh/m2/yr,53.28231,-6.132791,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-40-silchester-park-glenageary-co-dublin/3930061
3929422,19224228,"241D, Pottery Road, Dun Laoghaire, Co. Dublin",570000.0,N/A,,3,1,Semi-D,2022-08-10,D2,114875925,271.31 kWh/m2/yr,53.268751,-6.150569,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-241d-pottery-road-dun-laoghaire-co-dublin/3929422
3928452,19211342,"Rathbarry, Silchester Road, Glenageary, Co. Dublin",4500000.0,274,274 m²,5,2,Detached,2022-08-10,F,114860174,384.81 kWh/m2/yr,53.281179,-6.126927,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/detached-house-rathbarry-silchester-road-glenageary-co-dublin/3928452
3928451,19211341,"31 Oakdale Drive, Glenageary, Co. Dublin",695000.0,138,138 m²,4,3,Semi-D,2022-08-10,G,115026726,524.55 kWh/m2/yr,53.271179,-6.14568,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-oakdale-drive-glenageary-co-dublin/3928451
3925156,19176723,"Fieldhouse 44 Silchester Road Glenageary, Glenageary, Co. Dublin",1395000.0,219,219 m²,4,2,Detached,2022-08-10,G,114885676,570.15 kWh/m2/yr,53.283715,-6.13147,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/detached-house-fieldhouse-44-silchester-road-glenageary-glenageary-co-dublin/3925156
3755968,18280316,"1 Bayswater Terrace, Breffni Road, Sandycove, Co. Dublin",2500000.0,370,370 m²,4,4,End of Terrace,2022-08-10,,,,53.285522,-6.111312,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-bayswater-terrace-breffni-road-sandycove-co-dublin/3755968
3919170,19128983,"11 Woodlands Drive, Cabinteely, Dublin 18",730000.0,146,146 m²,6,2,Semi-D,2022-08-10,E1,,,53.264718,-6.144217,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-11-woodlands-drive-cabinteely-dublin-18/3919170
3917597,19112497,"2 Crosthwaite Hall, Glenageary Road Lower, Glenageary, Co. Dublin",1045000.0,183,183 m²,3,2,Terrace,2022-08-03,C1,108717331,161.99 kWh/m2/yr,53.284508,-6.133177,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-2-crosthwaite-hall-glenageary-road-lower-glenageary-co-dublin/3917597
3916785,19105627,"Ebani Lower Glenageary Road Glenageary, Glenageary, Co. Dublin",1795000.0,236,236 m²,4,3,Detached,2022-08-10,D2,115010076,276.74 kWh/m2/yr,53.281588,-6.135144,Buy,DUN_LAOGHAIRE_DUBLIN,http://www.daft.ie/for-sale/detached-house-ebani-lower-glenageary-road-glenageary-glenageary-co-dublin/3916785
