id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3938205,19307047,"55a Patrick Street, Dun Laoghaire, Co. Dublin",695000.0,120,120 m²,2,1,Terrace,2022-08-10,C3,106958549,213.93 kWh/m2/yr,53.288413,-6.138624,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/terraced-house-55a-patrick-street-dun-laoghaire-co-dublin/3938205
3937911,19304315,"62 Kill Avenue, Dun Laoghaire, Co. Dublin",445000.0,80,80 m²,3,1,End of Terrace,2022-08-10,E2,115162059,374.95 kWh/m2/yr,53.281345,-6.157185,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-62-kill-avenue-dun-laoghaire-co-dublin/3937911
3937741,19302558,"Corner House, 1A Rowanbyrn, Blackrock, Co. Dublin",795000.0,138,138 m²,3,2,Detached,2022-08-10,B2,115155582,110.74 kWh/m2/yr,53.287067,-6.170484,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/detached-house-corner-house-1a-rowanbyrn-blackrock-co-dublin/3937741
3936619,19292122,"183 Clonkeen Crescent, Dun Laoghaire, Co. Dublin",650000.0,170,170 m²,4,3,Semi-D,2022-07-26,D1,105704266,231.39 kWh/m2/yr,53.277078,-6.158824,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-183-clonkeen-crescent-dun-laoghaire-co-dublin/3936619
3932168,19246682,"The Mews, 15A Longford Terrace, Monkstown, Co. Dublin",850000.0,115,115 m²,3,1,Detached,2022-06-29,E1,105556286,306.5 kWh/m2/yr,53.294153,-6.151693,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/detached-house-the-mews-15a-longford-terrace-monkstown-co-dublin/3932168
3933985,19264221,"83 Beech Park Road, Foxrock, Dublin 18",850000.0,154,154 m²,4,2,Semi-D,2022-08-10,D2,104743497,273.13 kWh/m2/yr,53.274153,-6.170725,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-83-beech-park-road-foxrock-dublin-18/3933985
3932130,19246174,"83 Rockford Park, Blackrock, Co. Dublin",475000.0,76,76 m²,3,1,Semi-D,2022-07-14,D2,,,53.286622,-6.164646,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-83-rockford-park-blackrock-co-dublin/3932130
3929422,19224228,"241D, Pottery Road, Dun Laoghaire, Co. Dublin",570000.0,N/A,,3,1,Semi-D,2022-08-10,D2,114875925,271.31 kWh/m2/yr,53.268751,-6.150569,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-241d-pottery-road-dun-laoghaire-co-dublin/3929422
3928451,19211341,"31 Oakdale Drive, Glenageary, Co. Dublin",695000.0,138,138 m²,4,3,Semi-D,2022-08-10,G,115026726,524.55 kWh/m2/yr,53.271179,-6.14568,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-oakdale-drive-glenageary-co-dublin/3928451
3926525,19192848,"Thorndene, 87 Monkstown Road, Monkstown, Co. Dublin",3500000.0,279,279 m²,4,2,Detached,2022-08-10,C3,113813935,203.81 kWh/m2/yr,53.293391,-6.155638,Buy,DUN_LAOGHAIRE_INSTITUTE_OF_ART_DESIGN_AND_TECHNOLOGY_DUBLIN,http://www.daft.ie/for-sale/detached-house-thorndene-87-monkstown-road-monkstown-co-dublin/3926525
