id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3913460,19078386,"2 Linnane Terrace, Ennis, Co. Clare",155000.0,70,70 m²,3,1,Terrace,2022-08-10,G,113000095,605.39 kWh/m2/yr,52.841418,-8.986126,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/terraced-house-2-linnane-terrace-ennis-co-clare/3913460
3898221,18931083,"Ballaghboy, Ruan, Ruan, Co. Clare",395000.0,233,233 m²,4,4,Detached,2022-08-03,B3,114813512,139.18 kWh/m2/yr,52.932217,-9.012345,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-ballaghboy-ruan-ruan-co-clare/3898221
3894361,18896175,"5A The Crescent, Ennis, Co. Clare",280000.0,175,175 m²,5,4,Terrace,2022-08-06,D1,114868938,250.28 kWh/m2/yr,52.853685,-8.978935,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/terraced-house-5a-the-crescent-ennis-co-clare/3894361
3822691,18843938,"Ballyogan Site, Barefield, Ennis, Co. Clare",85000.0,N/A,0.5 ac,,,Detached,2022-08-10,,,,52.899196,-8.910991,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-ballyogan-site-barefield-ennis-co-clare/3822691
3763118,18337264,"18 Castlelawn, Tulla Road, Ennis, Co. Clare",290000.0,132,132 m²,5,2,Detached,2022-08-10,D1,107810012,246.42 kWh/m2/yr,52.849019,-8.971786,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-18-castlelawn-tulla-road-ennis-co-clare/3763118
3713503,17891575,"Rosbrook House, Tulla Road, Ennis, Co. Clare",495000.0,157,157 m²,4,4,Detached,2022-07-20,C1,114531635,156.3 kWh/m2/yr,52.857581,-8.946655,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-rosbrook-house-tulla-road-ennis-co-clare/3713503
3710546,17861908,"Clon Road, Ennis, Co. Clare",249000.0,N/A,,3,2,Detached,2022-08-10,C3,114301526,202.83 kWh/m2/yr,52.847227,-8.97412,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-clon-road-ennis-co-clare/3710546
3600817,16778416,"Clare Road, Ennis, Co. Clare",500000.0,86,86 m²,3,1,Detached,2022-08-09,E2,111600193,91.67 kWh/m2/yr,52.834,-8.981339,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-clare-road-ennis-co-clare/3600817
3472043,15730859,"Cloongowna, Kilnamona, Kilnamona, Co. Clare",299000.0,68,68 m²,2,,Detached,2022-08-05,F,,,52.854869,-8.912099,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-cloongowna-kilnamona-kilnamona-co-clare/3472043
2738916,13173424,"Lickaun Lodge, Lickaun, Kilnamona, Co. Clare",650000.0,130,130 m²,3,2,Detached,2022-08-10,D1,111218509,245.83 kWh/m2/yr,52.8681246,-9.0781293,Buy,ENNIS_AND_SURROUNDS_CLARE,http://www.daft.ie/for-sale/detached-house-lickaun-lodge-lickaun-kilnamona-co-clare/2738916
