id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3956888,19441432,"53 Mellowes Park, Finglas West, Finglas, Dublin 11",249000.0,68,68 m²,3,1,Terrace,2022-08-09,F,,,53.392037,-6.314678,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-53-mellowes-park-finglas-west-finglas-dublin-11/3956888
3949731,19419740,"76 Abbotstown Avenue, Finglas West, Finglas, Dublin 11",249000.0,88,88 m²,3,3,Terrace,2022-08-09,D2,,,53.388151,-6.314693,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-76-abbotstown-avenue-finglas-west-finglas-dublin-11/3949731
3949534,19416246,"7 Kildonan Drive, Finglas West, Finglas, Dublin 11",280000.0,121,121 m²,3,2,End of Terrace,2022-08-09,D1,,,53.390494,-6.308609,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-7-kildonan-drive-finglas-west-finglas-dublin-11/3949534
3920724,19142946,"6 Glebe View, Finglas, Dublin 11",275000.0,74,74 m²,2,1,Terrace,2022-08-10,D2,,,53.388749,-6.303622,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-6-glebe-view-finglas-dublin-11/3920724
3489293,15893487,"21 Belclare Avenue, Poppintree, Poppintree, Dublin 11",295000.0,94,94 m²,3,1,Terrace,2022-07-04,C2,108452889,178.0 kWh/m2/yr,53.399058,-6.279816,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-21-belclare-avenue-poppintree-poppintree-dublin-11/3489293
3947038,19394628,"61 Finglas Place, Finglas East, Finglas, Dublin 11",269000.0,53,53 m²,2,2,End of Terrace,2022-08-09,D1,,,53.386701,-6.295297,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-61-finglas-place-finglas-east-finglas-dublin-11/3947038
3944310,19366709,"17 Hillcrest Park, Glasnevin, Glasnevin, Dublin 11",395000.0,92,92 m²,3,1,Semi-D,2022-08-08,E2,115204422,,53.388803,-6.278251,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-17-hillcrest-park-glasnevin-glasnevin-dublin-11/3944310
3943078,19353379,"238 Jamestown Road, Finglas, Finglas, Dublin 11",380000.0,141,141 m²,4,4,Semi-D,2022-08-10,B3,,,53.405846,-6.291593,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-238-jamestown-road-finglas-finglas-dublin-11/3943078
3942880,19351840,"247 Glasnevin Avenue, Glasnevin, Dublin 11",395000.0,86,86 m²,3,1,Terrace,2022-08-10,E1,,,53.3903,-6.284882,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-247-glasnevin-avenue-glasnevin-dublin-11/3942880
3936163,19285818,"52 McKee Avenue, Finglas, Finglas, Dublin 11",269000.0,N/A,,3,1,Semi-D,2022-08-02,F,,,53.39211,-6.30032,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-52-mckee-avenue-finglas-finglas-dublin-11/3936163
3931153,19236138,"10 Fairways Grove, Griffith Road, Glasnevin, Dublin 11",469950.0,N/A,,5,4,Semi-D,2022-06-21,C3,,,53.382481,-6.28864,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-fairways-grove-griffith-road-glasnevin-dublin-11/3931153
3929605,19226456,"48 Finn Eber Fort, Finglas, Finglas, Dublin 11",329000.0,90,90 m²,3,2,Terrace,2022-08-09,C2,,,53.385954,-6.298088,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-48-finn-eber-fort-finglas-finglas-dublin-11/3929605
3928931,19218968,"10 Dunsink Green, Finglas, Dublin 11",275000.0,99,99 m²,3,1,Terrace,2022-08-09,E2,,,53.383413,-6.305868,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-10-dunsink-green-finglas-dublin-11/3928931
3925286,19178899,"5 Willow Park Avenue, Glasnevin, Glasnevin, Dublin 11",625000.0,150,150 m²,5,2,Semi-D,2022-07-08,E1,,,53.391833,-6.278276,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-5-willow-park-avenue-glasnevin-glasnevin-dublin-11/3925286
3923747,19164045,"28 Cedarwood Road, Glasnevin, Dublin 11",395000.0,100,100 m²,3,1,Semi-D,2022-08-10,G,115019846,531.32 kWh/m2/yr,53.394634,-6.284492,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-28-cedarwood-road-glasnevin-dublin-11/3923747
3921809,19153125,"152 Cedarwood Road, Glasnevin, Glasnevin, Dublin 11",470000.0,136,136 m²,4,3,Semi-D,2022-08-09,C3,,,53.397145,-6.28913,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-152-cedarwood-road-glasnevin-glasnevin-dublin-11/3921809
3921056,19146758,"26B Virginia Drive, Finglas South, Finglas, Dublin 11",249950.0,N/A,,3,2,Semi-D,2022-06-21,C2,,,53.382225,-6.313853,Buy,FINGLAS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26b-virginia-drive-finglas-south-finglas-dublin-11/3921056
