id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3924897,19176211,"Townhouse 28, Eyre Square Centre, Co. Galway",Price on Application,93,93 m²,3,1,Townhouse,2022-08-10,D1,,,53.273626,-9.050153,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/townhouse-townhouse-28-eyre-square-centre-co-galway/3924897
3915980,19098417,"46 Coille Tire, Doughiska, Co. Galway",275000.0,94,94 m²,3,2,Terrace,2022-08-10,B3,115008864,,53.280198,-8.986153,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/terraced-house-46-coille-tire-doughiska-co-galway/3915980
3907712,19025659,"Doughiska Road, Doughiska, Co. Galway",495000.0,121,121 m²,4,4,Detached,2022-08-10,C2,114587298,178.08 kWh/m2/yr,53.282132,-8.978816,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-doughiska-road-doughiska-co-galway/3907712
3906342,19016991,"Ardawn, ARDAWN, 31 College Road, Co. Galway",1100000.0,350,350 m²,9,10,Detached,2022-08-10,C1,114842016,172.02 kWh/m2/yr,53.278214,-9.039673,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-ardawn-ardawn-31-college-road-co-galway/3906342
3890458,18865717,"7 Dublin Road, Renmore, Co. Galway",575000.0,192,192 m²,5,2,Detached,2022-08-10,D2,113207542,268.33 kWh/m2/yr,53.279518,-9.013282,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-7-dublin-road-renmore-co-galway/3890458
3821338,18828802,"163 Lurgan Park, Renmore, Renmore, Co. Galway",375000.0,N/A,,4,2,Semi-D,2022-08-07,C2,109634469,,53.274021,-9.007764,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-163-lurgan-park-renmore-renmore-co-galway/3821338
3805979,18701593,"12 Beech Park, Renmore, Renmore, Co. Galway",325000.0,N/A,,3,2,Semi-D,2022-08-07,D2,114755374,,53.274078,-9.021583,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-12-beech-park-renmore-renmore-co-galway/3805979
3805115,18690170,"19 Sceilg Ard, Headford Road, Co. Galway",320000.0,105,105 m²,4,3,Semi-D,2022-08-10,C3,108743063,,53.293116,-9.038672,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-19-sceilg-ard-headford-road-co-galway/3805115
3801092,18653581,"27 Saint Finbarrs Terrace, Bohermore, Bohermore, Co. Galway",235000.0,N/A,,3,2,Terrace,2022-08-07,C3,112403852,,53.280621,-9.045342,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/terraced-house-27-saint-finbarrs-terrace-bohermore-bohermore-co-galway/3801092
3797961,18628345,"23 McBride Avenue, Mervue, Co. Galway",250000.0,94,94 m²,3,2,End of Terrace,2022-08-10,D2,106247216,297.6 kWh/m2/yr,53.285224,-9.014857,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-23-mcbride-avenue-mervue-co-galway/3797961
3780162,18477249,"39 Caireal Mor, Castlegar, Co. Galway",325000.0,N/A,,4,5,Terrace,2022-08-03,B3,102661972,141.96 kWh/m2/yr,53.297074495223086,-9.034861610369404,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/terraced-house-39-caireal-mor-castlegar-co-galway/3780162
3779288,18468331,"5 Clarke Avenue, Mervue, Mervue, Co. Galway",285000.0,N/A,,3,1,Semi-D,2022-08-07,E2,107094989,,53.286191,-9.018925,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-5-clarke-avenue-mervue-mervue-co-galway/3779288
3771011,18387366,"92 Garrán Ard, Doughiska, Co. Galway",295000.0,N/A,,4,2,End of Terrace,2022-07-25,D1,,,53.282662,-8.977061,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-92-garr-n-ard-doughiska-co-galway/3771011
3770832,18385870,"69 Forster Court, Co. Galway",435000.0,111,111 m²,4,2,Semi-D,2022-08-10,D2,,,53.278,-9.0433677,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-69-forster-court-co-galway/3770832
3756883,18287165,"43 Dublin Road, Renmore, Co. Galway",550000.0,N/A,,6,2,Detached,2022-08-08,C3,102283231,212.67 kWh/m2/yr,53.277702,-9.015932,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-43-dublin-road-renmore-co-galway/3756883
3753337,18268644,"112 Renmore Park, Renmore, Renmore, Co. Galway",450000.0,150,150 m²,4,2,Semi-D,2022-07-14,C1,,,53.276073,-9.027612,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-112-renmore-park-renmore-renmore-co-galway/3753337
3749913,18234396,"18 College Road, Co. Galway",Price on Application,N/A,,,,Detached,2022-08-10,,,,53.276007,-9.041697,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-18-college-road-co-galway/3749913
3749910,18234393,"No.1 The Staples, College Road, Co. Galway",Price on Application,N/A,,,,Detached,2022-08-10,,,,53.279879,-9.037009,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-no-1-the-staples-college-road-co-galway/3749910
3745326,18192357,"85 Gleann Rua, Renmore, Renmore, Co. Galway",300000.0,119,119 m²,4,3,Detached,2022-07-13,C3,114718737,,53.272879,-9.009047,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-85-gleann-rua-renmore-renmore-co-galway/3745326
3743633,18172971,"50 Fionnuisce, Doughiska, Doughiska, Co. Galway",240000.0,N/A,,2,2,Townhouse,2022-08-04,C3,114719107,213.68 kWh/m2/yr,53.284331,-8.988757,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/townhouse-50-fionnuisce-doughiska-doughiska-co-galway/3743633
3743095,18167320,"33 Saint Finbarrs Terrace, Bohermore, Co. Galway",245000.0,66,66 m²,3,2,Terrace,2022-06-24,G,109181925,,53.280678,-9.044819,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/terraced-house-33-saint-finbarrs-terrace-bohermore-co-galway/3743095
3710854,17864167,"19 College Road, Co. Galway",850000.0,N/A,,9,,Detached,2022-08-10,,,,53.277593,-9.040491,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-19-college-road-co-galway/3710854
3701485,17808362,"51 Fionnuisce, Doughiska, Doughiska, Co. Galway",240000.0,69,69 m²,2,2,Townhouse,2022-08-04,C3,105249858,214.79 kWh/m2/yr,53.284286,-8.988831,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/townhouse-51-fionnuisce-doughiska-doughiska-co-galway/3701485
2589096,12736373,"Glenard House, Castlegar Village, Castlegar, Co. Galway",895000.0,308,308 m²,7,7,Detached,2022-07-25,B3,106248883,149.09 kWh/m2/yr,53.299344,-9.020556,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/detached-house-glenard-house-castlegar-village-castlegar-co-galway/2589096
2303292,12485479,"Amber Cottage, 4 Ballybane Cottages, Co. Galway",380000.0,N/A,,4,2,Terrace,2022-05-27,C1,,,53.288384,-9.002606,Buy,GALWAYMAYO_INSTITUTE_OF_TECHNOLOGY_GALWAY,http://www.daft.ie/for-sale/terraced-house-amber-cottage-4-ballybane-cottages-co-galway/2303292
