id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3918014,19117335,"105 Salthill, 105, Salthill, Co. Galway",Price on Application,N/A,,1,1,Apartment,2022-08-10,A2,,,53.26268,-9.072327,New Homes,GALWAY_CITY,http://www.daft.ie/new-home-for-sale/apartment-1-bedroom-apartments-105-salthill-1-bedroom-apartments-105-salthill-co-galway/3918014
3918015,19117336,"105 Salthill, 105, Salthill, Co. Galway",Price on Application,N/A,,2,2,Apartment,2022-08-10,A2,,,53.26268,-9.072327,New Homes,GALWAY_CITY,http://www.daft.ie/new-home-for-sale/apartment-2-bedroom-apartments-105-salthill-2-bedroom-apartments-105-salthill-co-galway/3918015
3918019,19117337,"105 Salthill, 105, Salthill, Co. Galway",Price on Application,N/A,,3,2,Apartment,2022-08-10,A2,,,53.26268,-9.072327,New Homes,GALWAY_CITY,http://www.daft.ie/new-home-for-sale/apartment-3-bedroom-apartments-105-salthill-3-bedroom-apartments-105-salthill-co-galway/3918019
3957515,19447738,"7 Tuckmill Court, Bowling Green, Co. Galway",320000.0,94,94 m²,2,2,Apartment,2022-08-10,D2,107928798,263.51 kWh/m2/yr,53.272866,-9.055122,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-7-tuckmill-court-bowling-green-co-galway/3957515
3955750,19429071,"1 Beachmount House, 164 Upper Salthill Road, Salthill, Co. Galway",370000.0,73,73 m²,2,1,Apartment,2022-08-10,E1,109775965,301.02 kWh/m2/yr,53.262285,-9.073887,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-1-beachmount-house-164-upper-salthill-road-salthill-co-galway/3955750
3719157,17955731,"6 Cuan Na Coille, Fort Lorenzo, Galway, Taylor's Hill, Co. Galway",320000.0,67,67 m²,2,2,Apartment,2022-08-10,D1,101626232,,53.26726,-9.088863,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-6-cuan-na-coille-fort-lorenzo-galway-taylors-hill-co-galway/3719157
3937230,19299165,"120 Dun Na Coiribe, Headford Road, Headford Road, Co. Galway",265000.0,84,84 m²,2,2,Apartment,2022-08-10,C2,106364383,40.54 kWh/m2/yr,53.283437,-9.052951,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-120-dun-na-coiribe-headford-road-headford-road-co-galway/3937230
3934927,19275446,"Apartment 11, Croit Na Mara, Quincentennial Drive, Salthill, Co. Galway",425000.0,70,70 m²,2,2,Apartment,2022-08-04,B2,106364144,117.97 kWh/m2/yr,53.26173,-9.073116,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-11-croit-na-mara-quincentennial-drive-salthill-co-galway/3934927
3931909,19245342,"Apartment 6, Na Creaga, Ballybrit, Co. Galway",245000.0,100,100 m²,3,4,Apartment,2022-08-04,C2,114857253,179.59 kWh/m2/yr,53.291264,-8.991434,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-6-na-creaga-ballybrit-co-galway/3931909
3929563,19224349,"58 Cé na Mara, Co. Galway",320000.0,66,66 m²,2,2,Apartment,2022-07-13,D2,,,53.2703068,-9.0484814,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-58-c-na-mara-co-galway/3929563
3928985,19218995,"Apartment 7, Tobar Na Mban, Co. Galway",550000.0,96,96 m²,2,2,Apartment,2022-08-09,B3,102343159,,53.276914,-9.039816,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-7-tobar-na-mban-co-galway/3928985
3927923,19207637,"Tí­r na gCapall, Ballybrit, Co. Galway",235000.0,59,59 m²,3,3,Apartment,2022-07-25,C3,,,53.29121130032948,-8.99189716453057,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-t-r-na-gcapall-ballybrit-co-galway/3927923
3922115,19154951,"10 Ocean Towers, Salthill, Co. Galway",420000.0,79,79 m²,2,,Apartment,2022-08-10,C3,103136339,205.2 kWh/m2/yr,53.257571,-9.09136,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-10-ocean-towers-salthill-co-galway/3922115
3921588,19150830,"Apartment 15, Coill Mhara, Co. Galway",225000.0,77,77 m²,2,2,Apartment,2022-08-10,D2,108228214,55.46 kWh/m2/yr,53.260574,-9.121976,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-15-coill-mhara-co-galway/3921588
3921142,19147476,"55 Gort Na Glaise, Sandy Road, Co. Galway",190000.0,57,57 m²,2,1,Apartment,2022-07-25,E1,103262853,,53.283821,-9.037692,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-55-gort-na-glaise-sandy-road-co-galway/3921142
3919906,19135691,"171 Glasan Village, Ballybane, Co. Galway",185000.0,60,60 m²,2,1,Apartment,2022-08-10,C2,101117513,194.37 kWh/m2/yr,53.280099,-9.008262,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-171-glasan-village-ballybane-co-galway/3919906
3919230,19129016,"27 Altan Apartments, Knocknacarra, Galway, Knocknacarra, Co. Galway",225000.0,65,65 m²,2,2,Apartment,2022-08-10,C2,,,53.275194,-9.047865,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-27-altan-apartments-knocknacarra-galway-knocknacarra-co-galway/3919230
3913467,19079171,"18 Kirwans Court, Kirwans Lane, Co. Galway",389000.0,66,66 m²,2,1,Apartment,2022-08-10,B3,114891351,137.83 kWh/m2/yr,53.27144,-9.054858,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-18-kirwans-court-kirwans-lane-co-galway/3913467
3912086,19066185,"Apartment 30, Cúirt Seoige, Co. Galway",235000.0,63,63 m²,2,2,Apartment,2022-05-27,C3,,,53.282026,-9.041249,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-30-c-irt-seoige-co-galway/3912086
3909106,19038333,"57 Castán, Doughiska, Co. Galway",215000.0,N/A,,2,1,Apartment,2022-08-07,C3,114691900,,53.281141,-8.978847,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-57-cast-n-doughiska-co-galway/3909106
3890033,18860857,"11 Ocean Towers, Upper Salthill, Salthill, Co. Galway",390000.0,N/A,,2,2,Apartment,2022-08-07,D1,102486255,,53.257571,-9.09136,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-11-ocean-towers-upper-salthill-salthill-co-galway/3890033
3819621,18813234,"Apartment 25, The Plaza, Co. Galway",295000.0,84,84 m²,3,2,Apartment,2022-08-08,B2,100545466,23.95 kWh/m2/yr,53.278513,-9.04954,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-25-the-plaza-co-galway/3819621
3820446,18820016,"56 Baily Point, Upper Salthill, Salthill, Co. Galway",210000.0,36,36 m²,1,1,Apartment,2022-08-10,D1,101236206,242.65 kWh/m2/yr,53.259636,-9.077886,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-56-baily-point-upper-salthill-salthill-co-galway/3820446
3819779,18814615,"12 Doughiska Road, 12E, 12F, 12G, 12H, Doughiska, Co. Galway","AMV: €450,000",N/A,,1,1,Apartment,2022-05-13,B3,114803919,146.4 kWh/m2/yr,53.281023,-8.977022,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-12-doughiska-road-12e-12f-12g-12h-doughiska-co-galway/3819779
3814879,18769119,"Apartment 13, Rosmeen Court, Salthill, Co. Galway",278000.0,N/A,,2,2,Apartment,2022-08-07,D1,110238185,,53.265868,-9.070558,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-13-rosmeen-court-salthill-co-galway/3814879
3805990,18701601,"Tir na gCapall, Ballybrit, Co. Galway",2350000.0,N/A,,3,3,Apartment,2022-07-25,C3,,,53.2916017,-8.9920303,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-tir-na-gcapall-ballybrit-co-galway/3805990
3805723,18696417,"Apartment 56, Té­ Chormaic, Gleann Na Ré­, Renmore, Co. Galway",260000.0,N/A,,3,1,Apartment,2022-08-10,B2,,,53.272323,-9.001541,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-56-t-chormaic-gleann-na-r-renmore-co-galway/3805723
3800776,18650440,"8 Acres, Knocknacarra Road, Salthill, Co. Galway",265000.0,N/A,,2,1,Apartment,2022-08-07,D2,114667025,,53.258696,-9.101734,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-8-acres-knocknacarra-road-salthill-co-galway/3800776
3796759,18619229,"Apartment 75, Gort Na Coiribe, Headford Road, Co. Galway",275000.0,N/A,,2,2,Apartment,2022-08-07,C2,101249803,,53.285565,-9.049583,Buy,GALWAY_CITY,http://www.daft.ie/for-sale/apartment-apartment-75-gort-na-coiribe-headford-road-co-galway/3796759
