id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3782856,18502941,"Apartment 117, An Fiodé¡n, Doughiska, Co. Galway",170000.0,65,65 m²,2,2,Apartment,2022-08-10,E1,,,53.279874,-8.983224,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-117-an-fiod-n-doughiska-co-galway/3782856
3780011,18476019,"17 Gleann Na Tra, Sandy Road, Co. Galway",220000.0,67,67 m²,2,1,Apartment,2022-08-10,D1,102667664,249.94 kWh/m2/yr,53.284051,-9.04207,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-17-gleann-na-tra-sandy-road-co-galway/3780011
3779365,18468419,"43 Sliabh Rioga, Letteragh Road, Rahoon, Co. Galway",210000.0,N/A,,1,1,Apartment,2022-08-08,B3,114554041,147.11 kWh/m2/yr,53.28038,-9.08907,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-43-sliabh-rioga-letteragh-road-rahoon-co-galway/3779365
3680506,17634197,"Apartment 6, Aran Court, Salthill, Co. Galway",195000.0,N/A,,1,1,Apartment,2022-08-07,F,107489569,,53.258583,-9.102105,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-6-aran-court-salthill-co-galway/3680506
3629824,17070463,"Apartment 15, Coill Aoibhinn, Doughiska, Co. Galway",190000.0,46,46 m²,1,1,Apartment,2022-07-25,C1,,,53.282255,-8.978612,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-15-coill-aoibhinn-doughiska-co-galway/3629824
3610409,16892168,"Apartment 21, Tí Luaghaidh, Gleann Na Rí, Co. Galway",200000.0,64,64 m²,2,1,Apartment,2022-08-10,C2,,,53.273146,-9.001582,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-21-t-luaghaidh-gleann-na-r-co-galway/3610409
3782856,18502941,"Apartment 117, An Fiodé¡n, Doughiska, Co. Galway",170000.0,65,65 m²,2,2,Apartment,2022-08-10,E1,,,53.279874,-8.983224,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-117-an-fiod-n-doughiska-co-galway/3782856
3780011,18476019,"17 Gleann Na Tra, Sandy Road, Co. Galway",220000.0,67,67 m²,2,1,Apartment,2022-08-10,D1,102667664,249.94 kWh/m2/yr,53.284051,-9.04207,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-17-gleann-na-tra-sandy-road-co-galway/3780011
3779365,18468419,"43 Sliabh Rioga, Letteragh Road, Rahoon, Co. Galway",210000.0,N/A,,1,1,Apartment,2022-08-08,B3,114554041,147.11 kWh/m2/yr,53.28038,-9.08907,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-43-sliabh-rioga-letteragh-road-rahoon-co-galway/3779365
3680506,17634197,"Apartment 6, Aran Court, Salthill, Co. Galway",195000.0,N/A,,1,1,Apartment,2022-08-07,F,107489569,,53.258583,-9.102105,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-6-aran-court-salthill-co-galway/3680506
3629824,17070463,"Apartment 15, Coill Aoibhinn, Doughiska, Co. Galway",190000.0,46,46 m²,1,1,Apartment,2022-07-25,C1,,,53.282255,-8.978612,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-15-coill-aoibhinn-doughiska-co-galway/3629824
3610409,16892168,"Apartment 21, Tí Luaghaidh, Gleann Na Rí, Co. Galway",200000.0,64,64 m²,2,1,Apartment,2022-08-10,C2,,,53.273146,-9.001582,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-21-t-luaghaidh-gleann-na-r-co-galway/3610409
3970864,19565173,"54 Castlelawn Heights, Headford Road, Co. Galway",305000.0,103,103 m²,3,2,Semi-D,2022-08-10,D1,114999899,259.5 kWh/m2/yr,53.287215,-9.050971,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-54-castlelawn-heights-headford-road-co-galway/3970864
3970874,19565597,"9 Drom Oir, Western Dist Road, Knocknacarra, Co. Galway",360000.0,105,105 m²,3,2,Semi-D,2022-08-10,D1,115185332,251.74 kWh/m2/yr,53.269351,-9.111057,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-9-drom-oir-western-dist-road-knocknacarra-co-galway/3970874
3969501,19553928,"39 Cluain Riocaird, Headford Road, Co. Galway",295000.0,149,149 m²,6,4,End of Terrace,2022-08-10,C1,102984846,159.69 kWh/m2/yr,53.297335,-9.028823,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-39-cluain-riocaird-headford-road-co-galway/3969501
3969311,19553121,"271 Castle Park, Ballybane, Ballybane, Co. Galway",225000.0,N/A,,3,1,End of Terrace,2022-07-25,D1,103800991,259.92 kWh/m2/yr,53.283786,-9.004846,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-271-castle-park-ballybane-ballybane-co-galway/3969311
3967131,19531704,"118 Seacrest, Knocknacarra, Co. Galway",410000.0,139,139 m²,4,3,Detached,2022-07-26,D2,115181307,264.36 kWh/m2/yr,53.263917,-9.114616,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/detached-house-118-seacrest-knocknacarra-co-galway/3967131
3966982,19530812,"22B Sandyvale Lawn, Headford Road, Co. Galway",300000.0,86,86 m²,3,2,Semi-D,2022-08-10,F,106386915,426.34 kWh/m2/yr,53.288897,-9.042831,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-22b-sandyvale-lawn-headford-road-co-galway/3966982
3966981,19530811,"22A Sandyvale Lawn, Headford Road, Co. Galway",275000.0,86,86 m²,3,2,Semi-D,2022-08-10,E1,106386980,321.91 kWh/m2/yr,53.288851,-9.042862,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-22a-sandyvale-lawn-headford-road-co-galway/3966981
3823280,18847028,"165 Boireann Bheag, Roscam, Co. Galway",320000.0,92,92 m²,3,2,Terrace,2022-08-10,C1,114823040,161.8 kWh/m2/yr,53.276812,-8.967383,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/terraced-house-165-boireann-bheag-roscam-co-galway/3823280
3964811,19513110,"LETTERSHINNA, Cashel, Co. Galway",320000.0,N/A,15.52 ac,3,1,Detached,2022-08-09,,,,53.283257,-9.023907,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/detached-house-lettershinna-cashel-co-galway/3964811
3964646,19512900,"151 Túr Uisce, Doughiska, Co. Galway",230000.0,67,67 m²,2,3,Terrace,2022-08-10,C3,,,53.28224,-8.983455,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/terraced-house-151-t-r-uisce-doughiska-co-galway/3964646
3964362,19511198,"82 Inishannagh Park, Newcastle, Co. Galway",245000.0,75,75 m²,3,1,Terrace,2022-08-10,E1,,,53.278098,-9.080894,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/terraced-house-82-inishannagh-park-newcastle-co-galway/3964362
3961467,19484841,"130 Fearann Rí, Doughiska, Co. Galway",245000.0,N/A,,3,3,Semi-D,2022-08-07,D1,100709732,,53.284013,-8.98801,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-130-fearann-r-doughiska-co-galway/3961467
3961171,19482363,"148 Cluain Riocaird, Headford Road, Co. Galway",240000.0,95,95 m²,3,2,Terrace,2022-08-10,,,,53.298322,-9.025918,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/terraced-house-148-cluain-riocaird-headford-road-co-galway/3961171
3938903,19313739,"188 Dun na Coiribe, Headford Road, Co. Galway",595000.0,155,155 m²,6,4,Detached,2022-08-10,C3,106998008,201.77 kWh/m2/yr,53.283344,-9.053566,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/detached-house-188-dun-na-coiribe-headford-road-co-galway/3938903
3957993,19451689,"7 Asca Beag, Mincloon, Rahoon Road, Rahoon, Co. Galway",525000.0,172,172 m²,4,4,Detached,2022-08-10,C1,100159771,162.34 kWh/m2/yr,53.27562,-9.092555,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/detached-house-7-asca-beag-mincloon-rahoon-road-rahoon-co-galway/3957993
3960986,19479212,"137 Cluain Riocard, Headford Road, Co. Galway",280000.0,96,96 m²,3,2,Terrace,2022-08-10,C1,114650278,151.27 kWh/m2/yr,53.29854,-9.026294,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/terraced-house-137-cluain-riocard-headford-road-co-galway/3960986
3901354,18968742,"92 Rosan Glas, Rahoon Road, Rahoon, Co. Galway",385000.0,133,133 m²,4,4,End of Terrace,2022-08-10,C2,115001356,198.32 kWh/m2/yr,53.277677,-9.092358,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-92-rosan-glas-rahoon-road-rahoon-co-galway/3901354
3960098,19472750,"18 Tudor Lawn, Newcastle, Co. Galway",350000.0,95,95 m²,3,1,Semi-D,2022-07-27,D2,115202038,269.17 kWh/m2/yr,53.288478,-9.075708,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-18-tudor-lawn-newcastle-co-galway/3960098
3957848,19450073,"76 Rahylin Glebe, Ballybane, Ballybane, Co. Galway",255000.0,N/A,,3,2,Terrace,2022-08-07,C2,104114483,,53.282929,-9.009636,Buy,GALWAY_CITY_SUBURBS_GALWAY,http://www.daft.ie/for-sale/terraced-house-76-rahylin-glebe-ballybane-ballybane-co-galway/3957848
