id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3680506,17634197,"Apartment 6, Aran Court, Salthill, Co. Galway",195000.0,N/A,,1,1,Apartment,2022-08-07,F,107489569,,53.258583,-9.102105,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-6-aran-court-salthill-co-galway/3680506
3610409,16892168,"Apartment 21, Tí Luaghaidh, Gleann Na Rí, Co. Galway",200000.0,64,64 m²,2,1,Apartment,2022-08-10,C2,,,53.273146,-9.001582,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-21-t-luaghaidh-gleann-na-r-co-galway/3610409
3680506,17634197,"Apartment 6, Aran Court, Salthill, Co. Galway",195000.0,N/A,,1,1,Apartment,2022-08-07,F,107489569,,53.258583,-9.102105,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-6-aran-court-salthill-co-galway/3680506
3610409,16892168,"Apartment 21, Tí Luaghaidh, Gleann Na Rí, Co. Galway",200000.0,64,64 m²,2,1,Apartment,2022-08-10,C2,,,53.273146,-9.001582,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/apartment-apartment-21-t-luaghaidh-gleann-na-r-co-galway/3610409
3960252,19474735,"Tooloobaun, Athenry, Co. Galway",360000.0,N/A,,3,2,Detached,2022-07-27,D2,115201766,275.12 kWh/m2/yr,53.249703,-8.622578,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-tooloobaun-athenry-co-galway/3960252
3959840,19469802,"99 Bluebell Woods, Oranmore, Co. Galway",495000.0,137,137 m²,4,3,Detached,2022-08-10,C1,114741937,,53.262541,-8.93614,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-99-bluebell-woods-oranmore-co-galway/3959840
3959665,19468147,"West Haven, Lydican, Claregalway, Co. Galway",435000.0,N/A,,4,3,Detached,2022-07-25,C3,115162869,206.89 kWh/m2/yr,53.333618,-8.928025,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-west-haven-lydican-claregalway-co-galway/3959665
3958678,19458025,"Craughwell Village, Craughwell Village, Craughwell, Co. Galway",660000.0,N/A,,4,3,Detached,2022-08-10,A2,,,53.231393,-8.737831,New Homes,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/new-home-for-sale/detached-house-house-4-craughwell-village-house-4-craughwell-village-craughwell-co-galway/3958678
3958675,19458018,"Craughwell Village, Craughwell Village, Craughwell, Co. Galway",670000.0,N/A,,4,3,Detached,2022-08-10,A2,,,53.231393,-8.737831,New Homes,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/new-home-for-sale/detached-house-house-3-craughwell-village-house-3-craughwell-village-craughwell-co-galway/3958675
3958674,19458022,"Craughwell Village, Craughwell Village, Craughwell, Co. Galway",700000.0,N/A,,4,3,Detached,2022-08-10,A2,,,53.231393,-8.737831,New Homes,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/new-home-for-sale/detached-house-house-2-showhouse-craughwell-village-house-2-showhouse-craughwell-village-craughwell-co-galway/3958674
3958672,19458012,"Craughwell Village, Craughwell Village, Craughwell, Co. Galway",700000.0,N/A,,4,4,Detached,2022-08-10,A2,,,53.231393,-8.737831,New Homes,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/new-home-for-sale/detached-house-house-1-craughwell-village-house-1-craughwell-village-craughwell-co-galway/3958672
3957997,19451693,"Forramoyle East, Barna, Co. Galway",950000.0,449,449 m²,6,4,Detached,2022-08-10,B2,113747489,121.38 kWh/m2/yr,53.256952,-9.166565,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-forramoyle-east-barna-co-galway/3957997
3957788,19449027,"Ballyboy, Gort, Co. Galway",315000.0,109,109 m²,3,3,Detached,2022-08-08,C3,,,53.033532,-8.851466,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballyboy-gort-co-galway/3957788
3946112,19381201,"Knockbane, Moycullen, Co. Galway",535000.0,221,221 m²,5,3,Detached,2022-08-10,C3,110864824,,53.365374,-9.213711,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-knockbane-moycullen-co-galway/3946112
3956579,19439914,"41 Renville Village, Oranmore, Co. Galway",395000.0,168,168 m²,3,3,Detached,2022-08-08,C3,,,53.25229327926789,-8.954623543141281,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-41-renville-village-oranmore-co-galway/3956579
3949826,19421539,"16 Croi Na Bhaile, Carrabane, Athenry, Co. Galway",260000.0,103,103 m²,3,3,Detached,2022-08-10,C1,115178501,165.48 kWh/m2/yr,53.229311,-8.639155,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-16-croi-na-bhaile-carrabane-athenry-co-galway/3949826
3946742,19391717,"Saint John's, Rathmorrissy, Athenry, Co. Galway",1250000.0,N/A,,4,2,Detached,2022-07-25,D2,,,53.288473,-8.793841,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-saint-johns-rathmorrissy-athenry-co-galway/3946742
3696041,17753232,"Sakura, Monivea, Co. Galway",230000.0,N/A,,2,1,Detached,2022-06-23,F,,,53.37456,-8.703849,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-sakura-monivea-co-galway/3696041
3945807,19380075,"67 Renville Village, Oranmore, Co. Galway",395000.0,101,101 m²,3,3,Detached,2022-08-10,C2,,,53.2507562,-8.9690275,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-67-renville-village-oranmore-co-galway/3945807
3945108,19373398,"Glennascaul, Oranmore, Co. Galway",475000.0,N/A,,3,1,Detached,2022-06-23,SI_666,,,53.289834,-8.924142,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-glennascaul-oranmore-co-galway/3945108
3942489,19346716,"Caheratrim, Ardrahan, Co. Galway",315000.0,91,91 m²,3,1,Detached,2022-08-08,E2,115161333,356.41 kWh/m2/yr,53.148276,-8.789211,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-caheratrim-ardrahan-co-galway/3942489
3939530,19320928,"Riverville, Craughwell, Co. Galway",185000.0,83,83 m²,3,1,Detached,2022-07-31,G,100398965,,53.239903,-8.660204,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-riverville-craughwell-co-galway/3939530
3939497,19319638,"Clough, Gurteen, Athenry, Co. Galway",360000.0,161,161 m²,5,3,Detached,2022-07-31,B3,107614273,136.63 kWh/m2/yr,53.343376,-8.638694,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-clough-gurteen-athenry-co-galway/3939497
3939416,19319452,"Clough, Gurteen, Ballinasloe, Co. Galway",360000.0,161,161 m²,5,3,Detached,2022-07-31,B3,107614273,136.63 kWh/m2/yr,53.343376,-8.638694,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-clough-gurteen-ballinasloe-co-galway/3939416
3936981,19297048,"Derryloughaun East, Furbo, Co. Galway",450000.0,99,99 m²,4,2,Detached,2022-08-10,D2,115022311,356.27 kWh/m2/yr,53.259936,-9.238108,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-derryloughaun-east-furbo-co-galway/3936981
3936674,19294028,"Drimavoughane, Moycullen, Co. Galway",350000.0,80,80 m²,3,1,Detached,2022-08-02,E1,114640667,312.8 kWh/m2/yr,53.344301,-9.204105,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-drimavoughane-moycullen-co-galway/3936674
3936409,19289880,"3 Thornberry, Truskey West, Barna, Co. Galway",825000.0,222,222 m²,5,5,Detached,2022-08-10,B3,109723213,147.2 kWh/m2/yr,53.25304,-9.157953,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-3-thornberry-truskey-west-barna-co-galway/3936409
3934646,19273145,"Lios Na Cri, Oranmore, Co. Galway",625000.0,194,194 m²,5,2,Detached,2022-07-27,C1,101713725,174.65 kWh/m2/yr,53.271542,-8.919603,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-lios-na-cri-oranmore-co-galway/3934646
3932592,19249872,"61 Maoilin, Ballymoneen Road, Co. Galway",530000.0,130,130 m²,4,2,Detached,2022-08-10,A3,108638677,57.4 kWh/m2/yr,53.271521,-9.122797,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-61-maoilin-ballymoneen-road-co-galway/3932592
3928229,19209575,"Leac Aimhreidh, Ballymoneen Road, Knocknacarra, Co. Galway",865000.0,274,274 m²,4,3,Detached,2022-08-10,B3,115022295,,53.271441,-9.11707,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-leac-aimhreidh-ballymoneen-road-knocknacarra-co-galway/3928229
3929061,19219035,"West View, Park, Moycullen, Co. Galway",150000.0,55,55 m²,2,1,Detached,2022-07-26,G,115012833,779.03 kWh/m2/yr,53.402204,-9.146008,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-west-view-park-moycullen-co-galway/3929061
3926179,19189998,"Duilleog, Ballinahallia, Moycullen, Co. Galway",595000.0,307,307 m²,5,4,Detached,2022-07-25,B2,107252157,112.79 kWh/m2/yr,53.36584491750773,-9.169314710556591,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-duilleog-ballinahallia-moycullen-co-galway/3926179
3925826,19186191,"Moneen East, Ardrahan, Co. Galway",595000.0,105,105 m²,3,1,Detached,2022-08-08,E1,114879000,311.35 kWh/m2/yr,53.161294,-8.747701,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-moneen-east-ardrahan-co-galway/3925826
3925629,19183581,"Zion House, Carnmore, Oranmore, Co. Galway",825000.0,N/A,,5,,Detached,2022-08-10,D1,,,53.30524,-8.911382,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-zion-house-carnmore-oranmore-co-galway/3925629
3922894,19159580,"Ballinasloe, Colmanstown, Co. Galway",90000.0,85,85 m²,3,1,Detached,2022-06-06,SI_666,,,53.3914262402385,-8.6104395458793,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballinasloe-colmanstown-co-galway/3922894
3921560,19150817,"Gleann Rua House, Taylors Hill Road, Salthill, Co. Galway",Price on Application,N/A,,4,2,Detached,2022-07-25,E1,115020851,,53.268619,-9.083545,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-gleann-rua-house-taylors-hill-road-salthill-co-galway/3921560
3916492,19103740,"Corskeagh, Gurteen, Gurteen, Co. Galway",280000.0,167,167 m²,3,3,Detached,2022-06-10,C1,341144942,193.51 kWh/m2/yr,53.366586,-8.527929,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-corskeagh-gurteen-gurteen-co-galway/3916492
3909408,19042079,"Shanaglish, Gort, Co. Galway",395000.0,185,185 m²,3,3,Detached,2022-08-08,D2,,,53.012599,-8.838548,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-shanaglish-gort-co-galway/3909408
3908229,19030663,"Ballylahy, Gort, Co. Galway",495000.0,130,130 m²,4,2,Detached,2022-08-08,G,115000416,527.82 kWh/m2/yr,53.129971,-8.72564,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballylahy-gort-co-galway/3908229
3904722,19000184,"Carraig Villa, Cloonacauneen, Castlegar, Galway, Claregalway, Co. Galway",695000.0,335,335 m²,8,7,Detached,2022-08-10,C1,114167083,,53.315666,-8.994469,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-carraig-villa-cloonacauneen-castlegar-galway-claregalway-co-galway/3904722
3904983,19002416,"Ballybackagh, Athenry, Co. Galway",Price on Application,176,176 m²,4,1,Detached,2022-07-31,G,114888662,,53.335033,-8.798371,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballybackagh-athenry-co-galway/3904983
3902507,18977837,"Site B, Site B, Dublin Road, Oranmore Village, Oranmore, Co. Galway",195000.0,N/A,,4,,Detached,2022-08-10,SI_666,,,53.270075,-8.922681,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-site-b-site-b-dublin-road-oranmore-village-oranmore-co-galway/3902507
3891898,18878583,"3 Gort Na gCrann, Killeely More, Kilcolgan, Co. Galway",560000.0,165,165 m²,4,3,Detached,2022-08-10,A2,112635586,,53.209312,-8.86703,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-3-gort-na-gcrann-killeely-more-kilcolgan-co-galway/3891898
144816,11811485,"Stonebridge House, Clarinbridge, Co. Galway",495000.0,279,279 m²,6,4,Detached,2022-06-07,D1,102588084,241.27 kWh/m2/yr,53.234164,-8.875143,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-stonebridge-house-clarinbridge-co-galway/144816
3893961,18893546,"Killafeen, Gort, Co. Galway","AMV: €415,000",N/A,,3,,Detached,2022-07-27,SI_666,,,53.02695,-8.766447,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-killafeen-gort-co-galway/3893961
3891921,18880344,"Palmerstown, Oranmore, Co. Galway",630000.0,331,331 m²,5,3,Detached,2022-08-08,C3,114399959,201.2 kWh/m2/yr,53.285956,-8.85556,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-palmerstown-oranmore-co-galway/3891921
3890455,18865547,"Clarin House, Clarin House, Stradbally East, Clarinbridge, Co. Galway",Price on Application,801,801 m²,5,5,Detached,2022-08-10,B3,104880059,145.35 kWh/m2/yr,53.226777,-8.89717,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-clarin-house-clarin-house-stradbally-east-clarinbridge-co-galway/3890455
3824825,18860227,"6 Doctor Mannix Avenue, Salthill, Co. Galway",750000.0,158,158 m²,4,3,Detached,2022-08-10,D1,114863608,235.73 kWh/m2/yr,53.264296,-9.078323,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-6-doctor-mannix-avenue-salthill-co-galway/3824825
3824121,18855759,"6 Dr Mannix Avenue, Salthill, Co. Galway",750000.0,158,158 m²,4,3,Detached,2022-08-10,D1,113876072,,53.264281,-9.078292,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-6-dr-mannix-avenue-salthill-co-galway/3824121
3823632,18850648,"Ballydavid South, Athenry, Co. Galway",385000.0,120,120 m²,4,1,Detached,2022-07-31,C2,114855570,182.41 kWh/m2/yr,53.311227,-8.737637,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballydavid-south-athenry-co-galway/3823632
3822180,18837292,"6 Carrowmoneash, Oranmore, Co. Galway",795000.0,249,249 m²,6,6,Detached,2022-08-10,C3,,,53.275754,-8.926522,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-6-carrowmoneash-oranmore-co-galway/3822180
3815283,18774115,"Rosebury, Moanbaun, Athenry, Co. Galway",465000.0,204,204 m²,5,3,Detached,2022-08-05,C2,,,53.319211,-8.778987,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-rosebury-moanbaun-athenry-co-galway/3815283
3785157,18523228,"Heywood, Seapoint, Barna, Co. Galway",2900000.0,N/A,,5,7,Detached,2022-08-10,C2,102298726,177.29 kWh/m2/yr,53.24985,-9.152088,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-heywood-seapoint-barna-co-galway/3785157
3810870,18737553,"Inchaboy South, Gort, Co. Galway",220000.0,296,296 m²,5,4,Detached,2022-08-08,SI_666,,,53.013799,-8.764651,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-inchaboy-south-gort-co-galway/3810870
3808921,18728324,"Srah, Craughwell, Co. Galway",80000.0,20,20 m²,1,1,Detached,2022-07-31,SI_666,,,53.220015,-8.669051,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-srah-craughwell-co-galway/3808921
3808878,18728261,"68 Renville Village, Oranmore, Co. Galway",450000.0,162,162 m²,4,4,Detached,2022-08-08,C3,114820038,57.56 kWh/m2/yr,53.25281440369923,-8.95539859875106,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-68-renville-village-oranmore-co-galway/3808878
3807883,18721410,"2 Gaoth Na Mara, Ballynahown, Furbo, Co. Galway",Price on Application,240,240 m²,4,4,Detached,2022-04-29,A2,113077440,34.08 kWh/m2/yr,53.248257,-9.214212,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-2-gaoth-na-mara-ballynahown-furbo-co-galway/3807883
3960252,19474735,"Tooloobaun, Athenry, Co. Galway",360000.0,N/A,,3,2,Detached,2022-07-27,D2,115201766,275.12 kWh/m2/yr,53.249703,-8.622578,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-tooloobaun-athenry-co-galway/3960252
3959840,19469802,"99 Bluebell Woods, Oranmore, Co. Galway",495000.0,137,137 m²,4,3,Detached,2022-08-10,C1,114741937,,53.262541,-8.93614,Buy,GALWAY_COMMUTER_TOWNS_GALWAY,http://www.daft.ie/for-sale/detached-house-99-bluebell-woods-oranmore-co-galway/3959840
