id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3820492,18820230,"3 Fairfield Court, Fairfield Road, Glasnevin, Dublin 11",535000.0,73,73 m²,2,1,End of Terrace,2022-07-12,A3,,,53.37033,-6.265788,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-3-fairfield-court-fairfield-road-glasnevin-dublin-11/3820492
3966036,19523430,"15 Daneswell Road, Glasnevin, Dublin 9",525000.0,105,105 m²,4,1,Semi-D,2022-08-10,F,115207946,440.15 kWh/m2/yr,53.370835,-6.266738,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-daneswell-road-glasnevin-dublin-9/3966036
3965593,19519887,"44 Griffith Road, Glasnevin, Dublin 11",325000.0,74,74 m²,2,1,Terrace,2022-08-08,C2,107361347,177.83 kWh/m2/yr,53.381579,-6.283012,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-griffith-road-glasnevin-dublin-11/3965593
3965224,19517196,"10 Cedarwood Close, Glasnevin, Dublin 11",475000.0,97,97 m²,3,2,Semi-D,2022-08-10,D1,,,53.395538,-6.280861,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-cedarwood-close-glasnevin-dublin-11/3965224
3932862,19252610,"88 Old Finglas Road, D11H5X8, Glasnevin, Dublin 11",975000.0,204,204 m²,4,4,Semi-D,2022-08-10,C3,100837376,212.52 kWh/m2/yr,53.378199,-6.279345,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-88-old-finglas-road-d11h5x8-glasnevin-dublin-11/3932862
3961616,19487100,"255 Bannow Road, Cabra West, Cabra, Dublin 7",315000.0,61,61 m²,2,1,Semi-D,2022-08-09,E1,,,53.370904,-6.296732,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-255-bannow-road-cabra-west-cabra-dublin-7/3961616
3961545,19486990,"112 Glasanaon Road, Finglas East, Finglas, Dublin 11",310000.0,81,81 m²,3,1,Terrace,2022-08-09,C3,,,53.38625,-6.289838,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-112-glasanaon-road-finglas-east-finglas-dublin-11/3961545
3961351,19484779,"19 Cremore Crescent, Glasnevin, Glasnevin, Dublin 11",575000.0,104,104 m²,3,1,Semi-D,2022-08-10,D2,102977188,268.94 kWh/m2/yr,53.378556,-6.278579,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-19-cremore-crescent-glasnevin-glasnevin-dublin-11/3961351
3957938,19450121,"3 Bellevue Cottages, Glasnevin, Dublin 11",425000.0,103,103 m²,2,2,Semi-D,2022-08-10,D1,101879658,241.03 kWh/m2/yr,53.378291,-6.284498,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-3-bellevue-cottages-glasnevin-dublin-11/3957938
3955440,19426525,"81 Ballymun Road, Glasnevin, Glasnevin, Dublin 11",715000.0,167,167 m²,5,2,Semi-D,2022-06-27,E1,,,53.383209,-6.26606,Buy,GLASNEVIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-81-ballymun-road-glasnevin-glasnevin-dublin-11/3955440
