id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3913096,19073524,"26 Ardamine Court, Courtown, Ardamine, Co. Wexford",255000.0,N/A,,3,2,Detached,2022-07-25,D1,115032252,,52.628691,-6.234061,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-26-ardamine-court-courtown-ardamine-co-wexford/3913096
3915994,19099460,"29 Village Gate, Ballycanew, Co. Wexford",310000.0,124,124 m²,4,3,Detached,2022-08-03,C2,103902664,,52.612337,-6.30687,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-29-village-gate-ballycanew-co-wexford/3915994
3919124,19128856,"Milestone House, Barnadown Upper, Gorey, Co. Wexford",595000.0,291,291 m²,5,4,Detached,2022-08-09,B3,101028777,149.19 kWh/m2/yr,52.64596,-6.313395,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-milestone-house-barnadown-upper-gorey-co-wexford/3919124
3915724,19096684,"Ballinclare, Gorey, Co. Wexford",885000.0,397,397 m²,5,5,Detached,2022-08-10,C1,112373337,157.44 kWh/m2/yr,52.600511,-6.3162,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballinclare-gorey-co-wexford/3915724
3911293,19063055,"Gannon's Valley, Ballinacarrig, Gorey, Co. Wexford",1100000.0,320,320 m²,5,5,Detached,2022-05-30,B3,114876634,138.63 kWh/m2/yr,52.690779,-6.22596,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-gannons-valley-ballinacarrig-gorey-co-wexford/3911293
3696299,17757187,"4 Baile Thioboid, Craanford, Gorey, Co. Wexford",345000.0,167,167 m²,4,3,Detached,2022-08-09,C1,109049007,171.74 kWh/m2/yr,52.6831,-6.389123,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-4-baile-thioboid-craanford-gorey-co-wexford/3696299
3899546,18949227,"2 Avenue Court, Gorey, Co. Wexford",425000.0,132,132 m²,4,2,Detached,2022-08-09,E1,105293856,312.76 kWh/m2/yr,52.672672,-6.295491,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-2-avenue-court-gorey-co-wexford/3899546
3891627,18877176,"6 Orchard Court, Gorey, Co. Wexford",290000.0,90,90 m²,3,3,Detached,2022-07-25,D1,,,52.675839,-6.288948,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-6-orchard-court-gorey-co-wexford/3891627
3890994,18869857,"15 Hillview Drive, Seafield Hotel, Ballymoney, Co. Wexford",495000.0,172,172 m²,4,3,Detached,2022-05-13,C1,,,52.6765087,-6.2200905,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-15-hillview-drive-seafield-hotel-ballymoney-co-wexford/3890994
3891005,18869864,"Ballybeg, Ferns, Co. Wexford","AMV: €449,000",416,416 m²,4,3,Detached,2022-07-25,C1,104367719,,52.6429958,-6.506598,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballybeg-ferns-co-wexford/3891005
3890057,18860871,"38 Seaview, Ardamine, Co. Wexford",260000.0,92,92 m²,3,1,Detached,2022-08-10,D1,114850159,240.97 kWh/m2/yr,52.618631,-6.230202,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-38-seaview-ardamine-co-wexford/3890057
3561420,16349863,"Highfield House, Bolinready, Ballycanew, Gorey, Co. Wexford",599000.0,418,418 m²,8,4,Detached,2022-08-09,B3,114453087,144.02 kWh/m2/yr,52.595716,-6.342235,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-highfield-house-bolinready-ballycanew-gorey-co-wexford/3561420
3813348,18755658,"Appin, Gorey, Co. Wexford",675000.0,269,269 m²,4,4,Detached,2022-08-10,C1,112956206,154.35 kWh/m2/yr,52.664417,-6.293881,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-appin-gorey-co-wexford/3813348
3808861,18728164,"Appin, Ramstown Lower, Gorey, Co. Wexford",675000.0,269,269 m²,4,4,Detached,2022-08-10,C1,112956206,154.35 kWh/m2/yr,52.664417,-6.293881,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-appin-ramstown-lower-gorey-co-wexford/3808861
3802430,18665628,"Halona, Castletown, Co. Wexford",590000.0,196,196 m²,4,2,Detached,2022-07-27,C3,104068929,205.37 kWh/m2/yr,52.723252,-6.190643,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-halona-castletown-co-wexford/3802430
3806999,18712397,"Fairway View, Sea Road, Ballymoney, Co. Wexford",750000.0,264,264 m²,4,2,Detached,2022-05-15,C1,114680911,,52.679493,-6.212254,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-fairway-view-sea-road-ballymoney-co-wexford/3806999
3790256,18570871,"75 Sandycove Phase 2, Ballymoney, Co. Wexford",475000.0,N/A,,3,3,Detached,2022-08-05,C2,108538968,185.81 kWh/m2/yr,52.683259,-6.207261,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-75-sandycove-phase-2-ballymoney-co-wexford/3790256
3789701,18565635,"Síocháin, Kilmurray, Gorey, Co. Wexford",950000.0,360,360 m²,6,5,Detached,2022-08-05,C2,114894587,179.11 kWh/m2/yr,52.696049,-6.248359,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-s-och-in-kilmurray-gorey-co-wexford/3789701
3771921,18396705,"21 Woodside, Courtown, Co. Wexford",249000.0,110,110 m²,3,3,Detached,2022-08-05,E1,107771438,326.79 kWh/m2/yr,52.64582,-6.239153,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-21-woodside-courtown-co-wexford/3771921
3739676,18139529,"2 The Break, Aylesbridge, Riverchapel, Gorey, Gorey, Co. Wexford",310000.0,142,142 m²,4,1,Detached,2022-07-06,C2,,,52.63283654822314,-6.24029942699687,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-2-the-break-aylesbridge-riverchapel-gorey-gorey-co-wexford/3739676
3737727,18121163,"5 Middletown, Ardamine, Co. Wexford",240000.0,93,93 m²,3,1,Detached,2022-08-05,D2,107951212,272.81 kWh/m2/yr,52.634586,-6.240597,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-5-middletown-ardamine-co-wexford/3737727
3198415,14599034,"Highevelt, Castletown, Gorey, Co. Wexford",645000.0,279,279 m²,5,2,Detached,2022-07-27,B3,105281422,134.55 kWh/m2/yr,52.720943,-6.217807,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-highevelt-castletown-gorey-co-wexford/3198415
3628574,17058076,"Clough, Gorey, Co. Wexford",449000.0,388,388 m²,5,3,Detached,2022-08-10,D1,110916087,,52.642476,-6.342203,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-clough-gorey-co-wexford/3628574
3585340,16610869,"Ballydaniel, Camolin, Gorey, Co. Wexford",825000.0,217,217 m²,5,3,Detached,2022-08-10,C1,108819665,155.94 kWh/m2/yr,52.619878,-6.395881,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-ballydaniel-camolin-gorey-co-wexford/3585340
3501485,16015164,"Wish Willow, Whitepark, Arklow, Co. Wicklow",1950000.0,548,548 m²,4,,Detached,2022-08-09,C3,,,52.761239,-6.180575,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-wish-willow-whitepark-arklow-co-wicklow/3501485
3486803,15875857,"Glenbower House, The Avenue, Gorey, Co. Wexford",995000.0,N/A,,6,6,Detached,2022-08-10,,,,52.672137,-6.293524,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-glenbower-house-the-avenue-gorey-co-wexford/3486803
1412654,12278741,"Bolinready, Ballycanew, Co. Wexford",379000.0,150,150 m²,4,2,Detached,2022-07-27,C2,102999505,198.41 kWh/m2/yr,52.602899,-6.347178,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-bolinready-ballycanew-co-wexford/1412654
3983405,19655616,"2 Poulshone, Ardamine, Co. Wexford",385000.0,93,93 m²,2,2,Detached,2022-08-09,E1,115367948,309.56 kWh/m2/yr,52.617997,-6.226231,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-2-poulshone-ardamine-co-wexford/3983405
3983119,19652043,"21 Village Gate, Ballycanew, Co. Wexford",299000.0,112,112 m²,3,2,Detached,2022-08-10,C3,111848933,211.28 kWh/m2/yr,52.611427,-6.307227,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-21-village-gate-ballycanew-co-wexford/3983119
3979569,19620856,"35 Glen Richards Cove, Poulshone, Poulshone, Co. Wexford",250000.0,88,88 m²,3,2,Detached,2022-08-09,E1,110936101,313.42 kWh/m2/yr,52.616719,-6.228659,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-35-glen-richards-cove-poulshone-poulshone-co-wexford/3979569
3979492,19620818,"Knockadawk, Kilmuckridge, Co. Wexford",AMV: Price on Application,N/A,,4,2,Detached,2022-08-09,G,,,52.553852,-6.26753,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-knockadawk-kilmuckridge-co-wexford/3979492
3978615,19614324,"7 The Park, Clonattin Village, Gorey, Co. Wexford",305000.0,126,126 m²,4,2,Semi-D,2022-08-09,C1,111470233,165.28 kWh/m2/yr,52.677918,-6.272313,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/semi-detached-house-7-the-park-clonattin-village-gorey-co-wexford/3978615
3977673,19609095,"40 Woodbury, Carnew Road, Gorey, Co. Wexford",285000.0,94,94 m²,3,3,Semi-D,2022-07-22,C2,109865170,49.44 kWh/m2/yr,52.675293,-6.306922,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/semi-detached-house-40-woodbury-carnew-road-gorey-co-wexford/3977673
3977668,19609091,"50 Ballycanew Court, Gorey, Co. Wexford",235000.0,97,97 m²,3,2,Semi-D,2022-07-22,C3,,,52.612582,-6.30318,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/semi-detached-house-50-ballycanew-court-gorey-co-wexford/3977668
3969454,19553834,"1 The Dunes, Ayles Bridge, Riverchapel, Co. Wexford",375000.0,N/A,,4,4,Detached,2022-07-27,B3,,,52.634848,-6.237557,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-1-the-dunes-ayles-bridge-riverchapel-co-wexford/3969454
3971792,19571210,"Park House, Whitepark, Arklow, Co. Wicklow",550000.0,215,215 m²,5,3,Detached,2022-08-10,B3,115204281,140.5 kWh/m2/yr,52.763417,-6.181293,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-park-house-whitepark-arklow-co-wicklow/3971792
3969874,19556191,"Coolishall Upper, Gorey, Co. Wexford",795000.0,335,335 m²,4,5,Detached,2022-08-09,D2,115040339,274.28 kWh/m2/yr,52.664198,-6.340917,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-coolishall-upper-gorey-co-wexford/3969874
3961966,19492667,"15 The Meadows, Ballymoney, Co. Wexford",330000.0,112,112 m²,4,2,Detached,2022-08-08,C2,106230311,46.63 kWh/m2/yr,52.673294,-6.225252,Buy,GOREY_AND_SURROUNDS_WEXFORD,http://www.daft.ie/for-sale/detached-house-15-the-meadows-ballymoney-co-wexford/3961966
