id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3949293,19413343,"12A Westway Close, Blanchardstown, Blanchardstown, Dublin 15",285000.0,104,104 m²,2,3,Detached,2022-08-10,C3,,,53.401594,-6.370011,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-12a-westway-close-blanchardstown-blanchardstown-dublin-15/3949293
3948773,19407612,"54 Castleknock Drive, Castleknock, Dublin 15",850000.0,N/A,,4,3,Detached,2022-07-28,C3,,,53.3785465,-6.3742885,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-54-castleknock-drive-castleknock-dublin-15/3948773
3947371,19397311,"41 Limelawn Wood, Clonsilla, Dublin 15",450000.0,123,123 m²,4,3,Semi-D,2022-08-10,C3,115169476,,53.384782,-6.403267,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-41-limelawn-wood-clonsilla-dublin-15/3947371
3946527,19388092,"54 Annagh Court, Waterville, Blanchardstown, Dublin 15",350000.0,101,101 m²,3,3,Terrace,2022-06-30,C1,101309672,,53.395097,-6.373985,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-54-annagh-court-waterville-blanchardstown-dublin-15/3946527
3944369,19366764,"13 Castleknock Grove, Castleknock, Castleknock, Dublin 15",450000.0,92,92 m²,3,1,Semi-D,2022-07-08,D2,,,53.377544,-6.370992,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-13-castleknock-grove-castleknock-castleknock-dublin-15/3944369
3943096,19353391,"64 Curragh Hall Crescent, Tyrrelstown, Dublin 15",295000.0,N/A,,3,3,End of Terrace,2022-07-07,SI_666,,,53.416474638,-6.387558533,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-64-curragh-hall-crescent-tyrrelstown-dublin-15/3943096
3938870,19312232,"24 Archers Wood, Clonee, Dublin 15",325000.0,N/A,,3,2,Terrace,2022-08-10,B3,111688628,132.22 kWh/m2/yr,53.404394,-6.409162,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-24-archers-wood-clonee-dublin-15/3938870
3931815,19243328,"Woodlands, Navan Road, Blanchardstown, Dublin 15",590000.0,134,134 m²,4,3,Detached,2022-08-10,D1,111191193,227.78 kWh/m2/yr,53.385208,-6.371611,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-woodlands-navan-road-blanchardstown-dublin-15/3931815
3924232,19169240,"58 Aran Court, Waterville, Blanchardstown, Dublin 15",355000.0,109,109 m²,3,3,End of Terrace,2022-08-09,C2,,,53.393563,-6.373059,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-58-aran-court-waterville-blanchardstown-dublin-15/3924232
3923932,19166608,"26 Talbot Court, Castleknock, Castleknock, Dublin 15",635000.0,125,125 m²,4,3,Semi-D,2022-08-10,SI_666,,,53.383167,-6.365485,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26-talbot-court-castleknock-castleknock-dublin-15/3923932
3921272,19147573,"15 Springlawn Heights, Blanchardstown, Dublin 15",385000.0,109,109 m²,3,3,Semi-D,2022-08-10,D2,106693005,262.16 kWh/m2/yr,53.390284,-6.383801,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-springlawn-heights-blanchardstown-dublin-15/3921272
3896050,18913123,"47 Castleknock Elms, Castleknock, Dublin 15",830000.0,155,155 m²,4,3,Detached,2022-08-09,C3,114844814,,53.37792,-6.373393,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-47-castleknock-elms-castleknock-dublin-15/3896050
3911951,19065567,"13 Roselawn Close, Castleknock, Dublin 15",645000.0,127,127 m²,4,2,Semi-D,2022-08-10,C1,112858311,156.05 kWh/m2/yr,53.382428,-6.375326,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-13-roselawn-close-castleknock-dublin-15/3911951
3901461,18969577,"16 Springlawn Road, Blanchardstown, Dublin 15",495000.0,105,105 m²,4,2,Detached,2022-08-09,E1,114875578,,53.389028,-6.384659,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/detached-house-16-springlawn-road-blanchardstown-dublin-15/3901461
3901156,18965788,"1 Brookhaven Drive, Blanchardstown, Dublin 15",385000.0,95,95 m²,3,1,Semi-D,2022-08-09,E1,105805998,,53.398408,-6.38357,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-1-brookhaven-drive-blanchardstown-dublin-15/3901156
3894594,18898933,"23 Corduff Crescent, Blanchardstown, Blanchardstown, Dublin 15",290000.0,109,109 m²,3,2,End of Terrace,2022-08-10,B1,,,53.395993,-6.377064,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-23-corduff-crescent-blanchardstown-blanchardstown-dublin-15/3894594
3891644,18877187,"68 Curragh Hall Crescent, Tyrellstown, Tyrrelstown, Dublin 15",274950.0,N/A,,2,3,Terrace,2022-06-21,C2,,,53.416277,-6.38646,Buy,INSTITUTE_OF_TECHNOLOGY_BLANCHARDSTOWN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-68-curragh-hall-crescent-tyrellstown-tyrrelstown-dublin-15/3891644
