id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3987934,19701703,"233 The Crescent, Millbrook Lawns, Tallaght, Dublin 24",300000.0,85,85 m²,3,1,Terrace,2022-07-20,C3,109988451,220.84 kWh/m2/yr,53.28169,-6.350798,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-233-the-crescent-millbrook-lawns-tallaght-dublin-24/3987934
3986781,19690135,"4 Friar's Walk, Monastery Park, Clondalkin, Dublin 22",380000.0,90,90 m²,3,2,Detached,2022-08-10,D2,,,53.32157,-6.388282,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/detached-house-4-friars-walk-monastery-park-clondalkin-dublin-22/3986781
3985996,19682534,"20 Pinelawn, Oldbawn, Tallaght, Dublin 24",400000.0,130,130 m²,4,3,Semi-D,2022-07-19,SI_666,,,53.280613,-6.363562,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-20-pinelawn-oldbawn-tallaght-dublin-24/3985996
3978607,19614319,"1A Robinhood Park, Long Mile Road, Walkinstown, Dublin 12",345000.0,88,88 m²,4,1,Semi-D,2022-08-09,D2,,,53.32328,-6.346835,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-1a-robinhood-park-long-mile-road-walkinstown-dublin-12/3978607
3983997,19661910,"14 Old Court Farm, Firhouse, Dublin 24",395000.0,N/A,,3,2,Semi-D,2022-08-10,,,,53.274219,-6.346463,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-14-old-court-farm-firhouse-dublin-24/3983997
3981936,19637681,"11 Fernwood Close, Springfield, Tallaght, Dublin 24",275000.0,84,84 m²,3,1,Terrace,2022-08-09,B3,110858685,145.14 kWh/m2/yr,53.286977,-6.38533,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-fernwood-close-springfield-tallaght-dublin-24/3981936
3981823,19635250,"73 Cill Cais, Old Bawn Road, Tallaght, Dublin 24",359000.0,N/A,,3,1,Terrace,2022-07-14,E1,,,53.279054,-6.372069,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-73-cill-cais-old-bawn-road-tallaght-dublin-24/3981823
3981838,19635258,"73A Cill Cais, Old Bawn Road, Tallaght, Dublin 24",345000.0,N/A,,2,2,End of Terrace,2022-07-14,B3,,,53.27906,-6.372131,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-73a-cill-cais-old-bawn-road-tallaght-dublin-24/3981838
3979663,19622659,"5 Fernwood Park, Springfield, Tallaght, Dublin 24",285000.0,82,82 m²,3,1,Terrace,2022-08-09,D1,,,53.287835,-6.385429,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-fernwood-park-springfield-tallaght-dublin-24/3979663
3979448,19620751,"21 Woodford Court, Clondalkin, Dublin 22",285000.0,77,77 m²,3,2,Terrace,2022-07-15,C2,114697014,192.16 kWh/m2/yr,53.32076,-6.376506,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-21-woodford-court-clondalkin-dublin-22/3979448
3977320,19605328,"184 St James's Road, Greenhills, Dublin 12",395000.0,N/A,,3,1,Terrace,2022-08-10,,,,53.316019,-6.334495,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-184-st-jamess-road-greenhills-dublin-12/3977320
3977197,19605243,"10 Ellensborough Grove, Kiltipper, Dublin 24",395000.0,137,137 m²,3,2,Semi-D,2022-08-09,C2,,,53.266887,-6.370546,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-ellensborough-grove-kiltipper-dublin-24/3977197
3975863,19601623,"1 Rosebank, Old Bawn, Tallaght, Dublin 24",425000.0,118,118 m²,4,2,Semi-D,2022-08-10,E2,115193740,342.71 kWh/m2/yr,53.281436,-6.36377,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-1-rosebank-old-bawn-tallaght-dublin-24/3975863
3972872,19580673,"2 Wood Dale Close, Ballycullen, Dublin 24",430000.0,100,100 m²,3,3,Semi-D,2022-08-10,C3,,,53.274682,-6.333845,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-2-wood-dale-close-ballycullen-dublin-24/3972872
3971679,19570803,"8 Avonmore Grove, Tallaght, Tallaght, Dublin 24",280000.0,N/A,,3,1,Terrace,2022-08-05,E1,115393597,322.71 kWh/m2/yr,53.284848,-6.344199,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-avonmore-grove-tallaght-tallaght-dublin-24/3971679
3971324,19568026,"3 Monastery Gate Lawns, Clondalkin, Clondalkin, Dublin 22",299950.0,78,78 m²,3,2,Terrace,2022-08-09,C3,,,53.320075,-6.373989,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-monastery-gate-lawns-clondalkin-clondalkin-dublin-22/3971324
3971146,19567127,"1A Carriglea Walk, Firhouse, Dublin 24",445000.0,98,98 m²,3,3,Detached,2022-07-11,C3,104183900,223.89 kWh/m2/yr,53.278068,-6.339292,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/detached-house-1a-carriglea-walk-firhouse-dublin-24/3971146
3970646,19563553,"32 Saint Brigid's Drive, Clondalkin, Clondalkin, Dublin 22",495000.0,154,154 m²,3,2,Semi-D,2022-08-09,B3,,,53.316181,-6.393099,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-32-saint-brigids-drive-clondalkin-clondalkin-dublin-22/3970646
3970385,19559863,"34 Pineview Grove, Aylesbury, Tallaght, Dublin 24",310000.0,89,89 m²,3,1,Semi-D,2022-08-09,D2,,,53.275109,-6.366842,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-34-pineview-grove-aylesbury-tallaght-dublin-24/3970385
3970083,19558566,"10 Glencarrig Court, Firhouse, Firhouse, Dublin 24",385000.0,74,74 m²,3,1,Semi-D,2022-08-10,D2,,,53.276005,-6.350893,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-glencarrig-court-firhouse-firhouse-dublin-24/3970083
3970069,19558517,"44 Forest Avenue, Kingswood Heights, Tallaght, Dublin 24",410000.0,109,109 m²,3,2,Semi-D,2022-07-14,SI_666,,,53.307354,-6.361595,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-44-forest-avenue-kingswood-heights-tallaght-dublin-24/3970069
3968124,19542400,"28 Westpark, Tallaght, Dublin 24",320000.0,105,105 m²,3,1,Semi-D,2022-08-10,E2,114880636,378.34 kWh/m2/yr,53.286748,-6.364014,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-28-westpark-tallaght-dublin-24/3968124
3967961,19541217,"8 Delaford Drive, Templeogue, Knocklyon, Dublin 16",599500.0,141,141 m²,4,2,Semi-D,2022-08-09,E1,115201659,,53.286447,-6.326075,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-delaford-drive-templeogue-knocklyon-dublin-16/3967961
3967762,19539403,"198 St James Road, Walkinstown, Dublin 12",395000.0,94,94 m²,3,1,End of Terrace,2022-07-06,D2,107958498,290.12 kWh/m2/yr,53.311306,-6.338466,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-198-st-james-road-walkinstown-dublin-12/3967762
3967231,19532925,"18 Oakdale Crescent, Ballycullen, Ballycullen, Dublin 16",495000.0,153,153 m²,4,3,Semi-D,2022-08-09,C2,,,53.271915,-6.341279,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-18-oakdale-crescent-ballycullen-ballycullen-dublin-16/3967231
3966185,19523522,"20 St Malachys Drive, Greenhills, Dublin 12",385000.0,80,80 m²,3,2,Terrace,2022-08-10,E1,,,53.310962,-6.333506,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-st-malachys-drive-greenhills-dublin-12/3966185
3965661,19520066,"20 Céºl Na Gréine, Oldbawn, Tallaght, Dublin 24",395000.0,115,115 m²,3,2,Semi-D,2022-07-05,E1,113865943,,53.280365,-6.369576,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-20-c-l-na-gr-ine-oldbawn-tallaght-dublin-24/3965661
3965175,19515228,"9 Elder Heath Vale, Kiltipper, Dublin 24",395000.0,125,125 m²,3,3,Semi-D,2022-08-09,A3,,,53.26992,-6.377345,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-elder-heath-vale-kiltipper-dublin-24/3965175
3964605,19512802,"5 Woodstown Hill, Knocklyon, Dublin 16",540000.0,95,95 m²,3,3,Semi-D,2022-08-02,C2,115191413,179.73 kWh/m2/yr,53.275809446406,-6.3287709561017,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-5-woodstown-hill-knocklyon-dublin-16/3964605
3961000,19480041,"10 Ferncourt Green, Ballycullen, Dublin 24",545000.0,125,125 m²,4,3,Detached,2022-07-01,B3,101328623,134.35 kWh/m2/yr,53.272771,-6.345712,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/detached-house-10-ferncourt-green-ballycullen-dublin-24/3961000
3960268,19474743,"29 Limekiln Avenue, Walkinstown, Walkinstown, Dublin 12",374950.0,N/A,,3,2,Terrace,2022-06-30,SI_666,,,53.305998,-6.334138,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-29-limekiln-avenue-walkinstown-walkinstown-dublin-12/3960268
3960222,19474675,"63 Woodford Court, Clondalkin, Clondalkin, Dublin 22",285000.0,77,77 m²,3,3,Terrace,2022-08-09,C3,101154268,215.04 kWh/m2/yr,53.32037,-6.377706,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-63-woodford-court-clondalkin-clondalkin-dublin-22/3960222
3958435,19454318,"47 Monksfield Heights, Clondalkin, Clondalkin, Dublin 22",329000.0,88,88 m²,3,1,Terrace,2022-08-09,D2,,,53.321157,-6.373632,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-47-monksfield-heights-clondalkin-clondalkin-dublin-22/3958435
3957670,19448855,"3 Birchview Avenue, Kilnamanagh, Dublin 24",375000.0,117,117 m²,4,1,Semi-D,2022-08-10,F,114748197,403.17 kWh/m2/yr,53.300418,-6.354449,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-3-birchview-avenue-kilnamanagh-dublin-24/3957670
3956486,19438541,"8 Yellow Meadows Park, Clondalkin, Clondalkin, Dublin 22",285000.0,90,90 m²,3,1,Semi-D,2022-08-09,D1,,,53.326889,-6.381766,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-yellow-meadows-park-clondalkin-clondalkin-dublin-22/3956486
3949468,19416208,"4 Brookdale, Old Bawn Road, Tallaght, Dublin 24",395000.0,113,113 m²,3,2,Semi-D,2022-08-09,C2,,,53.280872,-6.361458,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-4-brookdale-old-bawn-road-tallaght-dublin-24/3949468
3946840,19391838,"92 Balrothery Estate, Tallaght, Dublin 24",335000.0,91,91 m²,3,1,Terrace,2022-08-10,D2,,,53.290954,-6.339004,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-92-balrothery-estate-tallaght-dublin-24/3946840
3946812,19391759,"5B Newtown Park, Tallaght, Tallaght, Dublin 24",295000.0,110,110 m²,4,2,Terrace,2022-07-27,D1,114685282,52.8 kWh/m2/yr,53.288055,-6.350112,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5b-newtown-park-tallaght-tallaght-dublin-24/3946812
3946348,19385149,"5 Monastery Heath Square, Clondalkin, Dublin 22",350000.0,98,98 m²,3,2,Terrace,2022-08-10,C3,115397010,201.36 kWh/m2/yr,53.3213246,-6.382366,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-monastery-heath-square-clondalkin-dublin-22/3946348
3946087,19381158,"77 Maplewood Park, Springfield, Tallaght, Dublin 24",280000.0,N/A,,3,1,Terrace,2022-08-09,D1,,,53.28521,-6.38178,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-77-maplewood-park-springfield-tallaght-dublin-24/3946087
3945878,19380209,"42 Monastery Walk, Clondalkin, Clondalkin, Dublin 22",360000.0,97,97 m²,3,2,Semi-D,2022-07-18,E2,,,53.322502,-6.384818,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-42-monastery-walk-clondalkin-clondalkin-dublin-22/3945878
3944366,19366750,"55 Walkinstown Park, Walkinstown, Dublin 12",349950.0,86,86 m²,3,1,End of Terrace,2022-08-10,D1,,,53.31845,-6.338914,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-55-walkinstown-park-walkinstown-dublin-12/3944366
3943401,19356741,"24 Tymon Crescent, D24H77C, Oldbawn, Dublin 24",445000.0,138,138 m²,4,3,Semi-D,2022-08-10,D2,115162265,295.95 kWh/m2/yr,53.278082,-6.36627,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-24-tymon-crescent-d24h77c-oldbawn-dublin-24/3943401
3942318,19344899,"2 Tymonville Lawn, Tallaght, Dublin 24",335000.0,85,85 m²,3,1,Terrace,2022-08-05,C1,,,53.298695,-6.349758,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-2-tymonville-lawn-tallaght-dublin-24/3942318
3941283,19336741,"14 Rathlyon Park, Ballycullen, Dublin 24",525000.0,103,103 m²,3,3,Semi-D,2022-08-10,C2,111575981,191.72 kWh/m2/yr,53.274012,-6.331358,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-14-rathlyon-park-ballycullen-dublin-24/3941283
3940541,19328280,"27 Maplewood Road, Springfield, Tallaght, Dublin 24",289950.0,N/A,,3,2,Semi-D,2022-06-21,C3,,,53.286469,-6.385884,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-27-maplewood-road-springfield-tallaght-dublin-24/3940541
3937516,19301818,"3 Tymon North Place, Tallaght, Tallaght, Dublin 24",265000.0,66,66 m²,1,1,Terrace,2022-08-09,D1,,,53.297402,-6.347593,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-tymon-north-place-tallaght-tallaght-dublin-24/3937516
3937386,19301053,"44 Kiltipper Drive, Aylesbury, Dublin 24",425000.0,140,140 m²,4,3,Semi-D,2022-06-27,C2,115051344,192.21 kWh/m2/yr,53.274291,-6.358888,Buy,INSTITUTE_OF_TECHNOLOGY_TALLAGHT_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-44-kiltipper-drive-aylesbury-dublin-24/3937386
